seed,dimension,time,solution,termination,calls
2,75,1800.01237,27.16833662958806,TIME_LIMIT,432
3,75,1800.006084,18.893294003942486,TIME_LIMIT,444
4,75,1800.008392,41.51015450314261,TIME_LIMIT,570
5,75,1800.003245,16.904565926799357,TIME_LIMIT,960
6,75,1800.004136,8.464704002741955,TIME_LIMIT,945
7,75,1800.007381,0.8106726529411665,TIME_LIMIT,398
8,75,1800.004374,15.873655639034348,TIME_LIMIT,824
9,75,1800.006803,24.98127768105607,TIME_LIMIT,628
10,75,1800.007583,15.291246562817498,TIME_LIMIT,585
1,80,1800.005897,23.96335864173823,TIME_LIMIT,723
2,80,1800.007682,23.420093508558846,TIME_LIMIT,623
3,80,1800.011495,21.715122104048362,TIME_LIMIT,530
4,80,1800.007209,40.14297697299795,TIME_LIMIT,558
5,80,1800.006011,15.739347969322717,TIME_LIMIT,477
6,80,1800.010535,6.482032673522629,TIME_LIMIT,331
7,80,1800.009359,19.14030512631014,TIME_LIMIT,638
8,80,1800.00634,3.841770871684906,TIME_LIMIT,844
9,80,1800.005934,8.465728170211493,TIME_LIMIT,371
1,85,1800.011942,16.40695168910607,TIME_LIMIT,688
2,85,1800.007012,25.86386360474227,TIME_LIMIT,548
3,85,1800.006878,19.861830366982087,TIME_LIMIT,362
4,85,1800.012532,12.308644350434415,TIME_LIMIT,429
5,85,1800.004282,27.490537982664257,TIME_LIMIT,592
6,85,1800.014073,25.89563864892273,TIME_LIMIT,316
7,85,1800.005742,15.853830208194065,TIME_LIMIT,451
8,85,1800.007306,19.099316583807592,TIME_LIMIT,455
9,85,1800.007336,23.060277823807013,TIME_LIMIT,394
10,85,1800.008661,28.237236066604915,TIME_LIMIT,581
1,90,1800.005671,10.07871343028544,TIME_LIMIT,604
2,90,1800.002538,1.6527386455856639,TIME_LIMIT,1596
3,90,1800.006082,4.150725736538459,TIME_LIMIT,778
