time_boscia,seed,n0,m0,M,solution_boscia,termination_boscia,lb_boscia,rel_gap_boscia,termination_afw,time_afw,rel_gap_afw,termination_no_ws,time_no_ws,rel_gap_no_ws,termination_no_as,time_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,rel_gap_no_ss,termination_loc_ti,time_loc_ti,rel_gap_loc_ti,termination_gl_ti,time_gl_ti,rel_gap_gl_ti,termination_no_ti,time_no_ti,rel_gap_no_ti,termination_scip,solution_scip,time_scip,optimal_scip,optimal_boscia,rel_gap_scip
14.31,5,6,60,20.0,4.631797846437221,1,4.6126083606071635,0.004160224395797593,1,6.746,0.0036233304771941047,1,12.171,0.024131166004743042,1,16.742,0.0028237961219321948,1,7.44,0.004160224395797593,1,12.923,0.004160224395797593,1,13.695,0.004160224395797593,1,13.709,0.004160224395797593,1,4.63175915229683,0.048912,1,1,0.004
11.554,6,6,60,20.0,2.306592758527604,1,2.284872220289603,0.009506237611505463,1,12.322,0.006640245025976876,1,10.065,0.006753478903644158,1,9.391,0.006753478903644158,1,7.441,4.054817089823655e-6,1,10.617,0.009506237611505463,1,11.076,0.009506237611505463,1,11.093,0.009506237611505463,1,2.306593062531603,0.045746999999999996,1,1,0.01
7.532,7,6,60,20.0,1.7454602042502534,1,1.745439662448131,1.176884114893861e-5,1,7.91,3.7118758749836237e-6,1,11.361,1.176884114893861e-5,1,11.237,1.176884114893861e-5,1,12.714,1.176884114893861e-5,1,7.249,1.176884114893861e-5,1,7.7,1.176884114893861e-5,1,7.681,1.176884114893861e-5,1,1.745460446894597,0.052454999999999995,1,1,0.0
4.214,8,6,60,20.0,6.820332553419049,1,6.762676943114238,0.008525560335026158,1,6.251,0.00917390065217068,1,2.646,0.008196863600105549,1,2.69,0.008196863600170145,1,4.142,0.008525560335026158,1,4.244,0.008525560335026158,1,4.5,0.008525560335026158,1,4.561,0.008525560335026158,1,6.770901968735942,0.060008,1,1,0.001
10.561,9,6,60,20.0,0.5525107537770229,1,0.5524983137785835,2.251590299757428e-5,1,5.39,7.411435378948316e-6,1,16.152,2.251590299757428e-5,1,10.658,2.251590299757428e-5,1,13.502,2.251590299757428e-5,1,10.823,2.251590299757428e-5,1,11.532,2.251590299757428e-5,1,11.515,2.251590299757428e-5,1,0.5525109804061732,0.044649,1,1,0.0
8.041,10,6,60,20.0,5.575375569816237,1,5.561189955914153,0.0025508234774462633,1,18.874,0.0013108609110086625,1,10.176,0.007609170008543579,1,10.307,0.0069944260695049675,1,7.897,0.004475136454685983,1,8.367,0.0025508234774462633,1,8.758,0.0025508234774462633,1,8.793,0.0025508234774462633,1,5.575374524845035,0.056763999999999995,1,1,0.003
17.538,1,7,70,20.0,5.1397486550323315,1,5.139728354606467,3.949707934771844e-6,1,13.394,0.0029597418581826396,1,16.517,0.009018325295407676,1,17.7,0.008183539146256183,1,12.64,3.949707934771844e-6,1,17.572,3.949707934771844e-6,1,17.791,3.949707934771844e-6,1,17.778,3.949707934771844e-6,1,5.139749026957312,0.084977,1,1,0.0
20.727,2,7,70,20.0,3.2852063967497984,1,3.2851854469902375,6.377040169863128e-6,1,14.621,4.167113873026052e-6,1,21.495,0.0012070601072041054,1,24.543,0.00881158044441045,1,15.117,6.377040169863128e-6,1,20.552,6.377040169863128e-6,1,21.18,6.377040169863128e-6,1,20.896,6.377040169863128e-6,1,3.285206780705906,0.057590999999999996,1,1,0.0
15.661,3,7,70,20.0,1.111939845932477,1,1.0810485064100552,0.028575350078421238,1,13.588,0.019502796745643782,1,20.212,0.017886441606909522,1,26.554,0.029402450335260587,1,19.198,0.02822939238767818,1,15.696,0.028575350078421238,1,16.681,0.028575350078421238,1,16.026,0.028575350078421238,1,1.1115405651000083,0.06514099999999999,1,1,0.028
24.361,4,7,70,20.0,1.8433623199690112,1,1.8200900721377824,0.01278631656063838,1,11.127,0.033098817254218725,1,42.877,0.10315502507619818,1,46.385,0.01489702779687144,1,15.454,0.06365685329409983,1,24.565,0.01278631656063838,1,24.631,0.01278631656063838,1,24.83,0.01278631656063838,1,1.8430808106297412,0.057024,1,1,0.013
