seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,30,150,6.0,1.054294e6,3.5435737260883235,3.6177972196873176,Time limit reached,29982,857
1,30,150,6.0,1.057672e6,3.5436266663680414,3.6177972196873176,Time limit reached,30023,856
1,30,150,6.0,1.059391e6,3.5436266663680414,3.6177972196873176,Time limit reached,30052,857
1,30,150,6.0,1.063665e6,3.543628540369299,3.6177972196873176,Time limit reached,30089,856
1,30,150,6.0,1.064706e6,3.543628540369299,3.6177972196873176,Time limit reached,30095,857
1,30,150,6.0,1.065141e6,3.543672387737984,3.6177972196873176,Time limit reached,30106,856
1,30,150,6.0,1.067822e6,3.543672387737984,3.6177972196873176,Time limit reached,30133,857
1,30,150,6.0,1.071426e6,3.5437023824180915,3.6177972196873176,Time limit reached,30169,858
1,30,150,6.0,1.07213e6,3.5437023824180915,3.6177972196873176,Time limit reached,30177,859
1,30,150,6.0,1.073057e6,3.543905640012675,3.6177972196873176,Time limit reached,30197,858
1,30,150,6.0,1.074494e6,3.543905640012675,3.6177972196873176,Time limit reached,30219,859
1,30,150,6.0,1.077085e6,3.5441009612431467,3.6177972196873176,Time limit reached,30241,858
1,30,150,6.0,1.078962e6,3.5441009612431467,3.6177972196873176,Time limit reached,30259,859
1,30,150,6.0,1.082252e6,3.5443098995323243,3.6177972196873176,Time limit reached,30289,858
1,30,150,6.0,1.083242e6,3.5443098995323243,3.6177972196873176,Time limit reached,30302,859
1,30,150,6.0,1.085811e6,3.544424069749908,3.6177972196873176,Time limit reached,30328,860
1,30,150,6.0,1.088054e6,3.544424069749908,3.6177972196873176,Time limit reached,30359,861
1,30,150,6.0,1.091997e6,3.5446106544817337,3.6177972196873176,Time limit reached,30397,860
1,30,150,6.0,1.095038e6,3.5446106544817337,3.6177972196873176,Time limit reached,30435,861
1,30,150,6.0,1.097742e6,3.544628777172701,3.6177972196873176,Time limit reached,30468,862
1,30,150,6.0,1.099538e6,3.544628777172701,3.6177972196873176,Time limit reached,30491,863
1,30,150,6.0,1.10175e6,3.5447723180638344,3.6177972196873176,Time limit reached,30523,864
1,30,150,6.0,1.104794e6,3.5447723180638344,3.6177972196873176,Time limit reached,30550,865
1,30,150,6.0,1.107803e6,3.544811131649044,3.6177972196873176,Time limit reached,30580,866
1,30,150,6.0,1.109594e6,3.544811131649044,3.6177972196873176,Time limit reached,30610,867
1,30,150,6.0,1.11265e6,3.544830129907789,3.6177972196873176,Time limit reached,30662,868
1,30,150,6.0,1.113478e6,3.544830129907789,3.6177972196873176,Time limit reached,30688,869
1,30,150,6.0,1.114025e6,3.544891794533732,3.6177972196873176,Time limit reached,30705,868
1,30,150,6.0,1.11489e6,3.544891794533732,3.6177972196873176,Time limit reached,30720,869
1,30,150,6.0,1.11579e6,3.544911618677498,3.6177972196873176,Time limit reached,30743,868
1,30,150,6.0,1.11731e6,3.544911618677498,3.6177972196873176,Time limit reached,30762,869
1,30,150,6.0,1.120478e6,3.5449389549734565,3.6177972196873176,Time limit reached,30796,868
1,30,150,6.0,1.123378e6,3.5449389549734565,3.6177972196873176,Time limit reached,30823,869
1,30,150,6.0,1.12803e6,3.545034234897159,3.6177972196873176,Time limit reached,30857,868
1,30,150,6.0,1.129445e6,3.545034234897159,3.6177972196873176,Time limit reached,30877,869
1,30,150,6.0,1.131236e6,3.545046119952583,3.6177972196873176,Time limit reached,30900,868
1,30,150,6.0,1.133498e6,3.545046119952583,3.6177972196873176,Time limit reached,30923,869
1,30,150,6.0,1.138845e6,3.545145575931259,3.6177972196873176,Time limit reached,30950,868
1,30,150,6.0,1.140366e6,3.545145575931259,3.6177972196873176,Time limit reached,30965,869
1,30,150,6.0,1.141691e6,3.545154024259257,3.6177972196873176,Time limit reached,30995,868
1,30,150,6.0,1.143118e6,3.545154024259257,3.6177972196873176,Time limit reached,31030,869
1,30,150,6.0,1.145442e6,3.5451611254254334,3.6177972196873176,Time limit reached,31073,870
1,30,150,6.0,1.147175e6,3.5451611254254334,3.6177972196873176,Time limit reached,31100,871
1,30,150,6.0,1.150583e6,3.5452258319703582,3.6177972196873176,Time limit reached,31138,872
1,30,150,6.0,1.151123e6,3.5452258319703582,3.6177972196873176,Time limit reached,31154,873
1,30,150,6.0,1.153066e6,3.545269550698471,3.6177972196873176,Time limit reached,31177,874
1,30,150,6.0,1.155246e6,3.545269550698471,3.6177972196873176,Time limit reached,31207,875
1,30,150,6.0,1.159697e6,3.5452790463384574,3.6177972196873176,Time limit reached,31246,876
1,30,150,6.0,1.16137e6,3.5452790463384574,3.6177972196873176,Time limit reached,31272,877
1,30,150,6.0,1.166043e6,3.5453118025227752,3.6177972196873176,Time limit reached,31314,876
1,30,150,6.0,1.170038e6,3.5453118025227752,3.6177972196873176,Time limit reached,31350,877
1,30,150,6.0,1.172962e6,3.545416960306912,3.6177972196873176,Time limit reached,31384,878
1,30,150,6.0,1.175926e6,3.545416960306912,3.6177972196873176,Time limit reached,31419,879
1,30,150,6.0,1.178878e6,3.5454350576805513,3.6177972196873176,Time limit reached,31464,880
1,30,150,6.0,1.180918e6,3.5454350576805513,3.6177972196873176,Time limit reached,31497,881
1,30,150,6.0,1.18387e6,3.5454942279079615,3.6177972196873176,Time limit reached,31537,882
1,30,150,6.0,1.184726e6,3.5454942279079615,3.6177972196873176,Time limit reached,31541,883
1,30,150,6.0,1.185205e6,3.5458659355844695,3.6177972196873176,Time limit reached,31552,882
1,30,150,6.0,1.187434e6,3.5458659355844695,3.6177972196873176,Time limit reached,31580,883
1,30,150,6.0,1.192797e6,3.5458981280705295,3.6177972196873176,Time limit reached,31621,882
1,30,150,6.0,1.193419e6,3.5458981280705295,3.6177972196873176,Time limit reached,31625,883
1,30,150,6.0,1.193905e6,3.5459513110551693,3.6177972196873176,Time limit reached,31636,882
1,30,150,6.0,1.19587e6,3.5459513110551693,3.6177972196873176,Time limit reached,31660,883
1,30,150,6.0,1.200298e6,3.5459769652718087,3.6177972196873176,Time limit reached,31709,884
1,30,150,6.0,1.202065e6,3.5459769652718087,3.6177972196873176,Time limit reached,31733,885
1,30,150,6.0,1.205142e6,3.5460006276724334,3.6177972196873176,Time limit reached,31781,886
1,30,150,6.0,1.20709e6,3.5460006276724334,3.6177972196873176,Time limit reached,31808,887
1,30,150,6.0,1.210358e6,3.5462521067735726,3.6177972196873176,Time limit reached,31843,888
1,30,150,6.0,1.211118e6,3.5462521067735726,3.6177972196873176,Time limit reached,31862,889
1,30,150,6.0,1.212152e6,3.5463299372908126,3.6177972196873176,Time limit reached,31895,890
1,30,150,6.0,1.213382e6,3.5463299372908126,3.6177972196873176,Time limit reached,31932,891
1,30,150,6.0,1.213952e6,3.5463675552125147,3.6177972196873176,Time limit reached,31967,892
1,30,150,6.0,1.214308e6,3.5463675552125147,3.6177972196873176,Time limit reached,31986,893
1,30,150,6.0,1.215141e6,3.5464177525868683,3.6177972196873176,Time limit reached,32014,892
1,30,150,6.0,1.216642e6,3.5464177525868683,3.6177972196873176,Time limit reached,32026,893
1,30,150,6.0,1.218085e6,3.546510870796784,3.6177972196873176,Time limit reached,32053,892
1,30,150,6.0,1.219774e6,3.546510870796784,3.6177972196873176,Time limit reached,32076,893
1,30,150,6.0,1.22385e6,3.5467388023113715,3.6177972196873176,Time limit reached,32107,892
1,30,150,6.0,1.225675e6,3.5467388023113715,3.6177972196873176,Time limit reached,32132,893
