seed,num_v,number_nodes,time,lowerBound,upperBound,termination
1,8,3549,1599.0,-1.9067305624759268,Inf,Optimal
1,8,3549,1616.0,-1.903677973182815,Inf,Optimal
1,8,3549,1631.0,-1.903677973182815,Inf,Optimal
1,8,3549,1648.0,-1.9003349087979098,Inf,Optimal
1,8,3549,1664.0,-1.9003349087979098,Inf,Optimal
1,8,3549,1680.0,-1.8925257692366644,Inf,Optimal
1,8,3549,1696.0,-1.8925257692366644,Inf,Optimal
1,8,3549,1712.0,-1.8723227250436147,Inf,Optimal
1,8,3549,1728.0,-1.8723227250436147,Inf,Optimal
1,8,3549,1744.0,-1.8692700828725162,Inf,Optimal
1,8,3549,1762.0,-1.8692700828725162,Inf,Optimal
1,8,3549,1778.0,-1.8659270182458676,Inf,Optimal
1,8,3549,1794.0,-1.8659270182458676,Inf,Optimal
1,8,3549,1810.0,-1.858117878921935,Inf,Optimal
1,8,3549,1826.0,-1.858117878921935,Inf,Optimal
1,8,3549,1841.0,-1.842589849209802,Inf,Optimal
1,8,3549,1857.0,-1.842589849209802,Inf,Optimal
1,8,3549,1873.0,-1.8355754016161594,Inf,Optimal
1,8,3549,1890.0,-1.8355754016161594,Inf,Optimal
1,8,3549,1907.0,-1.8352265409640096,Inf,Optimal
1,8,3549,1924.0,-1.8352265409640096,Inf,Optimal
1,8,3549,1941.0,-1.8322012382812285,Inf,Optimal
1,8,3549,1957.0,-1.8322012382812285,Inf,Optimal
1,8,3549,1974.0,-1.8302593040704729,Inf,Optimal
1,8,3549,1989.0,-1.8302593040704729,Inf,Optimal
1,8,3549,2006.0,-1.8081820117245777,Inf,Optimal
1,8,3549,2022.0,-1.8081820117245777,Inf,Optimal
1,8,3549,2038.0,-1.8048266834181892,Inf,Optimal
1,8,3549,2054.0,-1.8048266834181892,Inf,Optimal
1,8,3549,2070.0,-1.8011674585827802,Inf,Optimal
1,8,3549,2087.0,-1.8011674585827802,Inf,Optimal
1,8,3549,2104.0,-1.800818703374524,Inf,Optimal
1,8,3549,2121.0,-1.800818703374524,Inf,Optimal
1,8,3549,2137.0,-1.7992695365400706,Inf,Optimal
1,8,3549,2153.0,-1.7992695365400706,Inf,Optimal
1,8,3549,2170.0,-1.79779334845487,Inf,Optimal
1,8,3549,2186.0,-1.79779334845487,Inf,Optimal
1,8,3549,2202.0,-1.7958513602975092,Inf,Optimal
1,8,3549,2218.0,-1.7958513602975092,Inf,Optimal
1,8,3549,2234.0,-1.781643419196115,Inf,Optimal
1,8,3549,2250.0,-1.781643419196115,Inf,Optimal
1,8,3549,2266.0,-1.774103569368432,Inf,Optimal
1,8,3549,2282.0,-1.774103569368432,Inf,Optimal
1,8,3549,2297.0,-1.770418793104588,Inf,Optimal
1,8,3549,2314.0,-1.770418793104588,Inf,Optimal
1,8,3549,2329.0,-1.7662943811876541,Inf,Optimal
1,8,3549,2346.0,-1.7662943811876541,Inf,Optimal
1,8,3549,2363.0,-1.764861646222069,Inf,Optimal
1,8,3549,2380.0,-1.764861646222069,Inf,Optimal
1,8,3549,2396.0,-1.7472355288734769,Inf,Optimal
1,8,3549,2412.0,-1.7472355288734769,Inf,Optimal
1,8,3549,2429.0,-1.7415244175760187,Inf,Optimal
1,8,3549,2445.0,-1.7415244175760187,Inf,Optimal
1,8,3549,2462.0,-1.7396956781146977,Inf,Optimal
1,8,3549,2477.0,-1.7396956781146977,Inf,Optimal
1,8,3549,2494.0,-1.737546883746165,Inf,Optimal
1,8,3549,2510.0,-1.737546883746165,Inf,Optimal
1,8,3549,2527.0,-1.7345099761621654,Inf,Optimal
1,8,3549,2544.0,-1.7345099761621654,Inf,Optimal
1,8,3549,2561.0,-1.7341611148170495,Inf,Optimal
1,8,3549,2578.0,-1.7341611148170495,Inf,Optimal
1,8,3549,2594.0,-1.7318864859938747,Inf,Optimal
1,8,3549,2609.0,-1.7318864859938747,Inf,Optimal
1,8,3549,2625.0,-1.7311358079760533,Inf,Optimal
1,8,3549,2641.0,-1.7311358079760533,Inf,Optimal
1,8,3549,2698.0,-1.7193769540341708,Inf,Optimal
1,8,3549,2714.0,-1.7193769540341708,Inf,Optimal
1,8,3549,2730.0,-1.7163585085830593,Inf,Optimal
