seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
5,90,90,45.0,1.0,234682.0,0.25940331180095905,0.9999999999999984,Time limit reached,18061,0,0
5,90,90,45.0,1.0,235144.0,0.25940331180095905,0.9999999999999984,Time limit reached,18099,0,0
5,90,90,45.0,1.0,235654.0,0.25940331180095905,0.9999999999999984,Time limit reached,18138,0,0
5,90,90,45.0,1.0,236093.0,0.25940331180095905,0.9999999999999984,Time limit reached,18172,0,0
5,90,90,45.0,1.0,236592.0,0.25940331180095905,0.9999999999999984,Time limit reached,18210,0,0
5,90,90,45.0,1.0,237024.0,0.25940331180095905,0.9999999999999984,Time limit reached,18245,0,0
5,90,90,45.0,1.0,237529.0,0.25940331180095905,0.9999999999999984,Time limit reached,18285,0,0
5,90,90,45.0,1.0,238006.0,0.2594048917558429,0.9999999999999984,Time limit reached,18323,0,0
5,90,90,45.0,1.0,238529.0,0.2594048917558429,0.9999999999999984,Time limit reached,18363,0,0
5,90,90,45.0,1.0,239046.0,0.2594048917558429,0.9999999999999984,Time limit reached,18406,0,0
5,90,90,45.0,1.0,239577.0,0.2594048917558429,0.9999999999999984,Time limit reached,18448,0,0
5,90,90,45.0,1.0,240200.0,0.2594048917558429,0.9999999999999984,Time limit reached,18495,0,0
5,90,90,45.0,1.0,240667.0,0.2594048917558429,0.9999999999999984,Time limit reached,18532,0,0
5,90,90,45.0,1.0,241223.0,0.2594048917558429,0.9999999999999984,Time limit reached,18574,0,0
5,90,90,45.0,1.0,241676.0,0.2594048917558429,0.9999999999999984,Time limit reached,18612,0,0
5,90,90,45.0,1.0,242240.0,0.25940524877640336,0.9999999999999984,Time limit reached,18654,0,0
5,90,90,45.0,1.0,242808.0,0.25940524877640336,0.9999999999999984,Time limit reached,18699,0,0
5,90,90,45.0,1.0,243454.0,0.25940524877640336,0.9999999999999984,Time limit reached,18749,0,0
5,90,90,45.0,1.0,243950.0,0.25940524877640336,0.9999999999999984,Time limit reached,18791,0,0
5,90,90,45.0,1.0,244544.0,0.25940524877640336,0.9999999999999984,Time limit reached,18837,0,0
5,90,90,45.0,1.0,245175.0,0.25940524877640336,0.9999999999999984,Time limit reached,18884,0,0
5,90,90,45.0,1.0,245851.0,0.2594059338547378,0.9999999999999984,Time limit reached,18937,0,0
5,90,90,45.0,1.0,246447.0,0.2594059338547378,0.9999999999999984,Time limit reached,18983,0,0
5,90,90,45.0,1.0,247020.0,0.25940638146884776,0.9999999999999984,Time limit reached,19027,0,0
5,90,90,45.0,1.0,247498.0,0.25940638146884776,0.9999999999999984,Time limit reached,19064,0,0
5,90,90,45.0,1.0,248010.0,0.2594072932840115,0.9999999999999984,Time limit reached,19106,0,0
5,90,90,45.0,1.0,248680.0,0.2594072932840115,0.9999999999999984,Time limit reached,19156,0,0
5,90,90,45.0,1.0,249332.0,0.2594072932840115,0.9999999999999984,Time limit reached,19208,0,0
5,90,90,45.0,1.0,250001.0,0.2594072932840115,0.9999999999999984,Time limit reached,19259,0,0
5,90,90,45.0,1.0,250592.0,0.2594075551627857,0.9999999999999984,Time limit reached,19306,0,0
5,90,90,45.0,1.0,251269.0,0.2594075551627857,0.9999999999999984,Time limit reached,19358,0,0
5,90,90,45.0,1.0,251890.0,0.25940772000718215,0.9999999999999984,Time limit reached,19405,0,0
5,90,90,45.0,1.0,252476.0,0.25940772000718215,0.9999999999999984,Time limit reached,19449,0,0
5,90,90,45.0,1.0,252982.0,0.25940772000718215,0.9999999999999984,Time limit reached,19489,0,0
5,90,90,45.0,1.0,253606.0,0.25940772000718215,0.9999999999999984,Time limit reached,19536,0,0
5,90,90,45.0,1.0,254217.0,0.25940907986287703,0.9999999999999984,Time limit reached,19584,0,0
5,90,90,45.0,1.0,254732.0,0.25940907986287703,0.9999999999999984,Time limit reached,19622,0,0
5,90,90,45.0,1.0,255251.0,0.25940907986287703,0.9999999999999984,Time limit reached,19662,0,0
5,90,90,45.0,1.0,255738.0,0.25940907986287703,0.9999999999999984,Time limit reached,19699,0,0
5,90,90,45.0,1.0,256199.0,0.2594101745611944,0.9999999999999984,Time limit reached,19735,0,0
5,90,90,45.0,1.0,256875.0,0.2594101745611944,0.9999999999999984,Time limit reached,19787,0,0
5,90,90,45.0,1.0,257512.0,0.25941189719186075,0.9999999999999984,Time limit reached,19835,0,0
5,90,90,45.0,1.0,258028.0,0.25941189719186075,0.9999999999999984,Time limit reached,19874,0,0
