seed,dimension,p,Ns,k,time,num_nodes,solution,termination
10,50,50,10.0,25.0,1.800048e6,28535,-49.32754834411033,Time limit reached
1,70,70,0.1,35.0,207.0,1,-2797.821748628236,Optimal
1,70,70,1.0,35.0,1.800013e6,14171,Inf,Time limit reached
1,70,70,5.0,35.0,1.800051e6,14817,Inf,Time limit reached
1,70,70,10.0,35.0,12468.0,141,-7208.790226386885,Optimal
2,70,70,0.1,35.0,531.0,3,-276.7633189398518,Optimal
2,70,70,1.0,35.0,1.800115e6,13561,Inf,Time limit reached
2,70,70,5.0,35.0,1.800028e6,16219,Inf,Time limit reached
2,70,70,10.0,35.0,1.800131e6,12585,-631.1225736432677,Time limit reached
3,70,70,0.1,35.0,250.0,1,-146048.3255273417,Optimal
3,70,70,1.0,35.0,1.800077e6,11077,Inf,Time limit reached
3,70,70,5.0,35.0,1.800168e6,10679,Inf,Time limit reached
3,70,70,10.0,35.0,1.800271e6,10297,Inf,Time limit reached
4,70,70,0.1,35.0,600.0,3,-46348.16157010124,Optimal
4,70,70,1.0,35.0,1.800237e6,12183,Inf,Time limit reached
4,70,70,5.0,35.0,1.800211e6,11165,Inf,Time limit reached
4,70,70,10.0,35.0,14089.0,141,-121635.95393076986,Optimal
5,70,70,0.1,35.0,193.0,1,-3035.6688070066743,Optimal
5,70,70,1.0,35.0,1.800065e6,13319,Inf,Time limit reached
5,70,70,5.0,35.0,1.800156e6,15021,Inf,Time limit reached
5,70,70,10.0,35.0,23437.0,233,-10604.765986660026,Optimal
6,70,70,0.1,35.0,223.0,1,-3.038633791379924e6,Optimal
6,70,70,1.0,35.0,1.800059e6,11833,Inf,Time limit reached
6,70,70,5.0,35.0,1.800166e6,12619,Inf,Time limit reached
6,70,70,10.0,35.0,1.800052e6,13077,Inf,Time limit reached
7,70,70,0.1,35.0,197.0,1,-3386.468204073605,Optimal
7,70,70,1.0,35.0,1.800254e6,13865,Inf,Time limit reached
7,70,70,5.0,35.0,1.800181e6,15113,Inf,Time limit reached
7,70,70,10.0,35.0,12627.0,141,-10484.27626475453,Optimal
8,70,70,0.1,35.0,229.0,1,-1315.3124540981357,Optimal
8,70,70,1.0,35.0,1.800169e6,13675,Inf,Time limit reached
8,70,70,5.0,35.0,1.800099e6,16169,Inf,Time limit reached
8,70,70,10.0,35.0,11874.0,141,-3313.751348392555,Optimal
9,70,70,0.1,35.0,552.0,3,-278.06896824369113,Optimal
9,70,70,1.0,35.0,1.800029e6,14463,Inf,Time limit reached
9,70,70,5.0,35.0,1.800194e6,16255,Inf,Time limit reached
9,70,70,10.0,35.0,1.800042e6,14745,-867.3525957932573,Time limit reached
10,70,70,0.1,35.0,188.0,1,-542.5787041729059,Optimal
10,70,70,1.0,35.0,1.800172e6,14399,Inf,Time limit reached
10,70,70,5.0,35.0,1.800159e6,16299,Inf,Time limit reached
10,70,70,10.0,35.0,1.80022e6,14869,-1547.043209513503,Time limit reached
1,90,90,0.1,45.0,381.0,1,-18670.314687832077,Optimal
1,90,90,1.0,45.0,1.800289e6,6669,Inf,Time limit reached
1,90,90,5.0,45.0,1.800482e6,8483,Inf,Time limit reached
1,90,90,10.0,45.0,1.800358e6,8087,Inf,Time limit reached
2,90,90,0.1,45.0,948.0,3,-14084.189911060435,Optimal
2,90,90,1.0,45.0,1.800578e6,5953,Inf,Time limit reached
2,90,90,5.0,45.0,1.800267e6,8541,Inf,Time limit reached
2,90,90,10.0,45.0,1.800188e6,8047,Inf,Time limit reached
3,90,90,0.1,45.0,394.0,1,-4063.3156590159915,Optimal
3,90,90,1.0,45.0,1.800214e6,7829,Inf,Time limit reached
3,90,90,5.0,45.0,1.800329e6,9137,Inf,Time limit reached
3,90,90,10.0,45.0,63873.0,357,-9591.071386984599,Optimal
4,90,90,0.1,45.0,400.0,1,-10504.733675322186,Optimal
4,90,90,1.0,45.0,1.800357e6,7579,Inf,Time limit reached
4,90,90,5.0,45.0,1.80014e6,8733,Inf,Time limit reached
4,90,90,10.0,45.0,1.800363e6,9017,Inf,Time limit reached
5,90,90,0.1,45.0,838.0,3,-1000.1462936413069,Optimal
5,90,90,1.0,45.0,1.800323e6,7631,Inf,Time limit reached
5,90,90,5.0,45.0,1.800243e6,9515,Inf,Time limit reached
5,90,90,10.0,45.0,1.800327e6,8777,-3051.3807210737236,Time limit reached
6,90,90,0.1,45.0,349.0,1,-1.4397828646013439e6,Optimal
6,90,90,1.0,45.0,1.80045e6,5021,Inf,Time limit reached
6,90,90,5.0,45.0,1.800208e6,7361,Inf,Time limit reached
6,90,90,10.0,45.0,1.800099e6,7099,Inf,Time limit reached
7,90,90,0.1,45.0,366.0,1,-129915.88016001413,Optimal
7,90,90,1.0,45.0,1.800527e6,3471,Inf,Time limit reached
7,90,90,5.0,45.0,1.800155e6,6671,Inf,Time limit reached
7,90,90,10.0,45.0,1.800138e6,6619,Inf,Time limit reached
8,90,90,0.1,45.0,397.0,1,-118972.61442133288,Optimal
8,90,90,1.0,45.0,1.800058e6,6111,Inf,Time limit reached
8,90,90,5.0,45.0,1.800439e6,7419,Inf,Time limit reached
8,90,90,10.0,45.0,1.800136e6,7069,Inf,Time limit reached
9,90,90,0.1,45.0,398.0,1,-8286.737334951093,Optimal
9,90,90,1.0,45.0,1.800337e6,7503,Inf,Time limit reached
9,90,90,5.0,45.0,1.800147e6,9373,Inf,Time limit reached
9,90,90,10.0,45.0,234679.0,1195,-19992.822433656773,Optimal
10,90,90,0.1,45.0,374.0,1,-95338.9393779517,Optimal
10,90,90,1.0,45.0,1.800338e6,6959,Inf,Time limit reached
10,90,90,5.0,45.0,1.80035e6,7135,Inf,Time limit reached
10,90,90,10.0,45.0,1.800353e6,5923,Inf,Time limit reached
