seed,dimension,time_boscia,solution_boscia,time_scip,solution_scip,termination_scip,ncalls_scip
1,30,63.482,5.523682232067458,154.72162,5.523682232067458,OPTIMAL,1659.0
2,30,19.609,7.035181744964532,50.614303,7.035181744964532,OPTIMAL,1443.0
2,30,20.251,7.035181744964532,50.356891,7.035181744964532,OPTIMAL,1443.0
3,30,80.97,1.323910728602376,104.144924,1.323910728602376,OPTIMAL,2377.0
3,30,80.745,1.323910728602376,103.890181,1.323910728602376,OPTIMAL,2377.0
1,35,56.575,6.514563951553402,1065.054169,6.514563951553402,OPTIMAL,3073.0
1,35,57.453,6.514563951553402,1077.055271,6.514563951553402,OPTIMAL,3073.0
2,35,229.904,2.1412733647313287,1800.00642,2.1412733647313287,TIME_LIMIT,5766.0
2,35,227.795,2.1412733647313287,1800.017949,2.1412733647313287,TIME_LIMIT,5774.0
3,35,74.959,6.913338934161181,410.69945,6.913338934161181,OPTIMAL,2796.0
3,35,73.916,6.913338934161181,408.113664,6.913338934161181,OPTIMAL,2796.0
1,40,50.362,6.668905686660359,1800.009021,6.668905686660359,TIME_LIMIT,3629.0
1,40,50.412,6.668905686660359,1800.000566,6.668905686660359,TIME_LIMIT,3645.0
2,40,226.523,10.366094011721161,1800.00103,11.03334270136535,TIME_LIMIT,2763.0
2,40,198.695,10.366094011721161,1800.000612,11.03334270136535,TIME_LIMIT,2760.0
3,40,210.367,6.981144660277266,1800.000482,7.337148815920526,TIME_LIMIT,2978.0
3,40,211.323,6.981144660277266,1800.000244,7.337148815920526,TIME_LIMIT,2980.0
1,45,3132.637,3.2623219447755982,1800.017251,3.2623219447755982,TIME_LIMIT,3168.0
1,45,3313.76,3.2623219447755982,1800.027685,3.2623219447755982,TIME_LIMIT,3168.0
2,45,10878.373,-9.627691380382434,0.011653,-0.42149562170481536,OPTIMAL,9.0
2,45,5926.087,-9.627691380382434,0.011679,-0.42149562170481536,OPTIMAL,9.0
3,45,1865.829,0.02527967492143013,1800.004298,0.8789603293340464,TIME_LIMIT,6245.0
3,45,1020.56,0.02527967492143013,1800.058331,0.8789603293340464,TIME_LIMIT,5956.0
1,50,5266.222,1.3812322791773113,1800.000641,2.053936883481276,TIME_LIMIT,3045.0
1,50,3564.238,1.3812322791773113,1800.001045,2.053936883481276,TIME_LIMIT,3033.0
2,50,487.613,4.622262909488774,1800.001362,5.885700230469979,TIME_LIMIT,1269.0
2,50,491.833,4.622262909488774,1800.001859,5.885700230469979,TIME_LIMIT,1269.0
