seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
2,20,1,0.1,1.643,0.6316904518198238,2.219617295518006e-7,3.5137749336674576e-7,OPTIMAL,38
2,20,5,0.1,1.729,0.2878113530274359,1.2841814311936872e-7,4.461887936917607e-7,OPTIMAL,44
2,20,1,1.0,2.018,0.6316904518198097,1.3027730333403653e-6,2.062364115809587e-6,OPTIMAL,70
2,20,5,1.0,2.254,0.2878113530274287,8.694568128797542e-7,3.0209351726634668e-6,OPTIMAL,91
3,20,1,0.1,1.55,0.5995010769047809,1.8383798294774323e-7,3.066517249162121e-7,OPTIMAL,40
3,20,5,0.1,0.865,0.21857209854025544,9.377554405221034e-8,4.2903730582129183e-7,OPTIMAL,46
3,20,1,1.0,1.978,0.5995010769047675,1.393620623013625e-6,2.3246394649938315e-6,OPTIMAL,73
3,20,5,1.0,2.242,0.21857209854025345,9.942918545724488e-7,4.549054450685617e-6,OPTIMAL,98
4,20,1,0.1,1.533,0.5951193348725515,1.2898584844656114e-7,2.1673951566455924e-7,OPTIMAL,28
4,20,5,0.1,1.668,0.21327897875331472,1.0200350447631124e-7,4.782635112804343e-7,OPTIMAL,45
4,20,1,1.0,1.915,0.5951193348725354,1.0018665490552081e-6,1.683474518411669e-6,OPTIMAL,70
4,20,5,1.0,2.266,0.21327897875331056,7.406977054202901e-7,3.4729174067312864e-6,OPTIMAL,96
5,20,1,0.1,1.507,0.6388250326770433,2.0342335094181152e-7,3.1843369516407344e-7,OPTIMAL,31
5,20,5,0.1,1.715,0.29840951132069604,1.0856593696262351e-7,3.638154024652029e-7,OPTIMAL,45
5,20,1,1.0,1.937,0.6388250326770479,1.7970652836929446e-6,2.8130869128014712e-6,OPTIMAL,74
5,20,5,1.0,2.265,0.298409511320699,1.5701454773031642e-6,5.261741598160731e-6,OPTIMAL,100
1,25,1,0.1,2.241,0.6283369552158635,2.171731980915581e-7,3.456318641626388e-7,OPTIMAL,39
1,25,5,0.1,2.383,0.2804739305711732,1.7690928411084883e-7,6.307516543031433e-7,OPTIMAL,49
1,25,1,1.0,2.624,0.6283369552158498,2.206500712365056e-6,3.5116643109060293e-6,OPTIMAL,76
1,25,5,1.0,3.217,0.28047393057117653,1.7418545421032938e-6,6.2104358727100656e-6,OPTIMAL,105
2,25,1,0.1,2.304,0.6216814003390515,1.5677178888395815e-7,2.521739082626775e-7,OPTIMAL,44
2,25,5,0.1,2.615,0.26106497588977684,1.418332497560293e-7,5.432874568059168e-7,OPTIMAL,62
2,25,1,1.0,2.576,0.6216814003390347,1.5185751420787597e-6,2.442696292133671e-6,OPTIMAL,71
2,25,5,1.0,3.045,0.2610649758897815,1.7418528501789154e-6,6.67214920785247e-6,OPTIMAL,96
3,25,1,0.1,2.224,0.5837527067565793,1.0943161921073141e-7,1.874623251565828e-7,OPTIMAL,34
3,25,5,0.1,2.483,0.20009330348062054,1.5550021129073777e-7,7.771391117599015e-7,OPTIMAL,53
3,25,1,1.0,2.764,0.5837527067565849,1.4026869198380254e-6,2.40288443050849e-6,OPTIMAL,76
3,25,5,1.0,3.097,0.2000933034806085,1.19464931364055e-6,5.970496890748468e-6,OPTIMAL,107
4,25,1,0.1,2.319,0.5080470573087412,1.0780175807578729e-7,2.1218857465909369e-7,OPTIMAL,29
4,25,5,0.1,2.434,0.13245498993626015,1.2467514107217248e-7,9.412650930291628e-7,OPTIMAL,43
4,25,1,1.0,2.656,0.5080470573087151,5.545660648476058e-7,1.0915655591640198e-6,OPTIMAL,67
4,25,5,1.0,3.339,0.1324549899362457,8.92465721796798e-7,6.73792460059913e-6,OPTIMAL,107
5,25,1,0.1,2.234,0.6510675370546324,1.6223688859007268e-7,2.491860210865095e-7,OPTIMAL,41
5,25,5,0.1,2.479,0.33638580617316416,1.619164982091803e-7,4.813418793985044e-7,OPTIMAL,57
5,25,1,1.0,2.023,0.6510675370546407,1.983094694568699e-6,3.0459216933026374e-6,OPTIMAL,73
5,25,5,1.0,2.336,0.3363858061731616,1.4939217852227848e-6,4.441116100879262e-6,OPTIMAL,95
1,30,1,0.1,3.212,0.6076661618868252,1.5188068114291298e-7,2.499410509094911e-7,OPTIMAL,37
1,30,5,0.1,3.471,0.23988268429138385,1.2532480941906954e-7,5.224423566222356e-7,OPTIMAL,54
1,30,1,1.0,3.827,0.6076661618868304,1.8004649843250675e-6,2.96292673822806e-6,OPTIMAL,71
1,30,5,1.0,4.524,0.23988268429138487,1.2565378512685577e-6,5.238162299749144e-6,OPTIMAL,104
2,30,1,0.1,3.17,0.5959194794628992,1.5186395230237792e-7,2.5483978328788525e-7,OPTIMAL,37
2,30,5,0.1,3.437,0.21184829349114484,1.2007854793827377e-7,5.668141764168435e-7,OPTIMAL,51
2,30,1,1.0,3.899,0.5959194794628928,1.5493693881207804e-6,2.5999710864173374e-6,OPTIMAL,80
2,30,5,1.0,4.442,0.21184829349113915,1.2429258656743158e-6,5.867090725869466e-6,OPTIMAL,120
3,30,1,0.1,3.095,0.5568540988762839,1.1585082559939508e-7,2.080452490794137e-7,OPTIMAL,36
3,30,5,0.1,1.755,0.17200659056901513,9.749723833829549e-8,5.668230111383688e-7,OPTIMAL,51
3,30,1,1.0,4.023,0.556854098876275,1.0862917569909314e-6,1.9507692917905444e-6,OPTIMAL,76
3,30,5,1.0,4.558,0.17200659056901624,1.0380357138017882e-6,6.034896539754502e-6,OPTIMAL,105
4,30,1,0.1,3.171,0.6359632609005299,2.4018682465154484e-7,3.7767419933001256e-7,OPTIMAL,41
4,30,5,0.1,3.379,0.2967973686878537,2.444815008773027e-7,8.237327148335949e-7,OPTIMAL,55
4,30,1,1.0,3.562,0.6359632609005337,2.3135603353097167e-6,3.637896862984749e-6,OPTIMAL,70
4,30,5,1.0,4.369,0.2967973686878469,1.574299320461492e-6,5.30431815486113e-6,OPTIMAL,118
5,30,1,0.1,3.177,0.6424555606917962,2.271565568978673e-7,3.5357564182383355e-7,OPTIMAL,48
5,30,5,0.1,3.604,0.3096580469979862,2.3822104283643952e-7,7.693041676466745e-7,OPTIMAL,68
5,30,1,1.0,3.63,0.6424555606917882,2.511863318899188e-6,3.909800604852976e-6,OPTIMAL,73
5,30,5,1.0,4.404,0.3096580469979804,1.7732613996068736e-6,5.7265476271775985e-6,OPTIMAL,110
