seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,25,5.0,125,1.0,5,10858.0,0.2556812434821838,0.6599240418167368,OPTIMAL,633,2,0,0
1,25,5.0,125,1.0,5,11534.0,0.2556812434821838,0.6599240418167368,OPTIMAL,659,3,0,0
1,25,5.0,125,1.0,5,11549.0,0.2556812434821838,0.6599240418167368,OPTIMAL,663,2,0,0
1,25,5.0,125,1.0,5,12283.0,0.2556812434821838,0.6599240418167368,OPTIMAL,691,3,0,0
1,25,5.0,125,1.0,5,12302.0,0.25790544328392667,0.6599240418167368,OPTIMAL,696,2,0,0
1,25,5.0,125,1.0,5,12972.0,0.25790544328392667,0.6599240418167368,OPTIMAL,716,3,0,0
1,25,5.0,125,1.0,5,12988.0,0.26064622561740614,0.6599240418167368,OPTIMAL,720,2,0,0
1,25,5.0,125,1.0,5,13815.0,0.26064622561740614,0.6599240418167368,OPTIMAL,746,3,0,0
1,25,5.0,125,1.0,5,13832.0,0.2606770694849974,0.6599240418167368,OPTIMAL,750,2,0,0
1,25,5.0,125,1.0,5,14539.0,0.2606770694849974,0.6599240418167368,OPTIMAL,778,3,0,0
1,25,5.0,125,1.0,5,14556.0,0.26266011838224645,0.6599240418167368,OPTIMAL,783,2,0,0
1,25,5.0,125,1.0,5,15347.0,0.26266011838224645,0.6599240418167368,OPTIMAL,815,3,0,0
1,25,5.0,125,1.0,5,15364.0,0.2661343297993921,0.6599240418167368,OPTIMAL,820,2,0,0
1,25,5.0,125,1.0,5,16176.0,0.2661343297993921,0.6599240418167368,OPTIMAL,845,3,0,0
1,25,5.0,125,1.0,5,16196.0,0.2716002581852522,0.6599240418167368,OPTIMAL,850,2,0,0
1,25,5.0,125,1.0,5,16898.0,0.2716002581852522,0.6599240418167368,OPTIMAL,870,3,0,0
1,25,5.0,125,1.0,5,16914.0,0.2716272439028202,0.6599240418167368,OPTIMAL,874,2,0,0
1,25,5.0,125,1.0,5,17607.0,0.2716272439028202,0.6599240418167368,OPTIMAL,895,3,0,0
1,25,5.0,125,1.0,5,17624.0,0.2716272439028202,0.6599240418167368,OPTIMAL,900,2,0,0
1,25,5.0,125,1.0,5,18313.0,0.2716272439028202,0.6599240418167368,OPTIMAL,921,3,0,0
1,25,5.0,125,1.0,5,18330.0,0.2716357295776118,0.6599240418167368,OPTIMAL,925,2,0,0
1,25,5.0,125,1.0,5,19161.0,0.2716357295776118,0.6599240418167368,OPTIMAL,953,3,0,0
1,25,5.0,125,1.0,5,19176.0,0.2716491695627119,0.6599240418167368,OPTIMAL,957,2,0,0
1,25,5.0,125,1.0,5,20060.0,0.2716491695627119,0.6599240418167368,OPTIMAL,988,3,0,0
1,25,5.0,125,1.0,5,20076.0,0.2716491695627119,0.6599240418167368,OPTIMAL,992,2,0,0
1,25,5.0,125,1.0,5,20883.0,0.2716491695627119,0.6599240418167368,OPTIMAL,1021,3,0,0
1,25,5.0,125,1.0,5,20918.0,0.276663476440483,0.6599240418167368,OPTIMAL,1026,2,0,0
1,25,5.0,125,1.0,5,21716.0,0.276663476440483,0.6599240418167368,OPTIMAL,1056,3,0,0
1,25,5.0,125,1.0,5,21731.0,0.27667447116515703,0.6599240418167368,OPTIMAL,1060,2,0,0
1,25,5.0,125,1.0,5,22526.0,0.27667447116515703,0.6599240418167368,OPTIMAL,1090,3,0,0
1,25,5.0,125,1.0,5,22541.0,0.27964053734609706,0.6599240418167368,OPTIMAL,1094,2,0,0
1,25,5.0,125,1.0,5,23380.0,0.27964053734609706,0.6599240418167368,OPTIMAL,1125,3,0,0
1,25,5.0,125,1.0,5,23399.0,0.28322293240243096,0.6599240418167368,OPTIMAL,1130,2,0,0
1,25,5.0,125,1.0,5,24285.0,0.28322293240243096,0.6599240418167368,OPTIMAL,1160,3,0,0
1,25,5.0,125,1.0,5,24300.0,0.28324006626739456,0.6599240418167368,OPTIMAL,1164,2,0,0
1,25,5.0,125,1.0,5,25125.0,0.28324006626739456,0.6599240418167368,OPTIMAL,1194,3,0,0
1,25,5.0,125,1.0,5,25140.0,0.28327446903340986,0.6599240418167368,OPTIMAL,1198,2,0,0
1,25,5.0,125,1.0,5,26162.0,0.28327446903340986,0.6599240418167368,OPTIMAL,1228,3,0,0
1,25,5.0,125,1.0,5,26188.0,0.2908548912181749,0.6471784932253207,OPTIMAL,1235,2,0,0
1,25,5.0,125,1.0,5,27084.0,0.2908548912181749,0.6471784932253207,OPTIMAL,1268,3,0,0
1,25,5.0,125,1.0,5,27103.0,0.2959240458128414,0.6471784932253207,OPTIMAL,1273,2,0,0
1,25,5.0,125,1.0,5,28011.0,0.2959240458128414,0.6471784932253207,OPTIMAL,1303,3,0,0
1,25,5.0,125,1.0,5,28029.0,0.2984507257183398,0.6471784932253207,OPTIMAL,1308,2,0,0
1,25,5.0,125,1.0,5,28924.0,0.2984507257183398,0.6471784932253207,OPTIMAL,1336,3,0,0
1,25,5.0,125,1.0,5,28938.0,0.2984593616067768,0.6471784932253207,OPTIMAL,1340,2,0,0
1,25,5.0,125,1.0,5,29966.0,0.2984593616067768,0.6471784932253207,OPTIMAL,1372,3,0,0
1,25,5.0,125,1.0,5,29984.0,0.2984644062553769,0.6471784932253207,OPTIMAL,1377,2,0,0
1,25,5.0,125,1.0,5,30869.0,0.2984644062553769,0.6471784932253207,OPTIMAL,1409,3,0,0
1,25,5.0,125,1.0,5,30883.0,0.30679999586193063,0.6471784932253207,OPTIMAL,1413,2,0,0
1,25,5.0,125,1.0,5,31737.0,0.30679999586193063,0.6471784932253207,OPTIMAL,1448,3,0,0
1,25,5.0,125,1.0,5,31756.0,0.30990793429250296,0.6471784932253207,OPTIMAL,1453,2,0,0
1,25,5.0,125,1.0,5,32663.0,0.30990793429250296,0.6471784932253207,OPTIMAL,1481,3,0,0
1,25,5.0,125,1.0,5,32680.0,0.30994411061376514,0.6471784932253207,OPTIMAL,1485,2,0,0
1,25,5.0,125,1.0,5,33557.0,0.30994411061376514,0.6471784932253207,OPTIMAL,1518,3,0,0
1,25,5.0,125,1.0,5,33571.0,0.30994742639139516,0.6471784932253207,OPTIMAL,1522,2,0,0
