seed,dimension,time,solution,termination,ncalls
9,115,735.732,-0.08626073220236719,tree.lb>primal-dual_gap,35493
10,115,1804.317,-51.305625089973404,Time limit reached,74914
1,120,1801.638,0.5704636036884706,Time limit reached,73732
2,120,1805.095,7.141453289207188,Time limit reached,77373
3,120,1804.104,14.920616007612264,Time limit reached,72805
4,120,1803.263,-2.896949306657902,Time limit reached,70131
5,120,1804.963,-0.7342899435861984,Time limit reached,73872
6,120,1802.79,-0.23372991033965773,Time limit reached,65339
7,120,1803.326,5.935156132361371,Time limit reached,72052
8,120,424.989,-0.26155061850656663,OPTIMAL,23197
9,120,1805.568,23.9724122953725,Time limit reached,63251
10,120,1802.946,1.1388773354668746,Time limit reached,46186
