seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
5,25,1,0.1,8.235,0.6510675370546324,0.005919592225333226,0.009175557750400184,OPTIMAL,326
5,25,5,0.1,114.71,0.33638580617316466,0.003272310418161728,0.009823409918427426,OPTIMAL,4669
5,25,1,1.0,5.475,0.6510675370546314,0.006223247416770494,0.009650775414736816,OPTIMAL,416
5,25,5,1.0,1838.212,0.3363858114437176,0.003933225279027508,0.011830936027307877,Time limit reached,275721
1,30,1,0.1,18.721,0.6076661618868342,0.005692931327697881,0.009457117092084084,OPTIMAL,535
1,30,5,0.1,1839.611,0.23988289490843848,0.003267302564692154,0.013808483761904999,Time limit reached,296410
1,30,1,1.0,15.713,0.6076661618868193,0.0050487209387815035,0.008377986755310061,OPTIMAL,1158
1,30,5,1.0,1856.006,0.2398827685171822,0.007741930851792533,0.033350146099463275,Time limit reached,283900
2,30,1,0.1,14.508,0.5959194794629028,0.005811309170525414,0.00984787105666766,OPTIMAL,421
2,30,5,0.1,563.623,0.21184829349114484,0.002094281425156136,0.00998446420418063,OPTIMAL,20540
2,30,1,1.0,17.483,0.5959194794628928,0.005882487992742047,0.00996969355783117,OPTIMAL,970
2,30,5,1.0,1875.713,0.21184829474164643,0.0026636529910202267,0.012733501698445091,Time limit reached,280165
3,30,1,0.1,15.684,0.5568540988762911,0.005236615096893438,0.009493199999780391,OPTIMAL,427
3,30,5,0.1,1255.505,0.17200659056901513,0.0016804740841117327,0.009866214992700071,OPTIMAL,42496
3,30,1,1.0,19.712,0.5568540988762745,0.005115556039329894,0.009271703247387042,OPTIMAL,1287
3,30,5,1.0,1586.26,0.172006590569011,0.0016887600119561974,0.009915344778833825,OPTIMAL,183515
4,30,1,0.1,11.635,0.6359632609005299,0.006261602700827651,0.009943760857688356,OPTIMAL,336
4,30,5,0.1,280.24,0.2967973686878537,0.0028437490533768095,0.00967414198509592,OPTIMAL,10145
4,30,1,1.0,7.716,0.6359632609005238,0.006262641998355578,0.00994542773242622,OPTIMAL,427
4,30,5,1.0,366.716,0.2967973686878915,0.0029269127549188534,0.009959874141231935,OPTIMAL,48344
5,30,1,0.1,15.235,0.6424555606917962,0.006315955556047248,0.009928568359926993,OPTIMAL,386
5,30,5,0.1,286.795,0.3096580469979862,0.0030551114975010396,0.009964390890498193,OPTIMAL,7978
5,30,1,1.0,10.022,0.6424555606917853,0.006229766502833467,0.009791754059225232,OPTIMAL,612
5,30,5,1.0,152.114,0.3096580469979852,0.003038184972598612,0.009908637204810514,OPTIMAL,12311
