seed,dimension,min_number_lower,adaptive_gap,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size
30,40,Inf,0.85,105,3649.0,867343168,598.447704106387,607.8004053919414,2623.0,73,682,4,1
30,40,Inf,0.85,105,3649.0,867343168,598.4581049173155,607.8004053919414,2640.0,73,690,5,1
30,40,Inf,0.85,105,3649.0,867343168,598.4581049173155,607.8004053919414,2675.0,75,704,8,2
30,40,Inf,0.85,105,3649.0,867343168,598.9659675574624,607.8004053919414,2718.0,77,720,4,3
30,40,Inf,0.85,105,3649.0,867343168,598.9659675574624,607.8004053919414,2735.0,77,729,6,3
30,40,Inf,0.85,105,3649.0,867343168,598.9959688722906,607.8004053919414,2756.0,77,739,7,3
30,40,Inf,0.85,105,3649.0,867343168,598.9959688722906,607.8004053919414,2815.0,79,760,8,1
30,40,Inf,0.85,105,3649.0,867343168,599.5078889787674,607.8004053919414,2871.0,81,778,4,7
30,40,Inf,0.85,105,3649.0,867343168,599.5078889787674,607.8004053919414,2967.0,83,796,5,4
30,40,Inf,0.85,105,3649.0,867343168,599.9693133681034,607.8004053919414,3044.0,85,817,5,4
30,40,Inf,0.85,105,3649.0,867343168,599.9693133681034,607.8004053919414,3113.0,87,837,13,3
30,40,Inf,0.85,105,3649.0,867343168,600.0574283135162,607.8004053919414,3164.0,89,854,4,1
30,40,Inf,0.85,105,3649.0,867343168,600.0574283135162,607.8004053919414,3178.0,91,859,6,3
30,40,Inf,0.85,105,3649.0,867343168,600.3697470880765,607.8004053919414,3190.0,91,865,3,0
30,40,Inf,0.85,105,3649.0,867343168,600.3697470880765,607.8004053919414,3282.0,93,884,12,7
30,40,Inf,0.85,105,3649.0,867343168,600.4128993485524,607.8004053919414,3338.0,95,902,8,2
30,40,Inf,0.85,105,3649.0,867343168,600.4128993485524,607.8004053919414,3351.0,95,908,7,4
30,40,Inf,0.85,105,3649.0,867343168,600.7056033665667,607.8004053919414,3393.0,97,923,7,0
30,40,Inf,0.85,105,3649.0,867343168,600.7056033665667,607.8004053919414,3439.0,99,939,8,4
30,40,Inf,0.85,105,3649.0,867343168,601.0008421597155,607.8004053919414,3449.0,99,944,5,7
30,40,Inf,0.85,105,3649.0,867343168,601.0008421597155,607.8004053919414,3490.0,101,958,7,0
30,40,Inf,0.85,105,3649.0,867343168,601.2993869866789,607.8004053919414,3505.0,101,964,5,4
30,40,Inf,0.85,105,3649.0,867343168,601.2993869866789,607.8004053919414,3544.0,103,978,9,3
30,40,Inf,0.85,105,3649.0,867343168,601.7066363481365,607.8004053919414,3574.0,103,987,5,3
30,40,Inf,0.85,105,3649.0,867343168,601.7066363481365,607.8004053919414,3592.0,103,995,10,5
30,40,Inf,0.85,105,3649.0,867343168,601.9195313657222,607.8004053919414,3649.0,105,1012,6,2
