seed,dimension,p,k,time,solution,dual_gap,rel_dual_gap,termination,ncalls
7,24,120,5.0,300.808,5.441829021885716,0.053795772866080505,0.009984306031494658,OPTIMAL,15529
8,24,120,5.0,1802.016,2.3942356412436028,0.2802823615999719,0.1325868288097747,Time limit reached,67066
9,24,120,5.0,21.834,5.580355562138196,0.05305838402018548,0.009599336223541236,OPTIMAL,883
10,24,120,5.0,371.393,2.104806905280289,0.020776856850767356,0.009969557236674361,OPTIMAL,23162
1,25,125,5.0,185.969,3.2556069749362564,0.032173083402371905,0.00998099681425829,OPTIMAL,10830
2,25,125,5.0,290.757,3.65929746449191,0.035787104225940336,0.009876363158325156,OPTIMAL,14206
3,25,125,5.0,231.953,5.945514641916456,0.058639450250036695,0.009961048661783743,OPTIMAL,11927
4,25,125,5.0,1800.189,4.884672325565907,0.12173393250437403,0.02555857801598093,Time limit reached,85754
5,25,125,5.0,209.34,4.894533786447226,0.047679656249173696,0.00983723771510025,OPTIMAL,10189
6,25,125,5.0,9.197,3.78635467547559,0.03733373064218082,0.009958261421193467,OPTIMAL,440
7,25,125,5.0,151.455,5.263450191286596,0.05116710698214355,0.009816640070110752,OPTIMAL,6593
8,25,125,5.0,1801.584,2.4856970215150085,0.36256942612220744,0.17077137846495197,Time limit reached,66898
9,25,125,5.0,13.058,5.610723655358916,0.052309503755345155,0.009410868339174433,OPTIMAL,665
10,25,125,5.0,208.964,2.129746512550934,0.02098704107128402,0.009952316210135655,OPTIMAL,10006
1,26,130,6.0,576.984,3.025581528422717,0.02965922026820067,0.009899862952878343,OPTIMAL,22500
2,26,130,6.0,724.582,3.7070399595975227,0.036647706779675104,0.009984683994344143,OPTIMAL,25072
3,26,130,6.0,226.0,5.998170344082331,0.05756704029238868,0.009690436702895561,OPTIMAL,9777
4,26,130,6.0,1800.313,5.037757043805911,0.17217189192734672,0.035385649732360046,Time limit reached,66995
5,26,130,6.0,1108.789,5.04277457237946,0.049730832059988295,0.009960023313716525,OPTIMAL,47716
6,26,130,6.0,99.012,4.084618122133698,0.04013108831485823,0.009922417349664764,OPTIMAL,3810
7,26,130,6.0,401.823,5.551365819982829,0.05461826330295949,0.009936469292024366,OPTIMAL,17136
8,26,130,6.0,1803.804,2.5090752392130415,0.456263287528468,0.22226258335745286,Time limit reached,54258
