seed,dimension,p,k,Ns,time,solution,dual_gap,rel_dual_gap,termination,ncalls
2,90,90,45.0,5.0,16.712,-19011.934305295406,5.171750672161579e-8,2.7202653812669068e-12,OPTIMAL,112
2,90,90,45.0,10.0,16.92,-27740.677769395017,9.614450391381979e-8,3.4658311059685603e-12,OPTIMAL,91
3,90,90,45.0,0.1,0.024,-4063.3151238691667,0.0,0.0,OPTIMAL,4
3,90,90,45.0,1.0,1805.469,-9491.04737677451,117.10693566189184,0.01233867359554685,Time limit reached,9962
3,90,90,45.0,5.0,11.679,-5513.200409747502,7.24694473319687e-8,1.3144714856336542e-11,OPTIMAL,75
3,90,90,45.0,10.0,11.687,-6394.957922008486,6.939808372408152e-8,1.0852000055425763e-11,OPTIMAL,74
4,90,90,45.0,0.1,0.025,-10504.732237194454,0.0,0.0,OPTIMAL,4
4,90,90,45.0,1.0,8.962,-26797.483378025852,6.420159479603171e-7,2.39580687075554e-11,OPTIMAL,30
4,90,90,45.0,5.0,11.713,-14054.763890204822,4.282810550648719e-8,3.0472305220534765e-12,OPTIMAL,85
4,90,90,45.0,10.0,18.663,-19969.335663220205,4.049798008054495e-8,2.0280083806260356e-12,OPTIMAL,81
5,90,90,45.0,0.1,0.026,-1000.1461563458813,0.0,0.0,OPTIMAL,4
5,90,90,45.0,1.0,1806.667,-3068.224299531796,29.35275144186835,0.009566690233940038,Time limit reached,21327
5,90,90,45.0,5.0,16.82,-2062.0580630054087,4.0397026168648154e-8,1.9590634664171526e-11,OPTIMAL,181
5,90,90,45.0,10.0,11.274,-2250.2100525934984,9.799896361073479e-8,4.3551029157382557e-11,OPTIMAL,130
6,90,90,45.0,0.1,0.022,-1.4397826701698136e6,0.0,0.0,OPTIMAL,4
6,90,90,45.0,1.0,5.459,-6.064949686289286e6,2.421438694000244e-8,3.99251241848595e-15,OPTIMAL,17
6,90,90,45.0,5.0,10.927,-2.1317104343689275e6,6.28642737865448e-8,2.949006242733674e-14,OPTIMAL,55
6,90,90,45.0,10.0,10.881,-4.0717926895593456e6,2.2351741790771484e-8,5.489410560632058e-15,OPTIMAL,61
7,90,90,45.0,0.1,0.022,-129915.86278481437,0.0,0.0,OPTIMAL,4
7,90,90,45.0,1.0,1805.738,-565906.4472250538,1771.659301257925,0.003130657567068429,Time limit reached,10184
7,90,90,45.0,5.0,11.801,-285656.52233493637,3.550667315721512e-9,1.2429848570229051e-14,OPTIMAL,69
7,90,90,45.0,10.0,11.745,-430257.28109484864,2.450542524456978e-8,5.695528308599999e-14,OPTIMAL,72
8,90,90,45.0,0.1,0.025,-118972.5986311546,0.0,0.0,OPTIMAL,4
8,90,90,45.0,1.0,8.417,-411810.8353111659,0.21932455943897367,5.325856938010171e-7,OPTIMAL,27
8,90,90,45.0,5.0,34.779,-218304.83075929398,2.852175384759903e-8,1.30651043077684e-13,OPTIMAL,136
8,90,90,45.0,10.0,11.746,-310944.66612599214,3.1548552215099335e-8,1.0146034215076752e-13,OPTIMAL,69
9,90,90,45.0,0.1,0.025,-8286.736243114898,0.0,0.0,OPTIMAL,4
9,90,90,45.0,1.0,14.287,-19916.532595301855,0.011177270436746767,5.612056407541236e-7,OPTIMAL,54
9,90,90,45.0,5.0,11.776,-13316.99830678982,2.5054760044440627e-8,1.8814119719205925e-12,OPTIMAL,57
9,90,90,45.0,10.0,17.843,-16191.906845473053,2.4915425456129014e-7,1.538757954446538e-11,OPTIMAL,69
10,90,90,45.0,0.1,0.023,-95338.92676350637,0.0,0.0,OPTIMAL,4
10,90,90,45.0,1.0,1807.918,-222405.109055052,143.19808288107743,0.0006438614809232263,Time limit reached,4456
10,90,90,45.0,5.0,6.025,-86326.22789915002,3.68745531886816e-8,4.271535324323452e-13,OPTIMAL,34
10,90,90,45.0,10.0,17.971,-148455.7765054367,1.973239704966545e-8,1.329176776690991e-13,OPTIMAL,82
