seed;dimension;var_A;p;k;M;time;solution;dual_gap;rel_dual_gap;termination;ncalls
2;10;1;50;10.0;0.1;0.016;0.4397914264701337;0.005995646430049573;0.013821357205216602;OPTIMAL;4
2;10;5;50;10.0;0.1;3.26;0.06446303612227391;0.0006337436437065802;0.009928727377314723;OPTIMAL;1333
2;10;1;50;10.0;1.0;1800.164;0.24914722062431882;0.018590096998950423;0.08063119762526799;Time limit reached;443074
2;10;5;50;10.0;1.0;1800.204;0.03734936127333269;0.008351571528972274;0.2880071758088568;Time limit reached;408933
3;10;1;50;10.0;0.1;86.194;0.6417043882144098;0.006349073311690545;0.009992949083400156;OPTIMAL;28011
3;10;5;50;10.0;0.1;245.498;0.30951926984599853;0.0030598870337338324;0.009984641376140545;OPTIMAL;67193
3;10;1;50;10.0;1.0;1800.698;0.6417043882144046;0.011328443690915124;0.01797093272567446;Time limit reached;344422
3;10;5;50;10.0;1.0;1800.471;0.3122603352672507;0.030890873926283424;0.10978758596992673;Time limit reached;327508
1;15;1;75;15.0;0.1;1800.192;0.5772115960594669;0.021387344883457948;0.03847861052878991;Time limit reached;458353
1;15;5;75;15.0;0.1;1800.234;0.20905629148602778;0.028902407892200138;0.16043177818671447;Time limit reached;388191
1;15;1;75;15.0;1.0;1801.419;0.5763401692151163;0.04539787137238471;0.08550434116257176;Time limit reached;262043
1;15;5;75;15.0;1.0;1801.085;0.2339045960985135;0.0822076943738701;0.5419207211172418;Time limit reached;222703
2;15;1;75;15.0;0.1;0.424;0.42903579892727406;0.004223853318342685;0.009942877929875901;OPTIMAL;151
2;15;5;75;15.0;0.1;598.753;0.06590296722974101;0.0006518244284613728;0.009989471455641538;OPTIMAL;165785
2;15;1;75;15.0;1.0;1800.484;0.6931471805599453;0.4115574911858637;1.4615502865203445;Time limit reached;294219
2;15;5;75;15.0;1.0;1801.309;0.06050552946342026;0.017407450079700883;0.403903151338031;Time limit reached;281123
3;15;1;75;15.0;0.1;1800.438;0.6931471805599453;0.06345210637301202;0.10076640103139099;Time limit reached;329665
3;15;5;75;15.0;0.1;1800.504;0.6931471805599453;0.410144427971115;1.4492595009031823;Time limit reached;295366
3;15;1;75;15.0;1.0;1802.095;0.6445749444342167;0.019033336833671588;0.030426971767201442;Time limit reached;243272
3;15;5;75;15.0;1.0;1802.101;0.32187527047884956;0.057285559141608544;0.21650713042501285;Time limit reached;191735
1;20;1;100;20.0;0.1;1800.423;0.6931471805599454;0.07102050286024364;0.11415762320760817;Time limit reached;248948
1;20;5;100;20.0;0.1;1800.825;0.6931471805599454;0.42498537487406707;1.5848094913706319;Time limit reached;218993
1;20;1;100;20.0;1.0;1804.026;0.6537276159833064;0.034062481524332666;0.05496917549520102;Time limit reached;169557
1;20;5;100;20.0;1.0;1801.639;0.38868657074622914;0.13128796193414394;0.5100569989093888;Time limit reached;169627
2;20;1;100;20.0;0.1;1800.234;0.5096096544687925;0.01702921636410476;0.034571442645242756;Time limit reached;381126
2;20;5;100;20.0;0.1;1800.409;0.14141636735979926;0.020545153019362383;0.16997556557590654;Time limit reached;305452
2;20;1;100;20.0;1.0;1803.474;0.6931471805599454;0.23621117871447556;0.5169458693569068;Time limit reached;206392
2;20;5;100;20.0;1.0;1801.388;0.6931471805599454;0.5880995742740398;5.5984100453790715;Time limit reached;147890
3;20;1;100;20.0;0.1;1800.128;0.6931471805599454;0.07306168404847846;0.1178251780754678;Time limit reached;262313
3;20;5;100;20.0;0.1;1800.145;0.6931471805599454;0.4349356257000697;1.6844158114306593;Time limit reached;220196
3;20;1;100;20.0;1.0;1803.497;0.6486733998238102;0.03096464510502439;0.050128227693844424;Time limit reached;143133
3;20;5;100;20.0;1.0;1803.093;0.33471316146651486;0.08649396232414794;0.34845798642086123;Time limit reached;116520
