seed,dimension,time,solution,termination,calls
6,50,1800.01909,36.0200149673788,TIME_LIMIT,17899
7,50,1800.013303,98.15738306718039,TIME_LIMIT,24455
8,50,1800.001096,114.5277625325527,TIME_LIMIT,31614
9,50,1170.598048,-0.24165090234658815,OPTIMAL,14701
10,50,1800.000406,7.446462653617637,TIME_LIMIT,9309
1,55,1800.000712,56.71976756551296,TIME_LIMIT,20777
2,55,1800.001403,18.073821234334577,TIME_LIMIT,23824
3,55,1800.515639,14.448028388513151,TIME_LIMIT,18919
4,55,1800.042171,95.55937570433066,TIME_LIMIT,21358
5,55,1800.00406,-18.578500834560643,TIME_LIMIT,27927
6,55,1800.000727,93.53860675120615,TIME_LIMIT,22601
7,55,1800.005633,20.666399673708014,TIME_LIMIT,16549
8,55,1800.000303,48.93857738729856,TIME_LIMIT,23705
9,55,1800.037071,5.709467085412394,TIME_LIMIT,24732
10,55,1800.001007,13.129289142600085,TIME_LIMIT,22834
1,60,1800.000991,126.17093252268242,TIME_LIMIT,29910
2,60,1800.340687,53.81438707760712,TIME_LIMIT,14047
3,60,1800.008523,25.262336772633194,TIME_LIMIT,13222
4,60,1800.39465,53.17142847017449,TIME_LIMIT,13454
5,60,1800.001472,102.39186768567328,TIME_LIMIT,16230
6,60,1800.000614,79.25052899188634,TIME_LIMIT,20037
7,60,1800.000236,14.362571247938796,TIME_LIMIT,19080
8,60,1800.014567,130.19940921862968,TIME_LIMIT,16791
9,60,1800.006328,6.964776251007596,TIME_LIMIT,21999
10,60,1800.15561,13.781327335809024,TIME_LIMIT,13492
1,65,1800.419438,83.72055155150423,TIME_LIMIT,21584
2,65,1800.074854,100.78084034118655,TIME_LIMIT,19164
3,65,1800.000759,160.6593989067116,TIME_LIMIT,19543
4,65,1800.,INF,TIME_LIMIT,INF
5,65,1800.007944,105.5201570019209,TIME_LIMIT,22414
6,65,1800.107011,27.06937080021949,TIME_LIMIT,18871
7,65,1800.014358,277.1999068338577,TIME_LIMIT,29142
8,65,1800.383248,64.1356053889362,TIME_LIMIT,16185
9,65,1800.012395,61.90965310979557,TIME_LIMIT,18701
10,65,1800.004272,20.37564131371693,TIME_LIMIT,18199
1,70,1800.,INF,TIME_LIMIT,INF
2,70,1800.050003,57.388590491854956,TIME_LIMIT,20071
3,70,1800.04429,295.9760073205017,TIME_LIMIT,20048
4,70,1800.007446,98.06756573883774,TIME_LIMIT,17887
5,70,1800.006074,96.54934702017265,TIME_LIMIT,34928
6,70,1800.001074,84.87181225878845,TIME_LIMIT,15925
7,70,1800.00108,15.329470249116204,TIME_LIMIT,30180
8,70,1800.001237,55.578655852048506,TIME_LIMIT,16727
9,70,1800.004185,1159.2813258809997,TIME_LIMIT,32524
10,70,1800.000399,107.7517730159331,TIME_LIMIT,17485
1,75,1800.056563,679.8151099773937,TIME_LIMIT,15163
2,75,1800.022551,268.38976427048243,TIME_LIMIT,16651
3,75,1800.018752,340.8329906851081,TIME_LIMIT,22003
4,75,1943.146575,659.3238839414967,TIME_LIMIT,20031
5,75,1800.,INF,TIME_LIMIT,INF
6,75,1800.,INF,TIME_LIMIT,INF
7,75,1800.,INF,TIME_LIMIT,INF
8,75,1800.,INF,TIME_LIMIT,INF
9,75,1800.,INF,TIME_LIMIT,INF
10,75,1800.,INF,TIME_LIMIT,INF
1,80,1800.,INF,TIME_LIMIT,INF
2,80,1800.,INF,TIME_LIMIT,INF
3,80,1800.,INF,TIME_LIMIT,INF
4,80,1800.,INF,TIME_LIMIT,INF
5,80,1800.,INF,TIME_LIMIT,INF
6,80,1800.,INF,TIME_LIMIT,INF
7,80,1800.,INF,TIME_LIMIT,INF
8,80,1800.,INF,TIME_LIMIT,INF
9,80,1800.,INF,TIME_LIMIT,INF
10,80,1800.,INF,TIME_LIMIT,INF
1,85,1800.,INF,TIME_LIMIT,INF
2,85,1800.,INF,TIME_LIMIT,INF
3,85,1800.,INF,TIME_LIMIT,INF
4,85,1800.,INF,TIME_LIMIT,INF
5,85,1800.,INF,TIME_LIMIT,INF
6,85,1800.,INF,TIME_LIMIT,INF
7,85,1800.,INF,TIME_LIMIT,INF
8,85,1800.,INF,TIME_LIMIT,INF
9,85,1800.,INF,TIME_LIMIT,INF
10,85,1800.,INF,TIME_LIMIT,INF
1,90,1800.,INF,TIME_LIMIT,INF
2,90,1800.,INF,TIME_LIMIT,INF
3,90,1800.,INF,TIME_LIMIT,INF
4,90,1800.,INF,TIME_LIMIT,INF
5,90,1800.,INF,TIME_LIMIT,INF
6,90,1800.,INF,TIME_LIMIT,INF
7,90,1800.,INF,TIME_LIMIT,INF
8,90,1800.,INF,TIME_LIMIT,INF
9,90,1800.,INF,TIME_LIMIT,INF
10,90,1800.,INF,TIME_LIMIT,INF
1,95,1800.,INF,TIME_LIMIT,INF
2,95,1800.,INF,TIME_LIMIT,INF
3,95,1800.,INF,TIME_LIMIT,INF
4,95,1800.,INF,TIME_LIMIT,INF
5,95,1800.,INF,TIME_LIMIT,INF
6,95,1800.,INF,TIME_LIMIT,INF
7,95,1800.,INF,TIME_LIMIT,INF
8,95,1800.,INF,TIME_LIMIT,INF
9,95,1800.,INF,TIME_LIMIT,INF
10,95,1800.,INF,TIME_LIMIT,INF
1,100,1800.,INF,TIME_LIMIT,INF
2,100,1800.,INF,TIME_LIMIT,INF
3,100,1800.,INF,TIME_LIMIT,INF
4,100,1800.,INF,TIME_LIMIT,INF
5,100,1800.,INF,TIME_LIMIT,INF
6,100,1800.,INF,TIME_LIMIT,INF
7,100,1800.,INF,TIME_LIMIT,INF
8,100,1800.,INF,TIME_LIMIT,INF
9,100,1800.,INF,TIME_LIMIT,INF
10,100,1800.,INF,TIME_LIMIT,INF
1,105,1800.,INF,TIME_LIMIT,INF
2,105,1800.,INF,TIME_LIMIT,INF
3,105,1800.,INF,TIME_LIMIT,INF
4,105,1800.,INF,TIME_LIMIT,INF
5,105,1800.,INF,TIME_LIMIT,INF
6,105,1800.,INF,TIME_LIMIT,INF
7,105,1800.,INF,TIME_LIMIT,INF
8,105,1800.,INF,TIME_LIMIT,INF
9,105,1800.,INF,TIME_LIMIT,INF
10,105,1800.,INF,TIME_LIMIT,INF
1,110,1800.,INF,TIME_LIMIT,INF
2,110,1800.,INF,TIME_LIMIT,INF
3,110,1800.,INF,TIME_LIMIT,INF
4,110,1800.,INF,TIME_LIMIT,INF
5,110,1800.,INF,TIME_LIMIT,INF
6,110,1800.,INF,TIME_LIMIT,INF
7,110,1800.,INF,TIME_LIMIT,INF
8,110,1800.,INF,TIME_LIMIT,INF
9,110,1800.,INF,TIME_LIMIT,INF
10,110,1800.,INF,TIME_LIMIT,INF
1,115,1800.,INF,TIME_LIMIT,INF
2,115,1800.,INF,TIME_LIMIT,INF
3,115,1800.,INF,TIME_LIMIT,INF
4,115,1800.,INF,TIME_LIMIT,INF
5,115,1800.,INF,TIME_LIMIT,INF
6,115,1800.,INF,TIME_LIMIT,INF
7,115,1800.,INF,TIME_LIMIT,INF
8,115,1800.,INF,TIME_LIMIT,INF
9,115,1800.,INF,TIME_LIMIT,INF
10,115,1800.,INF,TIME_LIMIT,INF
1,120,1800.,INF,TIME_LIMIT,INF
2,120,1800.,INF,TIME_LIMIT,INF
3,120,1800.,INF,TIME_LIMIT,INF
4,120,1800.,INF,TIME_LIMIT,INF
5,120,1800.,INF,TIME_LIMIT,INF
6,120,1800.,INF,TIME_LIMIT,INF
7,120,1800.,INF,TIME_LIMIT,INF
8,120,1800.,INF,TIME_LIMIT,INF
9,120,1800.,INF,TIME_LIMIT,INF
10,120,1800.,INF,TIME_LIMIT,INF
