seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
3,15,5,0.1,203.672,0.26389846403729855,0.002597863945644152,0.009942051203605806,OPTIMAL,48509
3,15,1,1.0,2.61,0.6252714289032576,0.006128460286772386,0.00989829586608538,OPTIMAL,363
3,15,5,1.0,1815.461,0.26389846960773483,0.006232606357334913,0.024188715876879898,Time limit reached,607672
4,15,1,0.1,2.485,0.6340664353316329,0.005113252101116128,0.008129781734870523,OPTIMAL,189
4,15,5,0.1,73.01,0.28085071265848094,0.0027129770252284913,0.00975407748629181,OPTIMAL,7302
4,15,1,1.0,3.249,0.6340664353316255,0.006214158996515007,0.009897485811134107,OPTIMAL,496
4,15,5,1.0,94.092,0.2808507126584773,0.0027765836926726406,0.009985048601964993,OPTIMAL,23134
5,15,1,0.1,3.707,0.6091351395410601,0.005436429597359793,0.009005203270795101,OPTIMAL,331
5,15,5,0.1,122.375,0.2347666892690487,0.002318036492351905,0.009972251784047726,OPTIMAL,12019
5,15,1,1.0,3.95,0.6091351395410528,0.005201660679470921,0.008612969576179286,OPTIMAL,599
5,15,5,1.0,112.584,0.23476668926904903,0.00232157053582846,0.009987607175752089,OPTIMAL,20458
1,20,1,0.1,5.655,0.6222824804020576,0.006040308185486842,0.009801841642483452,OPTIMAL,307
1,20,5,0.1,126.759,0.2631864298415595,0.0025887495427336926,0.00993389327090398,OPTIMAL,8880
1,20,1,1.0,7.705,0.6222824804020535,0.0060432900375743115,0.009806727861627826,OPTIMAL,872
1,20,5,1.0,196.785,0.26318642984155866,0.002605148623840259,0.009997451127978873,OPTIMAL,37381
2,20,1,0.1,9.259,0.6316904518198101,0.006233008044061239,0.009965519007070956,OPTIMAL,433
2,20,5,0.1,134.586,0.2878113530274359,0.0027929318755137156,0.009799127594019654,OPTIMAL,8548
2,20,1,1.0,9.594,0.6316904518198053,0.006100114906361642,0.009750973674655161,OPTIMAL,1579
2,20,5,1.0,159.038,0.2878113530274317,0.0028356931675813657,0.00995065041335792,OPTIMAL,31012
3,20,1,0.1,4.542,0.5995010769047824,0.005831642219650157,0.009823046090865564,OPTIMAL,231
3,20,5,0.1,262.731,0.21857209854025544,0.002158851145817875,0.009975596095941045,OPTIMAL,17630
3,20,1,1.0,5.072,0.599501076904766,0.005704360272637543,0.009606587764565787,OPTIMAL,529
3,20,5,1.0,402.911,0.21857209854025333,0.0021617237506853237,0.00998900238857462,OPTIMAL,78743
4,20,1,0.1,7.183,0.5951193348725515,0.005415227981753312,0.009182957891042986,OPTIMAL,429
4,20,5,0.1,248.551,0.21327897875331472,0.0020917328251951472,0.009904636125171578,OPTIMAL,18177
4,20,1,1.0,8.245,0.5951193348725422,0.0051060909362447005,0.008654197153574393,OPTIMAL,1003
4,20,5,1.0,222.335,0.2132789787533193,0.0020959806657878943,0.00992494985282456,OPTIMAL,27718
5,20,1,0.1,4.868,0.6388250326770433,0.00624918444354472,0.00987894884225488,OPTIMAL,295
5,20,5,0.1,99.816,0.29840951132069604,0.002945701601512807,0.009969754347622069,OPTIMAL,7492
5,20,1,1.0,3.968,0.638825032677048,0.006120152492400499,0.009672997133536261,OPTIMAL,383
5,20,5,1.0,1827.275,0.2984095113206927,0.0044100593018843726,0.015000229665741837,Time limit reached,439944
1,25,1,0.1,14.336,0.6283369552158657,0.006200339968209678,0.009966203268299018,OPTIMAL,534
1,25,5,0.1,190.328,0.2804739305711732,0.002755556978454976,0.00992212701956867,OPTIMAL,8847
1,25,1,1.0,9.931,0.6283369552158415,0.005944652874682266,0.009551295625477952,OPTIMAL,741
1,25,5,1.0,139.628,0.28047393057116843,0.0027014808508628585,0.009725517608326642,OPTIMAL,12634
2,25,1,0.1,14.779,0.6216814003390515,0.005346335030073646,0.008674396981442957,OPTIMAL,499
2,25,5,0.1,308.117,0.26106497588977684,0.002572748484709342,0.00995290462129735,OPTIMAL,11194
2,25,1,1.0,7.018,0.6216814003390363,0.006000187441771221,0.00974560749309795,OPTIMAL,585
2,25,5,1.0,226.859,0.26106497588977295,0.0025797231572708412,0.009980156043720266,OPTIMAL,30600
3,25,1,0.1,14.513,0.5837527067565944,0.005671369387198033,0.009810677184297345,OPTIMAL,605
3,25,5,0.1,528.207,0.20009330348062054,0.0019797667569846633,0.009993091788303165,OPTIMAL,28348
3,25,1,1.0,10.197,0.5837527067565771,0.005585023239818909,0.009659867541968951,OPTIMAL,905
3,25,5,1.0,868.712,0.20009330348062015,0.0019796852613654936,0.009992676319578156,OPTIMAL,131233
4,25,1,0.1,16.014,0.5080470573087412,0.004858619876053627,0.009655666773351829,OPTIMAL,657
4,25,5,0.1,1802.621,0.13245498993626015,0.0015281725929227608,0.011671960137206578,Time limit reached,108231
4,25,1,1.0,13.251,0.5080470573087216,0.0048043231732564085,0.009546731323423657,OPTIMAL,1191
4,25,5,1.0,1840.501,0.1324549899385595,0.0029594365040707116,0.02285357624706301,Time limit reached,340953
5,25,1,0.1,7.853,0.6510675370546324,0.005919592225333226,0.009175557750400184,OPTIMAL,333
5,25,5,0.1,158.09,0.33638580617316466,0.0032624779746727173,0.009793604045432584,OPTIMAL,15688
5,25,1,1.0,5.3,0.6510675370546314,0.006223247416770494,0.009650775414736816,OPTIMAL,421
5,25,5,1.0,1815.632,0.33638584449390835,0.004342750959662023,0.013078877543989993,Time limit reached,296945
1,30,1,0.1,18.592,0.6076661618868342,0.005692931327697881,0.009457117092084084,OPTIMAL,545
1,30,5,0.1,1839.253,0.23988350646382522,0.00306263636780571,0.012932290834688505,Time limit reached,292381
1,30,1,1.0,13.464,0.6076661618868193,0.0050487209387815035,0.008377986755310061,OPTIMAL,965
1,30,5,1.0,1844.029,0.23988271172710218,0.007741874061712506,0.033349901463144226,Time limit reached,323068
2,30,1,0.1,13.405,0.5959194794629028,0.005811309170525414,0.00984787105666766,OPTIMAL,430
2,30,5,0.1,505.599,0.21184829349114484,0.002094281425156136,0.00998446420418063,OPTIMAL,20791
2,30,1,1.0,13.734,0.5959194794628928,0.005882487992742047,0.00996969355783117,OPTIMAL,981
2,30,5,1.0,1862.149,0.21184829390196944,0.0032133995869599308,0.015402023700350657,Time limit reached,276291
3,30,1,0.1,15.982,0.5568540988762911,0.005236615096893438,0.009493199999780391,OPTIMAL,436
3,30,5,0.1,1214.01,0.17200659056901513,0.0016804740841117327,0.009866214992700071,OPTIMAL,42997
3,30,1,1.0,18.715,0.5568540988762745,0.005061353427749271,0.009172562469329215,OPTIMAL,1296
3,30,5,1.0,1359.158,0.17200660004703852,0.0017029231077796136,0.0099993325944864,OPTIMAL,138024
4,30,1,0.1,11.627,0.6359632609005299,0.006261602700827651,0.009943760857688356,OPTIMAL,343
4,30,5,0.1,279.942,0.2967973686878537,0.0028437490533768095,0.00967414198509592,OPTIMAL,10268
4,30,1,1.0,7.742,0.6359632609005238,0.006262641998355578,0.00994542773242622,OPTIMAL,432
4,30,5,1.0,585.429,0.2967973719876513,0.002926916054678652,0.009959885369852343,OPTIMAL,81119
5,30,1,0.1,15.245,0.6424555606917962,0.006315955556047248,0.009928568359926993,OPTIMAL,393
5,30,5,0.1,287.948,0.3096580469979862,0.0030551114975010396,0.009964390890498193,OPTIMAL,8069
5,30,1,1.0,10.122,0.6424555606917853,0.006229766502833467,0.009791754059225232,OPTIMAL,619
5,30,5,1.0,207.72,0.3096580469980757,0.0030381849726890953,0.009908637205105613,OPTIMAL,22225
