dimension,time_boscia,solution_boscia,seed,p,k,Ns,termination_boscia,termination_afw,time_afw,termination_no_ws,time_no_ws,termination_no_as,time_no_as,termination_no_ss,time_no_ss,termination_ipopt,time_ipopt,solution_ipopt,termination_scip,time_scip,solution_scip,optimal_scip,optimal_ipopt,optimal_boscia
90,9.992,-86326.22789915002,10,90,45.0,5.0,1,1,220.933,1,16.826,1,17.976,1,9.366,0,1.80035e6,Inf,1,1800,Inf,0,0,1
70,35.332,-5553.04257412739,1,70,35.0,5.0,1,1,24.777,1,6.897,1,16.729,1,33.425,0,1.800051e6,Inf,1,1800,Inf,0,0,1
70,14.124,-429.6176890484231,2,70,35.0,5.0,1,1,21.44,1,20.144,1,12.809,1,19.712,0,1.800028e6,Inf,1,0.011526999999999999,2.670347429309748e19,0,0,1
70,22.019,-270888.333930928,3,70,35.0,5.0,1,1,38.28,1,13.791,1,14.232,1,39.835,0,1.800168e6,Inf,1,1800,Inf,0,0,1
90,35.613,-24742.21840937466,1,90,45.0,5.0,1,1,48.525,1,11.543,1,22.225,1,33.891,0,1.800482e6,Inf,1,1800,Inf,0,0,1
90,35.684,-19011.934305295406,2,90,45.0,5.0,1,1,46.706,1,24.47,1,23.471,1,22.69,0,1.800267e6,Inf,1,1800,Inf,0,0,1
90,21.097,-5513.200409747502,3,90,45.0,5.0,1,1,47.068,1,17.719,1,23.649,1,26.484,0,1.800329e6,Inf,1,1800,Inf,0,0,1
70,14.685,-6856.494171644392,7,70,35.0,10.0,1,1,23.491,1,14.413,1,14.669,1,12.961,1,12627.0,-10484.27626475453,0,1800,Inf,0,1,0
50,10.359,-536.6399743703427,1,50,25.0,5.0,1,1,73.269,1,15.877,1,14.916,1,9.109,0,1.800058e6,Inf,0,1800,Inf,0,0,1
50,16.632,-807.0351193894104,2,50,25.0,5.0,1,1,33.369,1,12.21,1,11.031,1,14.47,1,104217.0,-1210.6857101022597,0,1800,Inf,0,1,0
50,15.194,-1741.9277009614436,3,50,25.0,5.0,1,1,64.735,1,11.392,1,10.876,1,19.401,1,1.32459e6,-2870.9998411084157,0,1800,Inf,0,1,0
