seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,15,5,75,15.0,1.0,40660.0,0.2554276095119859,0.38381647866821245,Time limit reached,6138,0,0
7,15,5,75,15.0,1.0,41305.0,0.2554395202894679,0.38381647866821245,Time limit reached,6231,0,0
7,15,5,75,15.0,1.0,41585.0,0.2554395202894679,0.38381647866821245,Time limit reached,6276,0,0
7,15,5,75,15.0,1.0,41883.0,0.2554395202894679,0.38381647866821245,Time limit reached,6323,0,0
7,15,5,75,15.0,1.0,42194.0,0.2554395202894679,0.38381647866821245,Time limit reached,6370,0,0
7,15,5,75,15.0,1.0,42508.0,0.25544389605758533,0.38381647866821245,Time limit reached,6422,0,0
7,15,5,75,15.0,1.0,42795.0,0.25544389605758533,0.38381647866821245,Time limit reached,6470,0,0
7,15,5,75,15.0,1.0,43130.0,0.2554479054867269,0.38381647866821245,Time limit reached,6524,0,0
7,15,5,75,15.0,1.0,43620.0,0.2554479054867269,0.38381647866821245,Time limit reached,6589,0,0
7,15,5,75,15.0,1.0,44310.0,0.2554479054867269,0.38381647866821245,Time limit reached,6681,0,0
7,15,5,75,15.0,1.0,44800.0,0.2554479054867269,0.38381647866821245,Time limit reached,6740,0,0
7,15,5,75,15.0,1.0,45912.0,0.2554611647019521,0.38381647866821245,Time limit reached,6831,0,0
7,15,5,75,15.0,1.0,46226.0,0.2554611647019521,0.38381647866821245,Time limit reached,6882,0,0
7,15,5,75,15.0,1.0,46618.0,0.2554751698650441,0.38381647866821245,Time limit reached,6946,0,0
7,15,5,75,15.0,1.0,46886.0,0.2554751698650441,0.38381647866821245,Time limit reached,6990,0,0
7,15,5,75,15.0,1.0,47161.0,0.2554979093157589,0.38381647866821245,Time limit reached,7039,0,0
7,15,5,75,15.0,1.0,47632.0,0.2554979093157589,0.38381647866821245,Time limit reached,7095,0,0
7,15,5,75,15.0,1.0,48810.0,0.25551168488197185,0.38381647866821245,Time limit reached,7188,0,0
7,15,5,75,15.0,1.0,49210.0,0.25551168488197185,0.38381647866821245,Time limit reached,7250,0,0
7,15,5,75,15.0,1.0,49688.0,0.25551168488197185,0.38381647866821245,Time limit reached,7328,0,0
7,15,5,75,15.0,1.0,50159.0,0.25551168488197185,0.38381647866821245,Time limit reached,7398,0,0
7,15,5,75,15.0,1.0,50803.0,0.25552686611531017,0.38381647866821245,Time limit reached,7494,0,0
7,15,5,75,15.0,1.0,51234.0,0.25552686611531017,0.38381647866821245,Time limit reached,7546,0,0
7,15,5,75,15.0,1.0,52362.0,0.25553828533153106,0.38381647866821245,Time limit reached,7635,0,0
7,15,5,75,15.0,1.0,52826.0,0.25553828533153106,0.38381647866821245,Time limit reached,7681,0,0
7,15,5,75,15.0,1.0,52969.0,0.25554285507055574,0.38381647866821245,Time limit reached,7709,0,0
7,15,5,75,15.0,1.0,53402.0,0.25554285507055574,0.38381647866821245,Time limit reached,7761,0,0
7,15,5,75,15.0,1.0,54612.0,0.25554285507055574,0.38381647866821245,Time limit reached,7857,0,0
7,15,5,75,15.0,1.0,55138.0,0.25554285507055574,0.38381647866821245,Time limit reached,7910,0,0
7,15,5,75,15.0,1.0,55261.0,0.2555587442874418,0.38381647866821245,Time limit reached,7935,0,0
7,15,5,75,15.0,1.0,55744.0,0.2555587442874418,0.38381647866821245,Time limit reached,7996,0,0
7,15,5,75,15.0,1.0,56983.0,0.2555587442874418,0.38381647866821245,Time limit reached,8095,0,0
7,15,5,75,15.0,1.0,57486.0,0.2555587442874418,0.38381647866821245,Time limit reached,8148,0,0
7,15,5,75,15.0,1.0,57590.0,0.25555949705771475,0.38381647866821245,Time limit reached,8169,0,0
7,15,5,75,15.0,1.0,57801.0,0.25555949705771475,0.38381647866821245,Time limit reached,8209,0,0
