seed,dimension,p,k,time,num_nodes,solution,termination
9,23,115,5.0,0.0,257,5.301259739911358,Optimal
10,23,115,5.0,0.0,9701,2.175034230485567,Optimal
1,24,120,5.0,0.0,665,2.7933710187414222,Optimal
2,24,120,5.0,0.0,10431,3.4987351397996442,Time limit reached
3,24,120,5.0,0.0,4535,5.824762848631446,Optimal
4,24,120,5.0,0.0,4447,4.51202172459079,Optimal
5,24,120,5.0,0.0,16875,Inf,Time limit reached
6,24,120,5.0,0.0,503,3.907638061798051,Optimal
7,24,120,5.0,0.0,6647,5.4418225735892305,Optimal
8,24,120,5.0,0.0,16949,Inf,Time limit reached
9,24,120,5.0,0.0,889,5.580350338646799,Optimal
10,24,120,5.0,1.0,7599,2.104805076531319,Optimal
1,25,125,5.0,0.0,5211,3.2556056721706597,Optimal
2,25,125,5.0,0.0,5973,3.6718248445536323,Optimal
3,25,125,5.0,0.0,5879,5.945507695764691,Optimal
4,25,125,5.0,0.0,16335,Inf,Time limit reached
5,25,125,5.0,0.0,5511,4.894530985067208,Optimal
6,25,125,5.0,0.0,569,3.7863519034851434,Optimal
7,25,125,5.0,0.0,2893,5.2634443257147066,Optimal
8,25,125,5.0,0.0,16251,Inf,Time limit reached
9,25,125,5.0,0.0,469,5.610719744543094,Optimal
10,25,125,5.0,0.0,4285,2.1297443966306417,Optimal
1,26,130,6.0,0.0,8943,3.0255795713846063,Optimal
2,26,130,6.0,0.0,10985,3.735082470587564,Time limit reached
3,26,130,6.0,0.0,5921,5.998163776695466,Optimal
4,26,130,6.0,0.0,15879,Inf,Time limit reached
5,26,130,6.0,0.0,11211,5.109051200486806,Time limit reached
6,26,130,6.0,0.0,3635,4.098123227838013,Optimal
7,26,130,6.0,0.0,10369,5.551359697783417,Optimal
8,26,130,6.0,0.0,11635,Inf,Time limit reached
9,26,130,6.0,0.0,1721,5.767386344238825,Optimal
10,26,130,6.0,0.0,14999,Inf,Time limit reached
1,27,135,6.0,0.0,3401,3.108662800944517,Optimal
2,27,135,6.0,0.0,8557,3.6139355423647546,Optimal
3,27,135,6.0,0.0,10471,6.472776321450648,Time limit reached
4,27,135,6.0,0.0,10055,4.871982051367427,Time limit reached
5,27,135,6.0,0.0,13827,5.185617384044153,Time limit reached
6,27,135,6.0,0.0,1269,3.8093844614551036,Optimal
7,27,135,6.0,0.0,2887,5.734061911053835,Optimal
8,27,135,6.0,0.0,15187,Inf,Time limit reached
9,27,135,6.0,0.0,719,5.804260276295227,Optimal
10,27,135,6.0,0.0,8205,2.082768121356474,Optimal

1,28,140,6.0,0.0,8237,3.0214517089768806,Optimal
2,28,140,6.0,0.0,13973,Inf,Time limit reached
3,28,140,6.0,0.0,9585,6.449537969848223,Optimal
4,28,140,6.0,0.0,9761,4.794704483212945,Time limit reached
5,28,140,6.0,0.0,14149,5.215191940245312,Time limit reached
6,28,140,6.0,0.0,3177,3.954617548847906,Optimal
7,28,140,6.0,0.0,9981,5.968764976568833,Time limit reached
8,28,140,6.0,0.0,14683,Inf,Time limit reached
9,28,140,6.0,0.0,877,6.060028779169677,Optimal
10,28,140,6.0,0.0,11653,2.1021981766448663,Time limit reached
1,29,145,6.0,0.0,3179,3.2553966331679907,Optimal
2,29,145,6.0,0.0,5507,3.7844589751226168,Optimal
3,29,145,6.0,0.0,12829,Inf,Time limit reached
4,29,145,6.0,0.0,12205,5.045091147434267,Time limit reached
5,29,145,6.0,0.0,13913,Inf,Time limit reached
6,29,145,6.0,0.0,1623,4.116276706018758,Optimal
7,29,145,6.0,0.0,14173,6.192227025678532,Time limit reached
8,29,145,6.0,0.0,14165,Inf,Time limit reached
9,29,145,6.0,0.0,685,5.734535940284556,Optimal
10,29,145,6.0,0.0,13265,Inf,Time limit reached
1,30,150,6.0,0.0,13073,Inf,Time limit reached
2,30,150,6.0,0.0,12209,4.16924142399171,Time limit reached
3,30,150,6.0,0.0,13635,Inf,Time limit reached
4,30,150,6.0,0.0,13167,Inf,Time limit reached
5,30,150,6.0,0.0,13251,Inf,Time limit reached
6,30,150,6.0,0.0,1821,4.340884951879812,Optimal
7,30,150,6.0,0.0,3309,5.955006294673545,Optimal
8,30,150,6.0,0.0,11949,Inf,Time limit reached
9,30,150,6.0,0.0,2661,5.90831327831232,Optimal
10,30,150,6.0,0.0,7485,2.492389420282579,Time limit reached
