seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,4,79178.0,-310.43841779292956,-298.9399335199403,Time limit reached,2593
1,4,79897.0,-310.43841779292956,-298.9399335199403,Time limit reached,2616
1,4,80182.0,-310.43841779292956,-298.9399335199403,Time limit reached,2626
1,4,80561.0,-310.43841779292956,-298.9399335199403,Time limit reached,2639
1,4,80992.0,-310.43841779292956,-298.9399335199403,Time limit reached,2653
1,4,81237.0,-310.43841779292956,-298.9399335199403,Time limit reached,2662
1,4,81781.0,-310.43841779292956,-298.9399335199403,Time limit reached,2677
1,4,82241.0,-310.43841779292956,-298.9399335199403,Time limit reached,2692
1,4,82698.0,-310.43841779292956,-298.9399335199403,Time limit reached,2705
1,4,83085.0,-310.43841779292956,-298.9399335199403,Time limit reached,2718
1,4,83541.0,-310.43841779292956,-298.9399335199403,Time limit reached,2733
1,4,83932.0,-310.43841779292956,-298.9399335199403,Time limit reached,2746
1,4,84349.0,-310.43841779292956,-298.9399335199403,Time limit reached,2758
1,4,84880.0,-310.43841779292956,-298.9399335199403,Time limit reached,2774
1,4,85178.0,-310.43841779292956,-298.9399335199403,Time limit reached,2784
1,4,85534.0,-310.43841779292956,-298.9399335199403,Time limit reached,2795
1,4,86068.0,-310.43841779292956,-298.9399335199403,Time limit reached,2812
1,4,86323.0,-310.43841779292956,-298.9399335199403,Time limit reached,2821
1,4,86683.0,-310.43841779292956,-298.9399335199403,Time limit reached,2834
1,4,87061.0,-310.43841779292956,-298.9399335199403,Time limit reached,2846
1,4,87461.0,-310.43841779292956,-298.9399335199403,Time limit reached,2859
1,4,87768.0,-310.43841779292956,-298.9399335199403,Time limit reached,2870
1,4,88090.0,-310.43841779292956,-298.9399335199403,Time limit reached,2881
1,4,88705.0,-310.43841779292956,-298.9399335199403,Time limit reached,2898
1,4,89025.0,-310.43841779292956,-298.9399335199403,Time limit reached,2909
1,4,89418.0,-310.43841779292956,-298.9399335199403,Time limit reached,2922
1,4,89897.0,-310.43841779292956,-298.9399335199403,Time limit reached,2937
1,4,90250.0,-310.43841779292956,-298.9399335199403,Time limit reached,2949
1,4,90811.0,-310.43841779292956,-298.9399335199403,Time limit reached,2967
1,4,91164.0,-310.43841779292956,-298.9399335199403,Time limit reached,2979
1,4,91645.0,-310.43841779292956,-298.9399335199403,Time limit reached,2995
1,4,92097.0,-310.43841779292956,-298.9399335199403,Time limit reached,3010
1,4,92515.0,-310.43841779292956,-298.9399335199403,Time limit reached,3025
1,4,92867.0,-310.43841779292956,-298.9399335199403,Time limit reached,3037
1,4,93243.0,-310.43841779292956,-298.9399335199403,Time limit reached,3049
1,4,93672.0,-310.43841779292956,-298.9399335199403,Time limit reached,3063
1,4,94184.0,-310.43841779292956,-298.9399335199403,Time limit reached,3080
1,4,94663.0,-310.43841779292956,-298.9399335199403,Time limit reached,3093
1,4,95183.0,-310.43841779292956,-298.9399335199403,Time limit reached,3110
1,4,95775.0,-310.43841779292956,-298.9399335199403,Time limit reached,3128
1,4,96191.0,-310.43841779292956,-298.9399335199403,Time limit reached,3141
1,4,96820.0,-310.43841779292956,-298.9399335199403,Time limit reached,3160
1,4,98243.0,-310.43841779292956,-298.9399335199403,Time limit reached,3177
1,4,98699.0,-310.43841779292956,-298.9399335199403,Time limit reached,3192
1,4,99143.0,-310.43841779292956,-298.9399335199403,Time limit reached,3206
1,4,99536.0,-310.43841779292956,-298.9399335199403,Time limit reached,3218
1,4,99872.0,-310.43841779292956,-298.9399335199403,Time limit reached,3230
1,4,100372.0,-310.43841779292956,-298.9399335199403,Time limit reached,3246
1,4,100673.0,-310.43841779292956,-298.9399335199403,Time limit reached,3256
