seed,dimension,num_nodes,solution,termination,time
4,90,167,-0.08912792378960253,Optimal,2131.0
4,95,179,-0.14286078767784957,Optimal,2251.0
4,100,171,-0.506723665163076,Optimal,2290.0
4,105,183,-0.289465418909514,Optimal,2454.0
4,110,211,-0.23983444179527566,Optimal,2789.0
4,115,201,-0.15154444796594652,Optimal,2819.0
4,120,219,-0.3251347091031848,Optimal,3043.0
5,20,37,-10.318941606217937,Optimal,1189.0
5,25,47,-0.30236162396470145,Optimal,1218.0
5,30,55,-0.35831268678494316,Optimal,1232.0
5,35,63,-0.36945523407791053,Optimal,1297.0
5,40,75,-0.2734137560981191,Optimal,1329.0
5,45,73,-0.2129935006221325,Optimal,1358.0
5,50,191,-2.0879788846011746,Optimal,2082.0
5,55,91,-0.5622947797898532,Optimal,1498.0
5,60,1937,-2.418162498149842,Optimal,12671.0
5,65,103,-0.4153267534857149,Optimal,1565.0
5,70,117,-0.26497701857092176,Optimal,1628.0
5,75,131,-0.26195393377620263,Optimal,1772.0
5,80,151,-0.07204247793439723,Optimal,1854.0
5,85,151,-0.20231664490444543,Optimal,1955.0
5,90,455,-0.7583928434443014,Optimal,4217.0
5,95,199,-0.8166590225939467,Optimal,2493.0
5,100,455,-1.8782760355028931,Optimal,4649.0
5,105,193,-0.3641322116228614,Optimal,2456.0
5,110,191,-0.4416836576055562,Optimal,2559.0
5,115,203,-0.36238194340230245,Optimal,2824.0
5,120,195,-0.26634326328856145,Optimal,2850.0
6,20,33,0.3585116019826816,Optimal,1181.0
6,25,79,-1.4184529020436345,Optimal,1423.0
6,30,55,-0.16316117853983667,Optimal,1228.0
6,35,239,-14.004297404845483,Optimal,1869.0
6,40,143,-0.6073707614259649,Optimal,1604.0
6,45,269,-0.396790911856912,Optimal,2232.0
6,50,103,-0.24210863895690463,Optimal,1486.0
6,55,231,-0.4236928240033204,Optimal,2170.0
6,60,107,-0.0558910896118364,Optimal,1535.0
6,65,131,-0.4783650232903186,Optimal,1665.0
6,70,127,0.010632231158208522,Optimal,1681.0
6,75,21581,-10.9048354061685,Optimal,129723.0
6,80,249,-0.5391013045141074,Optimal,2619.0
6,85,151,-0.35958394787517883,Optimal,1926.0
6,90,163,-0.2746213526403307,Optimal,2120.0
6,95,257,-0.7510947915049182,Optimal,2980.0
6,100,171,-0.09693408947220396,Optimal,2329.0
6,105,187,-0.4417199352667623,Optimal,2448.0
6,110,199,-0.05993297185421479,Optimal,2698.0
6,115,74847,-10.736123851683383,Optimal,861158.0
6,120,203,-0.5160394985450574,Optimal,2874.0
7,20,53,-0.3379703562549694,Optimal,1231.0
7,25,43,-0.24333793423485375,Optimal,1181.0
7,30,47,-0.26859813362435325,Optimal,1194.0
7,35,75,-0.9542643957871714,Optimal,1350.0
7,40,71,-0.17701243964089475,Optimal,1311.0
7,45,933,-2.0853067252275848,Optimal,5165.0
7,50,1713,-0.6237549236184888,Optimal,10117.0
7,55,255,-0.48880527329363066,Optimal,2184.0
7,60,97,-0.2833124987173672,Optimal,1497.0
7,65,125,0.1876270065721123,Optimal,1623.0
7,70,133,0.1538388055019757,Optimal,1717.0
7,75,135,-0.4687290239769103,Optimal,1817.0
7,80,127,-0.26193446157405087,Optimal,1787.0
7,85,3059,-1.302069030331187,Optimal,21098.0
7,90,167,-0.7225438418559955,Optimal,2104.0
7,95,299,-0.8839084140641948,Optimal,3333.0
7,100,167,-0.5763532384978223,Optimal,2253.0
7,105,187,-0.17436545801917752,Optimal,2463.0
7,110,193,-0.04059827246575322,Optimal,2573.0
7,115,211,-0.45917962635840004,Optimal,2865.0
7,120,225,-0.29322878362529525,Optimal,3036.0
8,20,49,-4.353810838590085,Optimal,1191.0
8,25,77,-11.018466172769903,Optimal,1366.0
8,30,57,-0.19815615617498789,Optimal,1239.0
8,35,63,-0.18446129152327173,Optimal,1281.0
8,40,139,-1.8677261207994316,Optimal,1566.0
8,45,325,-16.008025951404857,Optimal,2404.0
8,50,91,-0.23031351818628312,Optimal,1440.0
8,55,123,-0.4674386199401096,Optimal,1612.0
8,60,905,-2.9617526358386854,Optimal,6258.0
8,65,1097,-4.2745123097044155,Optimal,7479.0
8,70,123,0.008084714739589063,Optimal,1666.0
8,75,119,-0.3682190832709366,Optimal,1695.0
8,80,175,-0.7798297686116106,Optimal,2033.0
8,85,126071,-25.301285508460996,Optimal,987916.0
8,90,167,-0.06014272339904163,Optimal,2141.0
8,95,175,-0.8083904757314075,Optimal,2245.0
8,100,259,-1.3986796694120767,Optimal,3126.0
8,105,24589,-1.6479891490053056,Optimal,219926.0
8,110,199,-0.0874091295217325,Optimal,2721.0
8,115,195,-0.3950362679422871,Optimal,2771.0
8,120,211,-0.4908767649961912,Optimal,2947.0
9,20,37,-0.1386998850365347,Optimal,1964.0
9,25,65,-0.42717268875603875,Optimal,1313.0
9,30,47,-0.060417965600179424,Optimal,1217.0
9,35,63,0.20876405494796,Optimal,1282.0
9,40,251,-1.7161765523257484,Optimal,2087.0
9,45,79,0.06010751174980356,Optimal,1431.0
9,50,763,-2.38170784455202,Optimal,4286.0
9,55,93,-0.226147175200785,Optimal,1490.0
9,60,109,-0.03373281691183429,Optimal,1544.0
9,65,117,-0.13303934533598996,Optimal,1622.0
9,70,129,-0.20416925956281684,Optimal,1712.0
9,75,127,-0.13152342329709496,Optimal,1760.0
9,80,151,-0.5742623598127921,Optimal,1886.0
9,85,143,-0.10496606325430966,Optimal,1881.0
9,90,16309,-1.8367522166802945,Optimal,128392.0
9,95,171,-0.28860966223465156,Optimal,2216.0
9,100,183,0.16081064139777862,Optimal,2398.0
9,105,191,-0.19063258629363639,Optimal,2489.0
9,110,187,-0.039406311545592515,Optimal,2532.0
9,115,203,0.03859887525923577,Optimal,2827.0
9,120,235,-0.43143748113942937,Optimal,3215.0
10,20,37,-0.1472874641042129,Optimal,1187.0
10,25,43,-0.19281175053879296,Optimal,1227.0
10,30,43,-0.4009368901425497,Optimal,1218.0
10,35,51,-2.5582208881877433,Optimal,1326.0
10,40,73,-0.38304873398411415,Optimal,1320.0
10,45,75,-0.1634923725259673,Optimal,1353.0
10,50,87,0.015598853036576453,Optimal,1438.0
10,55,95,-0.1741179503095728,Optimal,1492.0
10,60,103,0.06787738411193271,Optimal,1519.0
10,65,107,-0.19471069001461971,Optimal,1540.0
10,70,123,-0.26578383405836004,Optimal,1659.0
10,75,195,-0.6035457393095647,Optimal,2161.0
10,80,141,-0.20705216547891406,Optimal,1866.0
10,85,147,-0.08884047195699595,Optimal,1973.0
10,90,159,-0.0357531437493636,Optimal,2096.0
10,95,163,-0.03513400771809208,Optimal,2133.0
10,100,189,-0.011083252887593705,Optimal,2415.0
10,105,185,-0.2037112278242926,Optimal,2506.0
10,110,191,-0.2318233155266303,Optimal,2525.0
10,115,199,-1.0244030354787106,Optimal,2800.0
10,120,211,-0.1698687635190106,Optimal,3011.0
