seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
2,15,5,75,15.0,0.1,0.6931471805599453,0.4115981185421961,1.461905486711401,120395,Time limit reached,1801.773
2,15,1,75,15.0,1.0,0.6740154880189696,0.04730773754067252,0.07548612172829797,135863,Time limit reached,1801.987
2,15,5,75,15.0,1.0,0.44287644084154454,0.17904170229943833,0.6786130715340373,146600,Time limit reached,1802.015
3,15,1,75,15.0,0.1,0.6173244167931092,0.026682674929455197,0.04517573520161859,105144,Time limit reached,1801.503
3,15,5,75,15.0,0.1,0.2467048730859851,0.03421576880812727,0.16102363895037924,132441,Time limit reached,1801.775
3,15,1,75,15.0,1.0,0.6931471805599453,0.12507631719653278,0.22017731459766418,147131,Time limit reached,1801.438
3,15,5,75,15.0,1.0,0.6931471805599453,0.5171193534549963,2.9377136669799717,144612,Time limit reached,1801.337
1,20,1,100,20.0,0.1,0.5596507470165679,0.028487255143522683,0.05363180184516803,66897,Time limit reached,1802.08
1,20,5,100,20.0,0.1,0.19686581014926047,0.05231249280768649,0.3618906419426824,70250,Time limit reached,1802.082
1,20,1,100,20.0,1.0,0.6931471805599454,0.1785279736919525,0.34691276833308604,90594,Time limit reached,1802.12
1,20,5,100,20.0,1.0,0.6931471805599454,0.5569470073791138,4.08917987673673,88047,Time limit reached,1801.915
2,20,1,100,20.0,0.1,0.6931471805599454,0.06309921708234867,0.10014986277245916,74388,Time limit reached,1801.721
2,20,5,100,20.0,0.1,0.6931471805599454,0.40905287457701084,1.4398489021514655,78223,Time limit reached,1802.016
2,20,1,100,20.0,1.0,0.6754754165320016,0.04622744041131133,0.07346458338460332,76862,Time limit reached,1802.376
2,20,5,100,20.0,1.0,0.6931471805599454,0.4130175101295418,1.4743797381225754,83552,Time limit reached,1801.627
3,20,1,100,20.0,0.1,0.6931471805599454,0.09486326782614574,0.1585589480296693,75802,Time limit reached,1801.312
3,20,5,100,20.0,0.1,0.29385757993418593,0.07260388604848547,0.3281476786823392,72487,Time limit reached,1801.884
3,20,1,100,20.0,1.0,0.6931471805599454,0.10023308028501443,0.16905160501080496,90381,Time limit reached,1802.055
3,20,5,100,20.0,1.0,0.6931471805599454,0.4815989964423749,2.2765451684270683,101432,Time limit reached,1802.125
