seed,dimension,Ns,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
6,90,0.1,0.031,-31.40297564255264,1,4,0.00013800236368410879,-31.403113644916324,4.394563281356959e-6,0.624,-31.402975642552637,1,5,0.00013800236368410879,-31.40311364491632,4.394563281470093e-6,0.048,-31.402975642552637,1,4,0.00013800236368410879,-31.40311364491632,4.394563281470093e-6,0.058,-31.402975642552637,1,5,0.00013800236368410879,-31.40311364491632,4.394563281470093e-6,4.376,-31.402975642552637,1,3,0.00013800236368410879,-31.40311364491632,4.394563281470093e-6,4.523,-31.402975642552637,1,4,0.00013800236368410879,-31.40311364491632,4.394563281470093e-6,4.568,-31.402975642552637,1,4,0.00013800236368410879,-31.40311364491632,4.394563281470093e-6,4.519,-31.402975642552637,1,4,0.00013800236368410879,-31.40311364491632,4.394563281470093e-6,0.031
6,50,1.0,0.481,-29.410185674378027,1,49,5.651919821048068e-9,-29.410185680029947,1.9217559126027504e-10,1800.03,-29.410185674378027,0,262945,84.83816813647869,-114.24835381085671,1.9217559126027504e-10,0.537,-29.410185674378027,1,51,5.651919821048068e-9,-29.410185680029947,1.9217559126027504e-10,0.649,-29.410185674378027,1,54,5.651919821048068e-9,-29.410185680029947,1.9217559126027504e-10,4.895,-29.410185674378027,1,48,5.651919821048068e-9,-29.410185680029947,1.9217559126027504e-10,4.914,-29.410185674378027,1,49,5.651919821048068e-9,-29.410185680029947,1.9217559126027504e-10,5.011,-29.410185674378027,1,49,5.651919821048068e-9,-29.410185680029947,1.9217559126027504e-10,4.997,-29.410185674378027,1,49,5.651919821048068e-9,-29.410185680029947,1.9217559126027504e-10,0.481
6,70,5.0,3.317,-82.84285362556605,1,123,4.762782168654667e-8,-82.84285367319387,5.749176857404667e-10,2.365,-82.84285362556606,1,75,4.762782168654667e-8,-82.84285367319389,5.74917514200568e-10,1.849,-82.84285362556606,1,62,4.762782168654667e-8,-82.84285367319389,5.74917514200568e-10,1.797,-82.84285362556606,1,65,4.762782168654667e-8,-82.84285367319389,5.74917514200568e-10,5.667,-82.84285362556606,1,59,4.762782168654667e-8,-82.84285367319389,5.74917514200568e-10,6.522,-82.84285362556606,1,61,4.762782168654667e-8,-82.84285367319389,5.74917514200568e-10,6.235,-82.84285362556606,1,61,4.762782168654667e-8,-82.84285367319389,5.74917514200568e-10,6.43,-82.84285362556606,1,61,4.762782168654667e-8,-82.84285367319389,5.74917514200568e-10,1.797
6,90,10.0,3.498,-82.8428536255661,1,122,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,2.335,-82.8428536255661,1,87,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,2.025,-82.8428536255661,1,64,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,1.968,-82.8428536255661,1,67,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,5.887,-82.8428536255661,1,61,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,6.725,-82.8428536255661,1,62,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,6.445,-82.8428536255661,1,62,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,6.743,-82.8428536255661,1,62,3.851717167435709e-8,-82.84285366408326,4.649425990133966e-10,1.968
7,50,0.1,0.048,-585.7737926793857,1,4,0.0,-585.7737926793857,0.0,0.648,-585.7737926793857,1,5,0.0,-585.7737926793857,0.0,0.065,-585.7737926793857,1,4,0.0,-585.7737926793857,0.0,0.107,-585.7737926793857,1,5,0.0,-585.7737926793857,0.0,4.413,-585.7737926793857,1,3,0.0,-585.7737926793857,0.0,4.388,-585.7737926793857,1,4,0.0,-585.7737926793857,0.0,4.527,-585.7737926793857,1,4,0.0,-585.7737926793857,0.0,4.585,-585.7737926793857,1,4,0.0,-585.7737926793857,0.0,0.048
7,70,1.0,2.706,-1579.962358090085,1,32,9.464747563470155e-8,-1579.9623581847325,5.990489276536613e-11,3.553,-1645.3652067711275,1,76,0.0023467740909381973,-1645.3675535452185,-0.04139519416243462,2.217,-1579.962358090085,1,34,9.464747563470155e-8,-1579.9623581847325,5.990489276536613e-11,2.114,-1579.962358090085,1,37,9.464747563470155e-8,-1579.9623581847325,5.990489276536613e-11,6.289,-1579.962358090085,1,31,9.464747563470155e-8,-1579.9623581847325,5.990489276536613e-11,6.505,-1579.962358090085,1,32,9.464747563470155e-8,-1579.9623581847325,5.990489276536613e-11,6.546,-1579.962358090085,1,32,9.464747563470155e-8,-1579.9623581847325,5.990489276536613e-11,6.585,-1579.962358090085,1,32,9.464747563470155e-8,-1579.9623581847325,5.990489276536613e-11,2.114
7,90,5.0,1.895,-952.8738146757377,1,30,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,2.799,-952.8738146757377,1,64,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,1.515,-952.8738146757377,1,32,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,1.493,-952.8738146757377,1,35,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,5.802,-952.8738146757377,1,29,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,5.755,-952.8738146757377,1,30,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,5.728,-952.8738146757377,1,30,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,6.018,-952.8738146757377,1,30,6.336347269098042e-8,-952.8738147391011,6.649723364739849e-11,1.493
7,50,10.0,1.87,-1132.299790932009,1,31,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,2.417,-1132.299790932009,1,69,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,1.497,-1132.299790932009,1,31,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,1.593,-1132.299790932009,1,34,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,5.724,-1132.299790932009,1,28,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,5.91,-1132.299790932009,1,31,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,5.87,-1132.299790932009,1,31,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,5.89,-1132.299790932009,1,31,6.826189746789169e-8,-1132.299791000271,6.028606382741141e-11,1.497
8,70,0.1,0.034,-575.3602399954322,1,4,0.0,-575.3602399954322,0.0,0.695,-575.360239995432,1,5,0.0,-575.360239995432,1.9759244699028667e-16,0.089,-575.360239995432,1,4,0.0,-575.360239995432,1.9759244699028667e-16,0.11,-575.360239995432,1,5,0.0,-575.360239995432,1.9759244699028667e-16,4.319,-575.360239995432,1,3,0.0,-575.360239995432,1.9759244699028667e-16,4.527,-575.360239995432,1,4,0.0,-575.360239995432,1.9759244699028667e-16,4.377,-575.360239995432,1,4,0.0,-575.360239995432,1.9759244699028667e-16,4.611,-575.360239995432,1,4,0.0,-575.360239995432,1.9759244699028667e-16,0.034
8,90,1.0,3.334,-1566.6899611268468,1,33,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,3.509,-1566.6899611268468,1,72,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,2.597,-1566.6899611268468,1,35,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,2.493,-1566.6899611268468,1,38,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,6.487,-1566.6899611268468,1,32,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,7.271,-1566.6899611268468,1,33,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,6.842,-1566.6899611268468,1,33,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,7.176,-1566.6899611268468,1,33,7.867957742746512e-5,-1566.6900398064242,5.022026015337111e-8,2.493
