seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
2,30,-5.097761657956127,0.05089463739590272,0.00998372242775826,20478,OPTIMAL,125.778
2,35,4.642555494445428,0.04274495535348244,0.009292764341098443,6105,OPTIMAL,36.559
2,40,4.9837457348195215,0.04661006339764562,0.009440709451725903,31812,OPTIMAL,172.808
2,45,5.830242767434988,0.05394128044840585,0.009338376912965858,33625,OPTIMAL,174.308
2,50,8.80701698090926,0.07256015493658197,0.008307345995553833,8957,OPTIMAL,54.171
2,55,1.7526932412468637,1.2036011903195303,2.1919843645283703,315267,Time limit reached,1800.024
2,60,2.6138728690704593,0.020400980304929206,0.00786628164095501,72558,OPTIMAL,408.41
2,65,17.475556187178498,0.17169913771016354,0.009922593397489899,28414,OPTIMAL,202.647
2,70,1.9116687935507768,2.4251945631991525,Inf,265565,Time limit reached,1800.034
2,75,12.36962069471928,0.11042438474980187,0.009007473406719334,25777,OPTIMAL,203.247
2,80,11.009298728836544,0.06984365831064387,0.006384564666189194,31868,OPTIMAL,282.008
2,85,12.647034830321303,0.12377574141339309,0.009883668503115426,124947,OPTIMAL,939.076
2,90,17.517643141136713,0.16046859368985267,0.009245087283716731,68930,OPTIMAL,572.042
2,95,2.847123627488698,2.4384086767757926,5.966037387481353,179018,Time limit reached,1800.028
2,100,5.673555409956627,1.5988593669931088,0.39238739531360517,191699,Time limit reached,1800.103
2,105,33.94358101198295,0.29911777250876526,0.008890549698466227,82091,OPTIMAL,629.517
2,110,4.434359704730175,5.94616563215775,Inf,154995,Time limit reached,1800.067
2,115,23.62845063423777,13.210236276930985,1.2679942861480888,162321,Time limit reached,1800.02
2,120,20.99819808604681,9.339163288762016,0.8010237083207746,165223,Time limit reached,1800.006
3,20,4.20407077799835,0.024924485291366594,0.005964013591690304,1848,OPTIMAL,12.427
3,25,-1.2079100763198598,0.010291648786672214,0.008520211055799604,3835,OPTIMAL,25.775
3,30,-11.64065520659113,0.11635350775825515,0.009995443185395086,19069,OPTIMAL,587.637
3,35,-0.2880865954664342,0.0010948145511280316,0.003800296745342987,14557,OPTIMAL,71.788
3,40,10.050698707324818,0.06513307455378126,0.006522722592701697,3895,OPTIMAL,28.866
3,45,4.9990692537816654,0.04619275067520068,0.009326449114212395,23142,OPTIMAL,131.289
3,50,3.4362127268012794,0.03322846625553977,0.009764507770662121,100956,OPTIMAL,491.393
3,55,5.481378312318317,0.05410264772130535,0.009968656664010193,59528,OPTIMAL,354.913
3,60,19.405259896663715,0.15575337494195196,0.008091291834738456,18315,OPTIMAL,120.62
3,65,3.6627533428631693,0.03539067115345418,0.00975658470256386,210424,OPTIMAL,1141.139
3,70,-9.518703651771812,1.7382683336195726,0.1826160785346029,267130,Time limit reached,1800.021
3,75,3.3435397905712,1.155507967904256,0.5281038218611613,261012,Time limit reached,1800.02
3,80,24.905690740422084,0.20220439398426748,0.008185257382240902,29849,OPTIMAL,244.596
3,85,13.258941132080682,0.11376349829324361,0.008654390337094718,35513,OPTIMAL,305.774
3,90,8.285236923504623,0.06524482563917999,0.00793733435049441,115109,OPTIMAL,883.144
3,95,9.229624282947771,0.08187113486756736,0.008949862719541058,56193,OPTIMAL,501.742
3,100,29.25283530545489,0.27445432566499406,0.009471002740160122,44818,OPTIMAL,431.153
3,105,6.638772394916881,4.109949428795797,1.6252420528669809,163851,Time limit reached,1800.043
3,110,-4.95203614249386,9.170076831132198,1.8517790596160957,159604,Time limit reached,1800.02
3,115,6.698316420954534,6.149535122819195,11.205803010624129,151375,Time limit reached,1800.012
3,120,37.13028787025724,0.35092326751042435,0.009541308592487651,163081,OPTIMAL,1294.378
4,20,-0.10255377782761688,0.0,0.0,7538,OPTIMAL,28.169
4,25,3.9673796980592613,0.02447546875615325,0.006207472292696085,1723,OPTIMAL,14.124
4,30,4.469739487754895,0.027284390813175463,0.006141736994023556,3759,OPTIMAL,23.629
4,35,9.528010025567454,0.08974098792067764,0.00950820405338356,8727,OPTIMAL,45.921
4,40,7.00877873652416,0.0603130700328407,0.008680055846529963,5832,OPTIMAL,38.287
4,45,-8.907047977525977,0.8115726886313119,0.09111578725960051,363301,Time limit reached,1800.029
4,50,12.196312427923242,0.10716575164518893,0.00886462498262802,13348,OPTIMAL,89.185
4,55,9.11070901180248,0.0801540573917876,0.00887587283355591,16521,OPTIMAL,107.552
4,60,6.211856795992851,0.06073158065087547,0.009873247336828773,26588,OPTIMAL,161.848
4,65,15.88525578180656,0.12648489297577115,0.008026317145420191,14433,OPTIMAL,110.53
4,70,11.446821123188663,0.11326026648556997,0.009993352302739312,44385,OPTIMAL,309.002
4,75,22.58669276453785,0.21549502588370473,0.009632699527364194,34808,OPTIMAL,247.907
4,80,15.604545326924146,0.1471282070209643,0.00951829182583939,32799,OPTIMAL,276.142
4,85,1.8510180847004705,7.9493092336252005,Inf,212613,Time limit reached,1800.029
4,90,24.78573593455474,0.23247826737809874,0.009468326791066956,74094,OPTIMAL,630.853
4,95,18.646584476493437,0.17893663221188305,0.009689194515764507,98899,OPTIMAL,837.374
4,100,11.390991601620275,0.11204523943816014,0.009934016515393993,106523,OPTIMAL,920.187
4,105,28.79427705775312,3.9434517557529887,0.15868494135828953,203769,Time limit reached,1800.026
