seed,dimension,varA,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,minimumTime
3,20,5,1.0,0.336,0.33760934516354946,1,35,7.78538507550941e-8,0.3376092673096987,2.3060341730393474e-7,4.000589,0.33760976961347255,1,1530,1.4878257870568573e-6,0.336
1,5,1,0.1,0.443,0.5458764634955549,1,19,6.288653797703603e-8,0.5458764006090169,1.1520288824883348e-7,28.067207,0.5458768885563414,1,4271,8.938787681629284e-7,0.443
1,10,5,0.1,0.54,0.164076227501058,1,25,9.517327931307662e-8,0.16407613232777868,5.800555995734149e-7,29.272968,0.1640766218955277,1,4351,2.9837840646841637e-6,0.54
1,15,1,1.0,0.519,0.5458764634955288,1,41,5.9221035297873925e-8,0.5458764042744935,1.0848799258246502e-7,72.518332,0.5458769093453362,1,5960,9.252476178666164e-7,0.519
1,20,5,1.0,0.785,0.16407622750102263,1,52,7.48365542868612e-8,0.16407615266446834,4.5610866095757433e-7,69.370247,0.16407663218798105,1,5756,2.922566777170218e-6,0.785
2,5,1,0.1,0.446,0.5887953632346095,1,22,7.099091103857091e-8,0.5887952922436984,1.2056976673174258e-7,41.862445,0.5887957814492341,1,4374,8.30858435997809e-7,0.446
2,10,5,0.1,0.942,0.20137971596839935,1,24,4.669880043772778e-8,0.2013796692695989,2.3189431488840778e-7,46.890317,0.20138012944901929,1,4651,2.2851334598184243e-6,0.942
2,15,1,1.0,0.675,0.588795363234593,1,39,5.48191553262356e-8,0.5887953084154377,9.310392685322948e-8,71.621862,0.5887957118026572,1,5959,6.851060355796237e-7,0.675
2,20,5,1.0,0.752,0.20137971596839177,1,48,4.603597111851876e-8,0.20137966993242065,2.2860287304059836e-7,64.943158,0.20138009258962697,1,5517,2.0988077220451477e-6,0.752
3,5,1,0.1,0.468,0.6513300399641601,1,23,7.060790918611559e-8,0.6513299693562509,1.0840574287699628e-7,45.122957,0.6513304776521807,1,4534,7.803969626842554e-7,0.468
3,10,5,0.1,0.606,0.34839901635783044,1,29,9.250931387594363e-8,0.34839892384851656,2.6552697940067853e-7,44.630764,0.34839935281874157,1,4544,1.2312616246619722e-6,0.606
3,15,1,1.0,0.96,0.6513300399641441,1,41,9.090590225024897e-8,0.6513299490582418,1.395696641643607e-7,72.05993,0.6513303974655422,1,5877,6.884487670960107e-7,0.96
3,20,5,1.0,0.914,0.34839901635781945,1,54,3.732964970470931e-8,0.34839897902816974,1.0714626606782056e-7,70.728981,0.34839942985195654,1,5833,1.293987106561735e-6,0.914
1,5,1,0.1,0.416,0.5959987750261826,1,24,9.25972821752552e-8,0.5959986824289004,1.5536491087176452e-7,993.582284,0.595999205791404,1,11842,8.781269472347493e-7,0.416
1,10,5,0.1,0.74,0.21761206610458367,1,29,5.31903906475506e-8,0.21761201291419302,2.44427639518799e-7,1071.262232,0.21761245148373043,1,12772,2.0153737449304397e-6,0.74
1,15,1,1.0,0.953,0.5959987750261646,1,47,5.8185695372969803e-8,0.5959987168404692,9.762721584607764e-8,1530.093948,0.5959992133075426,1,14737,8.330002386126513e-7,0.953
1,20,5,1.0,1.044,0.2176120661045785,1,59,7.096125337335835e-8,0.21761199514332513,3.260907254980193e-7,1556.032547,0.21761247485900137,1,14988,2.2044541980427806e-6,1.044
2,5,1,0.1,0.902,0.6145464161921877,1,24,4.730033853483917e-8,0.6145463688918492,7.696789197555784e-8,1050.798191,0.614546812934252,1,12394,7.225531305913009e-7,0.902
2,10,5,0.1,0.712,0.24076834257868868,1,27,5.632090244178656e-8,0.24076828625778623,2.339215987170536e-7,1008.538137,0.24076878026039106,1,12110,2.051776056145022e-6,0.712
2,15,1,1.0,0.92,0.614546416192183,1,49,7.80614236584043e-8,0.6145463381307593,1.2702284403132328e-7,1613.955281,0.614546865241974,1,15479,8.577241161013442e-7,0.92
2,20,5,1.0,1.05,0.24076834257868474,1,56,4.5821168082049724e-8,0.24076829675751665,1.9031229899922117e-7,1579.551308,0.24076869309457533,1,15369,1.6461347445238166e-6,1.05
3,5,1,0.1,0.447,0.29607562128489934,1,15,8.039918347746422e-8,0.29607554088571586,2.715495621048212e-7,2.78876,0.2960760563805993,1,630,1.7410924316954809e-6,0.447
3,10,5,0.1,0.913,0.03355646171879262,1,18,5.982028009748896e-8,0.03355640189851252,1.7826786160926468e-6,488.280908,0.03355684180573139,1,7077,1.3109487131481934e-5,0.913
3,15,1,1.0,0.876,0.2350250907553182,1,40,9.993773908423265e-8,0.2350249908175791,4.2522175508476873e-7,1032.806974,0.23502546521469003,1,12567,2.0184964555365015e-6,0.876
3,20,5,1.0,1.128,0.03319014250626026,1,45,6.856442114760997e-8,0.033190073941839114,2.065811039401701e-6,1197.516073,0.033190603786662026,1,13725,1.5963954278637843e-5,1.128
1,5,1,0.1,1.318,0.5403238609703603,1,28,5.963286531240897e-8,0.540323801337495,1.1036505363042726e-7,1800.008448,2.5642655129623004,0,9766,3.745794108301031,1.318
1,10,5,0.1,1.832,0.15564498776595997,1,31,5.3255554549602735e-8,0.15564493451040542,3.4216053813201615e-7,1800.002604,4.005463121145484,0,9001,24.734619207139723,1.832
1,15,1,1.0,1.873,0.5403238609703384,1,57,4.762309702144307e-8,0.5403238133472413,8.813806803446934e-8,1800.002604,185.8949894939087,0,9117,343.0436732601354,1.873
1,20,5,1.0,2.991,0.15564498776595004,1,60,4.6585616392258444e-8,0.15564494118033365,2.993069741873803e-7,1800.003993,202.86182871023925,0,9053,1302.3628152115723,2.991
2,5,1,0.1,1.852,0.6207281102912593,1,28,9.15203114404406e-8,0.6207280187709479,1.4744027766243318e-7,1800.002697,4.584067795507613,0,9072,6.384986108060895,1.852
2,10,5,0.1,2.467,0.2620420021212997,1,45,5.3638824326629475e-8,0.26204194848247536,2.0469556358155646e-7,1800.000967,6.196611989210824,0,9017,22.647404643021254,2.467
2,15,1,1.0,1.869,0.620728110291241,1,56,4.925659302656982e-8,0.620728061034648,7.935293426958573e-8,1800.00052,373.86027599771126,0,9194,601.2931771032711,1.869
2,20,5,1.0,3.092,0.2620420021212946,1,71,6.012281322798074e-8,0.26204194199848135,2.2943965675666217e-7,1800.003401,392.5585182622662,0,9265,1497.075137393621,3.092
3,5,1,0.1,1.273,0.6055117518916326,1,30,7.871789819979824e-8,0.6055116731737344,1.3000228019916697e-7,1800.000857,0.6931471805599454,0,9057,0.14472967453604552,1.273
3,10,5,0.1,1.799,0.23014831093586563,1,32,5.338919770170314e-8,0.23014825754666793,2.3197741434508681e-7,1800.002603,0.6931471805599454,0,13104,2.0117420307620346,1.799
3,15,1,1.0,1.861,0.6055117518915962,1,53,3.448165553088245e-8,0.6055117174099407,5.6946305974683294e-8,1800.00228,226.29598778777176,0,12948,372.72685165490515,1.861
3,20,5,1.0,2.857,0.23014831093585741,1,77,5.9584067763074344e-8,0.23014825135178965,2.5889428841237646e-7,1800.002764,245.39136783503739,0,12927,1065.231728434678,2.857
