seed,dimension,p,k,solution,dual_gap,rel_dual_gap,ncalls,termination,time
3,28,140,6.0,4.363373393383866,0.12837408856184496,0.03031265870945402,300682,Time limit reached,1800.028
3,29,145,6.0,4.6434855914450495,0.22171149935793188,0.05014084725736905,270446,Time limit reached,1800.029
3,30,150,6.0,4.319300767044491,0.21339842232474648,0.05197357472448906,273038,Time limit reached,1800.037
4,15,75,3.0,5.039099478655551,0.04841070145592141,0.009700204444141993,843,OPTIMAL,4.626
4,16,80,4.0,4.873912590274357,0.04715126854067897,0.009768717655121831,1199,OPTIMAL,9.283
4,17,85,4.0,4.165906206758644,0.04030573395974102,0.009769664858603403,812,OPTIMAL,4.332
4,18,90,4.0,4.498716917025478,0.042366201638753154,0.009506927157342596,1637,OPTIMAL,5.317
4,19,95,4.0,4.659490245415256,0.042818725346811526,0.009274804404142818,1235,OPTIMAL,6.958
4,20,100,4.0,5.58043616690493,0.05310887478920723,0.009608418677316733,4224,OPTIMAL,22.098
4,21,105,5.0,5.061115465947954,0.048196150656280246,0.009614387869611258,1720,OPTIMAL,10.255
4,22,110,5.0,5.233157398042667,0.05101230995953454,0.009843859848085404,3791,OPTIMAL,22.692
4,23,115,5.0,5.266123075399722,0.05000098566093758,0.009585854165357842,880,OPTIMAL,5.548
4,24,120,5.0,5.14765880456751,0.0506084236848281,0.009928962812422502,1418,OPTIMAL,9.345
4,25,125,5.0,4.560058701673463,0.04504615464231598,0.009976972195112978,900,OPTIMAL,7.566
4,26,130,6.0,4.860201559916642,0.04711373686189546,0.009788671762069271,6185,OPTIMAL,40.154
4,27,135,6.0,5.075591656149386,0.049663334547738636,0.009881425155683892,6950,OPTIMAL,46.906
4,28,140,6.0,5.8042455912059845,0.05689493179759886,0.009899331912950556,4449,OPTIMAL,27.897
4,29,145,6.0,5.466992283065728,0.05250734412033786,0.00969756952183249,3159,OPTIMAL,21.005
4,30,150,6.0,5.765377668008542,0.0569672094057605,0.00997952228889022,14655,OPTIMAL,96.926
5,15,75,3.0,3.5392833726599346,0.020443015663309527,0.005809588838738311,137,OPTIMAL,1.244
5,16,80,4.0,3.9792937790149603,0.03607248923619322,0.009147974862505638,229,OPTIMAL,1.751
5,17,85,4.0,4.7972456633480265,0.043447007568119034,0.009139429478211909,1034,OPTIMAL,5.186
5,18,90,4.0,4.646806399110294,0.0402464744579607,0.008736774321023988,1152,OPTIMAL,6.221
5,19,95,4.0,5.052999834779796,0.049812169559372954,0.009956086577691545,1119,OPTIMAL,6.092
5,20,100,4.0,5.149268072572649,0.050723214461474875,0.00994856687016891,1154,OPTIMAL,4.199
5,21,105,5.0,5.48922185529245,0.053455795157457686,0.009834086781161102,3950,OPTIMAL,21.532
5,22,110,5.0,5.183929732888859,0.05021279954834057,0.009780983291509027,1152,OPTIMAL,6.551
5,23,115,5.0,5.519353385927931,0.05419563658356186,0.009916573147419847,2378,OPTIMAL,14.102
5,24,120,5.0,5.482109670783845,0.05329432367526987,0.009816934315818055,4766,OPTIMAL,29.514
5,25,125,5.0,6.046821438000852,0.059266710786424426,0.009898316338896648,6709,OPTIMAL,40.074
5,26,130,6.0,5.876645371520513,0.058059334688803865,0.009978254909575572,5897,OPTIMAL,36.358
5,27,135,6.0,6.2414729652030605,0.061398341843230675,0.009934886807216438,10104,OPTIMAL,63.351
5,28,140,6.0,6.366698088453634,0.06293430405760247,0.009983607604933798,14328,OPTIMAL,83.082
5,29,145,6.0,6.393902999859767,0.06317648760503669,0.009979342415557289,9158,OPTIMAL,58.634
