seed,dimension,p,k,solution,dual_gap,rel_dual_gap,ncalls,termination,time
3,22,110,5.0,3.5657132968055762,0.03529339183011526,0.009996938828827665,126418,OPTIMAL,1048.168
3,23,115,5.0,4.014525717592983,0.15749686997217882,0.04083372880898473,219295,Time limit reached,1800.053
3,24,120,5.0,4.049577981419793,0.3308341850967569,0.08896396289087573,208082,Time limit reached,1800.1
3,25,125,5.0,4.453860581740739,0.12663754589746912,0.02926531515674245,218138,Time limit reached,1800.004
3,26,130,6.0,4.063474839873491,0.3347644994233714,0.08978023736296972,177874,Time limit reached,1800.011
3,27,135,6.0,4.457530395820922,0.25315040029003555,0.06021111330544,162445,Time limit reached,1800.144
3,28,140,6.0,4.363373393383866,0.2610484110418758,0.06363425914951404,166587,Time limit reached,1800.148
3,29,145,6.0,4.6434855914450495,0.32624209357504075,0.07556722101405637,149399,Time limit reached,1800.179
3,30,150,6.0,4.319300767044491,0.3421432042198793,0.08602706802917967,164471,Time limit reached,1800.166
4,15,75,3.0,5.039099478655551,0.04914882390645037,0.009849561109321555,936,OPTIMAL,14.499
4,16,80,4.0,4.873912590274357,0.046607096386479085,0.00965488851813728,1913,OPTIMAL,22.837
4,17,85,4.0,4.165906206758644,0.040940248451672545,0.009924990621856148,396,OPTIMAL,10.679
4,18,90,4.0,4.507734990471111,0.04234784702530092,0.009483577944066528,1478,OPTIMAL,18.083
4,19,95,4.0,4.659490245415256,0.04530549238768966,0.009818742597587313,1217,OPTIMAL,18.317
4,20,100,4.0,5.58043616690493,0.05373327244331083,0.009722482548710488,4334,OPTIMAL,41.061
4,21,105,5.0,5.061115465947954,0.04898479597566663,0.00977324798595833,1621,OPTIMAL,22.437
4,22,110,5.0,5.233157398042667,0.051635320428931486,0.009965280405156795,5609,OPTIMAL,59.779
4,23,115,5.0,5.266123075399722,0.052011139919144966,0.009975071606196957,1028,OPTIMAL,17.703
4,24,120,5.0,5.14765880456751,0.05073343441955114,0.009953733032210043,1431,OPTIMAL,21.118
4,25,125,5.0,4.560058701673463,0.04511715867560806,0.009992855554371348,885,OPTIMAL,15.899
4,26,130,6.0,4.860201559916642,0.04811142062672413,0.00999802980287139,4429,OPTIMAL,45.654
4,27,135,6.0,5.075591656149386,0.050090633874684265,0.009967291550168992,4703,OPTIMAL,49.088
4,28,140,6.0,5.8042455912059845,0.05680732109064923,0.00988393757720329,5918,OPTIMAL,65.878
4,29,145,6.0,5.521068734094021,0.052850059874073985,0.009664949963182144,4374,OPTIMAL,48.727
4,30,150,6.0,5.765377668008542,0.05675361312128668,0.009941732469262695,13595,OPTIMAL,131.964
5,15,75,3.0,3.5263404753296355,0.08818352257667073,0.025648486613172605,88,OPTIMAL,8.212
5,16,80,4.0,3.9792937790149603,0.02982786140180238,0.007552378479525838,185,OPTIMAL,9.064
5,17,85,4.0,4.7972456633480265,0.046248545213313896,0.009734492373565473,704,OPTIMAL,12.858
5,18,90,4.0,4.646806399110294,0.045525773068421316,0.00989415268670184,716,OPTIMAL,13.211
5,19,95,4.0,5.052999834779796,0.04971236041694649,0.009935939254275446,915,OPTIMAL,15.654
5,20,100,4.0,5.1963483368745385,0.05100556289000746,0.009912957237348247,1538,OPTIMAL,19.877
5,21,105,5.0,5.48922185529245,0.051885565655029886,0.009542460295110751,3246,OPTIMAL,34.478
5,22,110,5.0,5.183929732888859,0.04946367476708513,0.009633655029979751,1171,OPTIMAL,18.335
5,23,115,5.0,5.519353385927931,0.05433201176049529,0.009941774796584845,2467,OPTIMAL,29.217
5,24,120,5.0,5.482109670783845,0.0534781789423997,0.009851134493614223,4014,OPTIMAL,43.433
5,25,125,5.0,6.063698098092319,0.059215433650465776,0.009861871031976766,6134,OPTIMAL,58.165
5,26,130,6.0,5.876645371520513,0.05642580759884286,0.009694790201492517,5077,OPTIMAL,52.693
5,27,135,6.0,6.312079250483218,0.06240447240334035,0.009985235171311302,13576,OPTIMAL,132.426
5,28,140,6.0,6.366698088453634,0.06262268589209707,0.009933682878642533,9588,OPTIMAL,94.596
5,29,145,6.0,6.393902999859767,0.06305019063309203,0.009959193892677742,7921,OPTIMAL,82.722
5,30,150,6.0,6.19206643854921,0.06120508932097746,0.00998311425338009,9944,OPTIMAL,101.967
6,15,75,3.0,3.4208886298393053,0.031220157600812204,0.009210386755078386,61,OPTIMAL,8.044
6,16,80,4.0,4.270684159307565,0.030099062004543597,0.007097855912309451,14,OPTIMAL,7.946
6,17,85,4.0,3.43243082356611,0.024086452514132883,0.007066906947169384,13,OPTIMAL,7.695
6,18,90,4.0,3.555907125819637,0.024123824873572897,0.006830494064318955,55,OPTIMAL,7.99
6,19,95,4.0,3.882930310924795,0.037832058957210535,0.009839035696383416,116,OPTIMAL,8.582
6,20,100,4.0,4.988954673698697,0.030067554831711085,0.006063367467533918,69,OPTIMAL,8.117
6,21,105,5.0,4.15033550991732,0.031943940150125805,0.007756411601224101,29,OPTIMAL,8.152
6,22,110,5.0,4.080515745132351,0.030744821543546408,0.007591743366141097,16,OPTIMAL,8.132
6,23,115,5.0,4.385927740908787,0.043014694949786936,0.009904571999158791,230,OPTIMAL,9.581
6,24,120,5.0,5.446785231708145,0.05306621999899441,0.009838521414221557,337,OPTIMAL,10.231
6,25,125,5.0,4.505696077124414,0.03139408052128445,0.007016531415429423,53,OPTIMAL,7.792
6,26,130,6.0,4.700437511796861,0.04590474336778971,0.0098623740881478,370,OPTIMAL,10.623
6,27,135,6.0,4.891073030605399,0.0471251134477475,0.009728658163484083,138,OPTIMAL,8.684
6,28,140,6.0,5.7140512733941495,0.055903342091092156,0.009880148552110718,221,OPTIMAL,9.445
6,29,145,6.0,5.185528324382068,0.04826338208955505,0.009394762121810568,43,OPTIMAL,7.935
6,30,150,6.0,5.145675817110071,0.04770565850739672,0.009357775158196018,240,OPTIMAL,9.854
7,15,75,3.0,3.1573096230195286,0.031098813945878767,0.00994776611213045,2067,OPTIMAL,24.726
7,16,80,4.0,3.2775182354340826,0.03227675608882352,0.00994587191561951,10161,OPTIMAL,88.742
7,17,85,4.0,3.1153076201338905,0.030099230794057075,0.009755979822321709,6454,OPTIMAL,64.13
7,18,90,4.0,3.491754799253618,0.03431030458246198,0.009923602428135378,14559,OPTIMAL,122.443
7,19,95,4.0,3.1937334111517086,0.03137228485971022,0.009920525710640627,6559,OPTIMAL,64.918
7,20,100,4.0,3.5343833384124004,0.03492237753436944,0.00997935908552249,9724,OPTIMAL,91.262
7,21,105,5.0,3.345795262964071,0.03312231964267731,0.009998668811979911,187993,OPTIMAL,1295.818
7,22,110,5.0,3.5792867003677307,0.03542424716935866,0.00999594302464756,148831,OPTIMAL,1133.482
7,23,115,5.0,3.351295718306617,0.03315820540163816,0.009993017249188283,114554,OPTIMAL,881.051
7,24,120,5.0,3.6739884198705677,0.036365859883992435,0.009997150414672666,60812,OPTIMAL,516.107
7,25,125,5.0,3.8324391592107374,0.037916045117265984,0.00999230838163554,23317,OPTIMAL,207.971
7,26,130,6.0,4.2778126850270635,0.13238669530054814,0.03193560701086887,200054,Time limit reached,1800.08
7,27,135,6.0,4.239134781972709,0.2897367363080292,0.07336225241365024,168288,Time limit reached,1800.127
7,28,140,6.0,4.096105250978201,0.09087561312827219,0.02268923915609884,178025,Time limit reached,1800.152
7,29,145,6.0,4.048275096032361,0.10818462786891869,0.027457396915900205,171727,Time limit reached,1800.204
7,30,150,6.0,4.643274742994758,0.3018100253046878,0.06951801867118929,158810,Time limit reached,1800.197
8,15,75,3.0,2.6567380141428654,0.0037281010236593914,0.0014052344867706036,11,OPTIMAL,8.27
8,16,80,4.0,2.1846094438653862,0.011075557426665661,0.005095645159143424,36,OPTIMAL,8.053
8,17,85,4.0,2.773474195176522,0.025031333871264216,0.009107460163598466,13,OPTIMAL,8.223
8,18,90,4.0,3.3101104022637635,0.008184428706043079,0.0024786832810865887,11,OPTIMAL,8.069
8,19,95,4.0,3.3212935734001694,0.02963762079458787,0.00900386347216135,55,OPTIMAL,8.567
8,20,100,4.0,2.405830473312482,0.022138654983407502,0.009287549176103773,183,OPTIMAL,9.005
8,21,105,5.0,3.18506704313954,0.02710739678027707,0.008583832542486269,16,OPTIMAL,7.815
8,22,110,5.0,3.4205385181369294,0.029345585320667222,0.008653469708754313,89,OPTIMAL,9.168
