seed,dimension,p,k,num_nodes,solution,termination,time
10,15,75,3.0,25,3.1461756182085465,Optimal,1677.0
10,16,80,4.0,33,1.963316038600336,Optimal,1629.0
10,17,85,4.0,105,3.289364537169069,Optimal,2963.0
10,18,90,4.0,65,3.083258053991,Optimal,2015.0
10,19,95,4.0,21,2.992147423634402,Optimal,1291.0
10,20,100,4.0,63,2.390273786462761,Optimal,2581.0
10,21,105,5.0,327,3.089105127268434,Optimal,7572.0
10,22,110,5.0,169,3.0099490902690196,Optimal,6595.0
10,23,115,5.0,99,3.034465810829787,Optimal,2858.0
10,24,120,5.0,619,2.591914373818642,Optimal,14581.0
10,25,125,5.0,173,3.4952697609160905,Optimal,4793.0
10,26,130,6.0,265,3.0270003141243715,Optimal,7655.0
10,27,135,6.0,233,3.26178365096797,Optimal,7651.0
10,28,140,6.0,569,2.9824432855421787,Optimal,19635.0
10,29,145,6.0,123,3.095848079811471,Optimal,4264.0
10,30,150,6.0,135,3.198610778525207,Optimal,9544.0
