seed,dimension,p,k,solution,calls,termination,time
8,16,80,4.0,2.880640594747177,15,OPTIMAL,0.33023399999999997
8,17,85,4.0,4.220205924312472,6,OPTIMAL,0.330739
8,18,90,4.0,4.122199232463187,6,OPTIMAL,0.324646
8,19,95,4.0,4.478341153755794,5,OPTIMAL,0.385544
8,20,100,4.0,2.962829403235276,12,OPTIMAL,0.42758599999999997
8,21,105,5.0,4.42174360256393,7,OPTIMAL,0.39855999999999997
8,22,110,5.0,4.239636381786981,6,OPTIMAL,0.319461
8,23,115,5.0,4.551478742610822,6,OPTIMAL,0.31787499999999996
8,24,120,5.0,3.85458463409033,13,OPTIMAL,0.339374
8,25,125,5.0,4.316441666567897,5,OPTIMAL,0.328933
8,26,130,6.0,5.094325055422178,8,OPTIMAL,0.33555999999999997
8,27,135,6.0,5.0626260981574305,7,OPTIMAL,0.5962999999999999
8,28,140,6.0,4.006370231764544,5,OPTIMAL,0.582994
8,29,145,6.0,4.442030604499763,5,OPTIMAL,0.570601
8,30,150,6.0,4.974478731113273,28,OPTIMAL,0.612726
9,15,75,3.0,2.5745917701493113,8,OPTIMAL,0.319444
9,16,80,4.0,2.277335874033032,15,OPTIMAL,0.34248999999999996
9,17,85,4.0,3.11279658686573,6,OPTIMAL,0.331576
9,18,90,4.0,2.451620666605843,5,OPTIMAL,0.32348899999999997
9,19,95,4.0,2.7444957885363817,6,OPTIMAL,0.392134
9,20,100,4.0,2.5905058278535344,6,OPTIMAL,0.388989
9,21,105,5.0,3.6465653746451134,5,OPTIMAL,0.386571
9,22,110,5.0,3.229362394924302,5,OPTIMAL,0.314169
9,23,115,5.0,3.5038302413227296,5,OPTIMAL,0.316555
9,24,120,5.0,3.2549368021383405,23,OPTIMAL,0.35279499999999997
9,25,125,5.0,4.952130513394864,5,OPTIMAL,0.336636
9,26,130,6.0,3.8270498775148205,6,OPTIMAL,0.33047299999999996
9,27,135,6.0,4.1112883326834035,15,OPTIMAL,0.623663
9,28,140,6.0,3.353654193894636,15,OPTIMAL,0.613381
9,29,145,6.0,5.11094443673385,27,OPTIMAL,0.6341559999999999
9,30,150,6.0,4.534191181581464,26,OPTIMAL,0.538963
10,15,75,3.0,3.440607591585951,6,OPTIMAL,0.32061799999999996
10,16,80,4.0,2.4487842233086963,4,OPTIMAL,0.33435499999999996
10,17,85,4.0,4.158467013893507,7,OPTIMAL,0.333686
10,18,90,4.0,3.5588718618186816,7,OPTIMAL,0.328487
10,19,95,4.0,3.95826182992851,9,OPTIMAL,0.395044
10,20,100,4.0,3.6143530327932876,11,OPTIMAL,0.400786
10,21,105,5.0,4.101554866527524,8,OPTIMAL,0.40784899999999996
10,22,110,5.0,4.2022719914197895,5,OPTIMAL,0.31237899999999996
10,23,115,5.0,4.559166157145903,6,OPTIMAL,0.319392
10,24,120,5.0,3.9101431718543105,16,OPTIMAL,0.35823699999999997
10,25,125,5.0,5.469026600332891,4,OPTIMAL,0.329997
10,26,130,6.0,4.705256887170365,8,OPTIMAL,0.337704
10,27,135,6.0,4.82775364032386,11,OPTIMAL,0.659272
10,28,140,6.0,4.929021905728949,6,OPTIMAL,0.5452089999999999
10,29,145,6.0,3.9059055227796735,4,OPTIMAL,0.600506
10,30,150,6.0,5.045471817646163,9,OPTIMAL,0.585688
