seed,dimension,p,k,solution,termination,time
4,17,85,4.0,NaN,TIME_LIMIT,1800.0
4,18,90,4.0,NaN,TIME_LIMIT,1800.0
4,19,95,4.0,4.659489308336259,ALMOST_LOCALLY_SOLVED,26.39576506614685
4,20,100,4.0,NaN,TIME_LIMIT,1800.0
4,21,105,5.0,NaN,TIME_LIMIT,1800.0
4,22,110,5.0,NaN,TIME_LIMIT,1800.0
4,23,115,5.0,NaN,TIME_LIMIT,1800.0
4,24,120,5.0,NaN,TIME_LIMIT,1800.0
4,25,125,5.0,NaN,TIME_LIMIT,1800.0
4,26,130,6.0,NaN,TIME_LIMIT,1800.0
4,27,135,6.0,NaN,TIME_LIMIT,1800.0
4,28,140,6.0,NaN,TIME_LIMIT,1800.0
4,29,145,6.0,NaN,TIME_LIMIT,1800.0
4,30,150,6.0,NaN,TIME_LIMIT,1800.0
5,15,75,3.0,3.539282647374151,LOCALLY_SOLVED,17.911731004714966
5,16,80,4.0,3.979292647497822,LOCALLY_SOLVED,200.31407499313354
5,17,85,4.0,NaN,TIME_LIMIT,1800.0
5,18,90,4.0,NaN,TIME_LIMIT,1800.0
5,19,95,4.0,NaN,TIME_LIMIT,1800.0
5,20,100,4.0,NaN,TIME_LIMIT,1800.0
5,21,105,5.0,NaN,TIME_LIMIT,1800.0
5,22,110,5.0,NaN,TIME_LIMIT,1800.0
5,23,115,5.0,NaN,TIME_LIMIT,1800.0
5,24,120,5.0,NaN,TIME_LIMIT,1800.0
5,25,125,5.0,NaN,TIME_LIMIT,1800.0
5,26,130,6.0,NaN,TIME_LIMIT,1800.0
5,27,135,6.0,NaN,TIME_LIMIT,1800.0
5,28,140,6.0,NaN,TIME_LIMIT,1800.0
5,29,145,6.0,NaN,TIME_LIMIT,1800.0
5,30,150,6.0,NaN,TIME_LIMIT,1800.0
6,15,75,3.0,3.420889127315498,LOCALLY_SOLVED,9.88798213005066
6,16,80,4.0,4.270683874980292,LOCALLY_SOLVED,3.87957501411438
6,17,85,4.0,3.4324318648838013,LOCALLY_SOLVED,4.767055988311768
6,18,90,4.0,3.5559073856231147,LOCALLY_SOLVED,13.738410949707031
6,19,95,4.0,3.8829305198371027,LOCALLY_SOLVED,27.005884885787964
6,20,100,4.0,4.988955208924729,LOCALLY_SOLVED,11.30986213684082
6,21,105,5.0,4.150337464835014,LOCALLY_SOLVED,6.7222230434417725
6,22,110,5.0,4.080515113435552,LOCALLY_SOLVED,7.109303951263428
6,23,115,5.0,NaN,TIME_LIMIT,1800.0
6,24,120,5.0,NaN,TIME_LIMIT,1800.0
6,25,125,5.0,4.505696665994038,LOCALLY_SOLVED,47.22251009941101
6,26,130,6.0,NaN,TIME_LIMIT,1800.0
6,27,135,6.0,4.891072287528436,LOCALLY_SOLVED,1071.225534915924
6,28,140,6.0,NaN,TIME_LIMIT,1800.0
6,29,145,6.0,5.185531939793611,LOCALLY_SOLVED,576.1526370048523
6,30,150,6.0,5.1456748139738355,LOCALLY_SOLVED,1753.7282810211182
7,15,75,3.0,NaN,TIME_LIMIT,1800.0
7,16,80,4.0,NaN,TIME_LIMIT,1800.0
7,17,85,4.0,NaN,TIME_LIMIT,1800.0
7,18,90,4.0,NaN,TIME_LIMIT,1800.0
7,19,95,4.0,NaN,TIME_LIMIT,1800.0
7,20,100,4.0,NaN,TIME_LIMIT,1800.0
7,21,105,5.0,NaN,TIME_LIMIT,1800.0
7,22,110,5.0,NaN,TIME_LIMIT,1800.0
7,23,115,5.0,NaN,TIME_LIMIT,1800.0
7,24,120,5.0,NaN,TIME_LIMIT,1800.0
7,25,125,5.0,NaN,TIME_LIMIT,1800.0
7,26,130,6.0,NaN,TIME_LIMIT,1800.0
7,27,135,6.0,NaN,TIME_LIMIT,1800.0
7,28,140,6.0,NaN,TIME_LIMIT,1800.0
7,29,145,6.0,NaN,TIME_LIMIT,1800.0
7,30,150,6.0,NaN,TIME_LIMIT,1800.0
8,15,75,3.0,2.6567390299562157,LOCALLY_SOLVED,3.1431849002838135
8,16,80,4.0,2.184609507810443,LOCALLY_SOLVED,3.8079261779785156
8,17,85,4.0,2.77347449102413,LOCALLY_SOLVED,5.074955940246582
8,18,90,4.0,3.3101103556189697,LOCALLY_SOLVED,4.534542083740234
8,19,95,4.0,3.3212933797425883,LOCALLY_SOLVED,28.13906979560852
8,20,100,4.0,2.4058304428296347,LOCALLY_SOLVED,136.72593307495117
8,21,105,5.0,3.18506934840221,LOCALLY_SOLVED,15.73063588142395
8,22,110,5.0,3.4205401227858077,LOCALLY_SOLVED,1589.3160829544067
8,23,115,5.0,NaN,TIME_LIMIT,1800.0
8,24,120,5.0,3.21502260408983,LOCALLY_SOLVED,695.2434990406036
8,25,125,5.0,3.3700750778374897,LOCALLY_SOLVED,172.60714602470398
8,26,130,6.0,3.4494129723673392,LOCALLY_SOLVED,1000.5088250637054
8,27,135,6.0,NaN,TIME_LIMIT,1800.0
8,28,140,6.0,NaN,TIME_LIMIT,1800.0
8,29,145,6.0,NaN,TIME_LIMIT,1800.0
8,30,150,6.0,NaN,TIME_LIMIT,1800.0
9,15,75,3.0,2.000477273244085,LOCALLY_SOLVED,3.353050947189331
9,16,80,4.0,1.6362041123689508,LOCALLY_SOLVED,14.390092849731445
9,17,85,4.0,2.3354439673755207,LOCALLY_SOLVED,194.71403288841248
9,18,90,4.0,1.8351932020062598,LOCALLY_SOLVED,33.023046016693115
9,19,95,4.0,2.254175917238428,LOCALLY_SOLVED,7.3550660610198975
9,20,100,4.0,2.018599780445219,ALMOST_LOCALLY_SOLVED,42.12872791290283
9,21,105,5.0,2.420645084396325,LOCALLY_SOLVED,147.96572303771973
9,22,110,5.0,2.147921460334021,LOCALLY_SOLVED,1768.6381289958954
9,23,115,5.0,2.5064697898618435,LOCALLY_SOLVED,872.9472408294678
9,24,120,5.0,2.2825037548666303,LOCALLY_SOLVED,260.01140093803406
9,25,125,5.0,3.0525722322547613,LOCALLY_SOLVED,23.110993146896362
9,26,130,6.0,2.6980760230485044,LOCALLY_SOLVED,474.0049991607666
9,27,135,6.0,NaN,TIME_LIMIT,1800.0
9,28,140,6.0,NaN,TIME_LIMIT,1800.0
9,29,145,6.0,3.3511676775576853,LOCALLY_SOLVED,419.33313512802124
9,30,150,6.0,NaN,TIME_LIMIT,1800.0
10,15,75,3.0,3.1461782405213627,LOCALLY_SOLVED,4.691301107406616
10,16,80,4.0,1.9633185506814463,LOCALLY_SOLVED,18.10318112373352
10,17,85,4.0,3.2637246166611753,LOCALLY_SOLVED,45.77988886833191
10,18,90,4.0,3.0832601459750864,LOCALLY_SOLVED,67.67554187774658
10,19,95,4.0,2.9921495092030796,LOCALLY_SOLVED,10.085170030593872
10,20,100,4.0,2.390275938650601,LOCALLY_SOLVED,270.5625550746918
10,21,105,5.0,NaN,TIME_LIMIT,1800.0
10,22,110,5.0,3.0099511451337047,LOCALLY_SOLVED,1377.1738910675049
10,23,115,5.0,3.0344682453548564,LOCALLY_SOLVED,1121.9726958274841
10,24,120,5.0,NaN,TIME_LIMIT,1800.0
10,25,125,5.0,NaN,TIME_LIMIT,1800.0
10,26,130,6.0,NaN,TIME_LIMIT,1800.0
10,27,135,6.0,NaN,TIME_LIMIT,1800.0
10,28,140,6.0,NaN,TIME_LIMIT,1800.0
10,29,145,6.0,3.095849248252958,LOCALLY_SOLVED,1495.9063830375671
10,30,150,6.0,NaN,TIME_LIMIT,1800.0
