seed,dimension,p,k,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,25,5.0,125,75.129,1.918574585754522,1,10507,0.01896478432321036,1.8996098014313116,0.009983515724608726,247.763,1.918574585754522,1,28558,0.018871361670212305,1.8997032240843097,0.009983515724608726,265.949,1.918574585754522,1,28558,0.018871361670212305,1.8997032240843097,0.009983515724608726,257.368,1.918574585754522,1,28558,0.018871361670212305,1.8997032240843097,0.009983515724608726,227.799,1.918574585754522,1,23677,0.018970051124387766,1.8996045346301342,0.009983515724608726,107.318,1.918574585754522,1,15627,0.018834244329650973,1.899740341424871,0.009983515724608726,89.349,1.918574585754522,1,12556,0.018941385800655075,1.899633199953867,0.009983515724608726,75.129
1,26,6.0,130,717.51,1.8799588900749673,1,102400,0.01857671262794769,1.8613821774470196,0.009980063660772016,1802.284,1.8944643460276342,0,187245,0.05536222202032892,1.8391021240073053,0.017772904985041017,1800.071,1.8944643460276342,0,184476,0.056223586382111,1.8382407596455232,0.017772904985041017,1800.067,1.8944643460276342,0,178390,0.057396212471636954,1.8370681335559973,0.017772904985041017,1800.007,1.8944643460276342,0,154748,0.050705698286493295,1.843758647741141,0.017772904985041017,909.595,1.8799555219248436,1,138003,0.01860755465171504,1.8613479672731286,0.009978254172014412,614.643,1.879955650812728,1,110769,0.0185563137106024,1.8613993371021256,0.009978323415120921,614.643
1,27,6.0,135,131.615,1.6865999170979717,1,17761,0.015623939647924079,1.6709759774500477,0.009350188068991041,354.64,1.686597181016222,1,35027,0.00857122904873342,1.6780259519674885,0.00934855065362017,379.488,1.694796254821123,1,35027,0.016770302853634567,1.6780259519674885,0.014255308090919266,386.291,1.694796254821123,1,35027,0.016770302853634567,1.6780259519674885,0.014255308090919266,462.698,1.6865971810625524,1,29720,0.016561265931681834,1.6700359151308706,0.009348550681346778,208.041,1.6865972462180814,1,21119,0.016622752042491085,1.6699744941755903,0.009348589673845683,121.899,1.6865974449588725,1,18747,0.013667918519520095,1.6729295264393524,0.009348708610798602,121.899
1,28,6.0,140,367.671,2.262450368745628,1,68066,0.022397503643738048,2.24005286510189,0.009998649582191573,1447.556,2.262447787186701,1,145476,0.022388607905023505,2.2400591792816775,0.009997497127726193,1489.72,2.262447847014596,1,145476,0.022388667732918588,2.2400591792816775,0.009997523835977599,1497.248,2.262447847014596,1,145476,0.022388667732918588,2.2400591792816775,0.009997523835977599,1665.589,2.2624478728966713,1,126924,0.022366419021892625,2.2400814538747786,0.009997535390202747,645.269,2.2624477896425286,1,90549,0.022379882406588614,2.24006790723594,0.0099974982240519,439.415,2.2624481519253608,1,75105,0.022386755752302534,2.240061396173058,0.009997659953642225,367.671
1,29,6.0,145,377.223,2.067935788464429,1,64595,0.02047384691414189,2.0474619415502873,0.009999622702944898,1662.658,2.0679355073617574,1,171533,0.01993505690066044,2.048000450461097,0.009999485409710723,1715.495,2.068468637017081,1,171533,0.020468186555984147,2.048000450461097,0.010259871033738504,1794.629,2.068468637017081,1,171533,0.020468186555984147,2.048000450461097,0.010259871033738504,1717.74,2.0679355073668177,1,153623,0.020459477352273936,2.047476030014544,0.009999485412182268,700.193,2.0679355076142376,1,98069,0.02046959860753983,2.047465909006698,0.009999485533024497,451.825,2.067935512304311,1,73648,0.02044228476562937,2.0474932275386815,0.009999487823701124,377.223
1,30,6.0,150,160.366,2.0182485579414875,1,25300,0.019945297905196835,1.9983032600362907,0.009981116632334681,654.627,2.0182483059101366,1,59213,0.019978983239390846,1.9982693226707458,0.00998099050966054,651.036,2.0182483059888225,1,59213,0.019978983318076793,1.9982693226707458,0.009980990549036919,629.458,2.0182483059888225,1,59213,0.019978983318076793,1.9982693226707458,0.009980990549036919,898.767,2.0182483062856726,1,55408,0.019939126358624604,1.998309179927048,0.009980990697587995,384.332,2.0182483079618496,1,38077,0.019916711505950202,1.9983315964558994,0.009980991536388095,169.58,2.018251261787098,1,28691,0.019875478703152538,1.9983757830839455,0.009982469703044514,160.366
2,15,3.0,75,13.245,1.5912331179212327,1,1789,0.014844560778260352,1.5763885571429723,0.009416815867506964,46.19,1.5912331179212327,1,3074,0.01572030526996926,1.5755128126512634,0.009416815867506964,35.693,1.5912331179212327,1,3074,0.015720305269968593,1.575512812651264,0.009416815867506964,33.998,1.5912331179212327,1,3150,0.01565677765363116,1.5755763402676015,0.009416815867506964,22.892,1.5912331179212327,1,2153,0.01573749660440482,1.5754956213168279,0.009416815867506964,21.559,1.5912331179212327,1,1855,0.015593660526252329,1.5756394573949803,0.009416815867506964,17.604,1.5912331179212327,1,1861,0.015583255062661783,1.575649862858571,0.009416815867506964,13.245
2,16,4.0,80,84.357,1.5377830876141556,1,12800,0.015221238629339107,1.5225618489848165,0.009997123361187608,786.848,1.5377815557830616,1,60270,0.015140553917507571,1.522641001865554,0.009996117273260873,447.298,1.5377815557831882,1,60270,0.015140553917634136,1.522641001865554,0.009996117273343999,267.461,1.5377815557831427,1,44194,0.015210759114608674,1.522570796668534,0.009996117273314103,110.386,1.5377815575958163,1,18533,0.015206206579530201,1.522575351016286,0.009996118463855931,97.047,1.537781617126532,1,14191,0.01498777776004978,1.5227938393664822,0.009996157562901878,70.219,1.5377819611274637,1,13125,0.014964463387741489,1.5228174977397222,0.009996383498506378,70.219
2,17,4.0,85,239.779,1.9730825424630343,1,36278,0.019511657466845467,1.9535708849961888,0.00998768850247455,865.636,1.9730825424630343,1,102138,0.019529986669692967,1.9535525557933413,0.00998768850247455,865.623,1.9730825424630343,1,102138,0.019529986669692967,1.9535525557933413,0.00998768850247455,580.855,1.9730825424630343,1,88168,0.019509623472285575,1.9535729189907487,0.00998768850247455,275.696,1.9730825424630343,1,48056,0.019503346242260022,1.9535791962207743,0.00998768850247455,232.983,1.9730825424630343,1,39791,0.019531510752451187,1.953551031710583,0.00998768850247455,178.535,1.9730825424630343,1,37669,0.019467652310425354,1.953614890152609,0.00998768850247455,178.535
2,18,4.0,90,145.451,1.908612111621514,1,21465,0.01888198031143129,1.8897301313100827,0.009991892492258186,550.953,1.9086114227602864,1,62475,0.01887834864521354,1.8897330741150729,0.009991527963367948,522.735,1.908611422761826,1,62475,0.018878348646753196,1.8897330741150729,0.009991527964182697,425.099,1.9086114227625834,1,60496,0.018833741348674993,1.8897776814139085,0.009991527964583491,221.19,1.9086114242067422,1,33541,0.018897133194906157,1.889714291011836,0.009991528728797794,163.074,1.9086116009992053,1,25117,0.018779495823977088,1.8898321051752283,0.009991622283141974,118.921,1.908641846793253,1,23081,0.018879732751097,1.889762114042156,0.010007627634142431,118.921
