seed,dimension,solution,calls,termination,time
3,90,581.9215040738239,18802,TIME_LIMIT,1800.547402
3,95,3086.0460901297333,13799,TIME_LIMIT,1800.012351
3,100,Inf,Inf,ERROR,1800.0
3,105,3436.8602952702827,6215,TIME_LIMIT,1800.00089
3,110,1.8098094441069192,15145,TIME_LIMIT,1800.058476
3,115,2227.636994229354,6123,TIME_LIMIT,1800.265592
3,120,Inf,Inf,ERROR,1800.0
4,20,-1.3786924578342372,3959,OPTIMAL,25.532546
4,25,-0.3393723681483406,3267,OPTIMAL,12.482007
4,30,-0.19418563688927326,6081,OPTIMAL,93.409075
4,35,0.13465978371757903,10387,OPTIMAL,563.797875
4,40,-0.09731259752477461,9827,OPTIMAL,671.741533
4,45,-5.051179624673292,16573,TIME_LIMIT,1800.163043
4,50,42.06052431353214,15992,TIME_LIMIT,1800.007789
4,55,47.26300157082284,14893,TIME_LIMIT,1800.025429
4,60,28.539389906927557,19535,TIME_LIMIT,1800.000571
4,65,201.53245605472353,13026,TIME_LIMIT,1800.114985
4,70,189.68575170613238,9349,TIME_LIMIT,1800.382619
4,75,440.5124389749333,9722,TIME_LIMIT,1800.131829
4,80,973.5162000969779,8042,TIME_LIMIT,1800.075788
4,85,206.2544024493389,13252,TIME_LIMIT,1800.031826
4,90,2255.3071615628755,5815,TIME_LIMIT,1800.258051
4,95,1545.3983774709727,13900,TIME_LIMIT,1800.044839
4,100,1470.0433385366507,11167,TIME_LIMIT,1800.005965
4,105,6396.2897805777,5399,TIME_LIMIT,1800.034726
4,110,Inf,Inf,ERROR,1800.0
4,115,8712.297189491344,5515,TIME_LIMIT,1800.000672
4,120,5220.862025939235,6212,TIME_LIMIT,1800.009581
5,20,-10.318941204350642,2326,OPTIMAL,4.096387
5,25,-0.30236143840609425,3719,OPTIMAL,44.841693
5,30,-0.3583124292202599,9691,OPTIMAL,293.83049
5,35,-0.36945492721811335,16135,OPTIMAL,750.385832
5,40,9.999571139817592,20892,TIME_LIMIT,1800.037232
5,45,32.68860982140771,13696,TIME_LIMIT,1800.001119
5,50,72.14494494692156,23482,TIME_LIMIT,1800.016679
5,55,19.406441306985755,14290,TIME_LIMIT,1800.017546
5,60,9.848829277511715,14091,TIME_LIMIT,1800.321628
5,65,216.75466242856896,8967,TIME_LIMIT,1800.030314
5,70,1760.0830973193042,15011,TIME_LIMIT,1800.00473
5,75,1029.3549269094574,6929,TIME_LIMIT,1800.023451
5,80,26.451357828426524,8855,TIME_LIMIT,1800.000826
5,85,1303.5928623857396,8880,TIME_LIMIT,1800.007858
5,90,1148.4381405196477,6029,TIME_LIMIT,1800.001378
5,95,562.9451206264231,11336,TIME_LIMIT,1800.145998
5,100,690.0775408511124,6705,TIME_LIMIT,1800.007194
5,105,2746.1570094742638,5810,TIME_LIMIT,1800.000643
5,110,21.338665774151114,7380,TIME_LIMIT,1800.280551
5,115,12706.472531492745,6670,TIME_LIMIT,1800.000793
5,120,9784.282529932125,9103,TIME_LIMIT,1800.219839
6,20,0.3585117638849092,990,OPTIMAL,1.317422
6,25,-1.4184525385972906,4559,OPTIMAL,33.184267
6,30,-0.16316092164232843,4611,OPTIMAL,60.560022000000004
6,35,-14.00429697583344,13157,TIME_LIMIT,1800.157253
6,40,-0.607370391261559,16171,OPTIMAL,1701.599365
6,45,3.271473957106135,17405,TIME_LIMIT,1800.32087
6,50,47.41383541433751,17711,TIME_LIMIT,1800.000605
6,55,45.63307205379119,17538,TIME_LIMIT,1800.00216
6,60,161.2101650153565,13425,TIME_LIMIT,1800.005683
6,65,199.12332464976905,9166,TIME_LIMIT,1800.025212
6,70,1633.783756090091,11381,TIME_LIMIT,1800.005026
6,75,41.92644737696182,14055,TIME_LIMIT,1800.010148
6,80,363.7388935892832,17336,TIME_LIMIT,1800.17925
6,85,1234.8395410144599,12144,TIME_LIMIT,1800.011073
6,90,2635.6973247182827,11617,TIME_LIMIT,1800.005518
6,95,866.3610673079819,11905,TIME_LIMIT,1800.003925
6,100,5774.493632174301,13379,TIME_LIMIT,1800.000739
6,105,2313.5754623892594,4636,TIME_LIMIT,1800.254245
6,110,16184.76755447658,6464,TIME_LIMIT,1800.008868
6,115,1194.263976311607,18162,TIME_LIMIT,1800.015253
6,120,10890.14092392263,17819,TIME_LIMIT,1800.014451
7,20,-0.33796991641605656,1716,OPTIMAL,2.711563
7,25,-0.24333764010160147,2610,OPTIMAL,7.9945699999999995
7,30,-0.26859767384483163,3849,OPTIMAL,85.949652
7,35,-0.9542641144287735,9826,OPTIMAL,234.146967
7,40,4.176510889086843,14715,TIME_LIMIT,1800.055585
7,45,1.8466878183809978,17467,TIME_LIMIT,1800.977277
7,50,13.235649470420544,11745,TIME_LIMIT,1800.031858
7,55,19.8815737610712,13048,TIME_LIMIT,1800.192239
7,60,74.03681377803008,11849,TIME_LIMIT,1800.000601
7,65,766.6513214927454,17041,TIME_LIMIT,1800.005998
7,70,2404.6557281181567,9741,TIME_LIMIT,1800.294153
7,75,231.4370108998576,15832,TIME_LIMIT,1800.001087
7,80,196.2938431774918,11109,TIME_LIMIT,1800.291766
7,85,269.44854393556164,10550,TIME_LIMIT,1800.004529
7,90,Inf,Inf,ERROR,1800.0
7,95,1151.2894025756589,5161,TIME_LIMIT,1800.120638
7,100,1325.0955170134166,4289,TIME_LIMIT,1800.001633
7,105,7579.297362298964,7783,TIME_LIMIT,1800.000465
7,110,22217.042598580814,5919,TIME_LIMIT,1800.028084
7,115,4457.924414774134,12259,TIME_LIMIT,1800.017301
7,120,8491.91546131912,16714,TIME_LIMIT,1800.015548
8,20,-4.353810684495139,3845,OPTIMAL,26.223538
8,25,-11.018465726578542,2715,OPTIMAL,15.806381
8,30,-0.1981558624517597,2620,OPTIMAL,16.367484
8,35,-0.18446092244472917,7204,OPTIMAL,403.513502
8,40,-1.8677256145159014,9133,OPTIMAL,724.036772
8,45,-15.219479803995247,16372,TIME_LIMIT,1800.004012
8,50,63.936589536351704,18767,TIME_LIMIT,1800.006647
8,55,84.89995759135209,17229,TIME_LIMIT,1800.248659
8,60,53.155336328017086,11693,TIME_LIMIT,1800.020154
8,65,99.82179015534649,13764,TIME_LIMIT,1800.067905
8,70,667.7066657187653,23456,TIME_LIMIT,1800.097543
8,75,796.0905295103015,12143,TIME_LIMIT,1800.44385
8,80,331.8904393802578,12611,TIME_LIMIT,1800.001176
8,85,81.87112892070988,16945,TIME_LIMIT,1800.265821
8,90,4919.371739821215,8069,TIME_LIMIT,1800.069328
8,95,1162.6758886040811,5707,TIME_LIMIT,1800.00468
8,100,Inf,Inf,ERROR,1800.0
8,105,1724.9740615699952,11040,TIME_LIMIT,1800.005987
8,110,7943.1137433180675,7965,TIME_LIMIT,1800.002371
8,115,7170.592833639002,5485,TIME_LIMIT,1800.006567
8,120,3466.452438026637,3564,TIME_LIMIT,1800.001496
9,20,-0.13869945083251933,1872,OPTIMAL,6.553286
9,25,-0.4271723814725883,4643,OPTIMAL,167.891779
9,30,-0.06041759789369494,2633,OPTIMAL,12.427725
9,35,0.20876449639091144,9775,OPTIMAL,396.444299
9,40,-1.1172265416463354,12196,TIME_LIMIT,1800.008691
9,45,0.06010789566694069,15180,OPTIMAL,1336.972741
9,50,0.034004609003147834,19544,TIME_LIMIT,1800.004297
9,55,44.048947767552555,13604,TIME_LIMIT,1800.062863
9,60,205.631808200478,14093,TIME_LIMIT,1800.010656
9,65,116.64421956241821,6685,TIME_LIMIT,1800.01264
9,70,125.96564135370193,11828,TIME_LIMIT,1800.013362
9,75,352.9806915818394,10607,TIME_LIMIT,1800.137551
9,80,435.25492415367233,10103,TIME_LIMIT,1800.003745
9,85,Inf,Inf,ERROR,1800.0
9,90,213.63964317021953,6229,TIME_LIMIT,1800.047851
9,95,2397.2952822985694,9718,TIME_LIMIT,1800.036881
9,100,3395.622437315557,10503,TIME_LIMIT,1800.128976
9,105,10388.038081429819,9776,TIME_LIMIT,1800.000327
9,110,42.436619691237844,5138,TIME_LIMIT,1800.001889
9,115,8810.65724206775,5067,TIME_LIMIT,1800.000515
9,120,Inf,Inf,ERROR,1800.0
10,20,-0.14728722481880968,1707,OPTIMAL,3.120187
10,25,-0.19281164049994876,3984,OPTIMAL,13.269045
10,30,-0.4009365229344439,5230,OPTIMAL,29.136058
10,35,-2.558220484359567,17396,OPTIMAL,1455.845737
10,40,-0.383048377367822,11875,OPTIMAL,788.104094
10,45,12.977614789467152,12438,TIME_LIMIT,1800.000545
10,50,32.21302143704073,14776,TIME_LIMIT,1800.06785
10,55,65.67941693592215,9876,TIME_LIMIT,1800.002783
10,60,121.05169996023338,13480,TIME_LIMIT,1800.007189
10,65,60.024686882369366,11088,TIME_LIMIT,1800.000587
10,70,Inf,Inf,ERROR,1800.0
10,75,54.87430703870201,15080,TIME_LIMIT,1800.007802
10,80,869.9612092533521,10927,TIME_LIMIT,1800.004123
10,85,2254.633822951937,11889,TIME_LIMIT,1800.066787
10,90,1390.416567361511,13790,TIME_LIMIT,1800.012532
10,95,3002.379438843305,4014,TIME_LIMIT,1800.026224
10,100,5964.631734151476,12837,TIME_LIMIT,1800.002128
10,105,6952.467294547493,7131,TIME_LIMIT,1800.00233
10,110,20.48346652081226,7126,TIME_LIMIT,1800.001708
10,115,1513.900582927806,5120,TIME_LIMIT,1800.002363
10,120,30232.605353071027,7644,TIME_LIMIT,1800.001605
