seed,n0,m0,M,solution,calls,termination,time
5,2,19,20.0,1.9826705445433244,33,OPTIMAL,0.38109
5,2,20,20.0,1.9437674179824307,38,OPTIMAL,0.38659899999999997
5,2,21,20.0,2.067139419653919,27,OPTIMAL,0.372739
5,2,22,20.0,2.190876494176071,32,OPTIMAL,0.373905
5,2,23,20.0,2.438422932438554,40,OPTIMAL,0.561461
5,2,24,20.0,1.908738884772469,41,OPTIMAL,0.554948
5,2,25,20.0,2.665073907878832,40,OPTIMAL,0.621271
5,3,26,20.0,1.1653015107995552,52,OPTIMAL,0.558825
5,3,27,20.0,1.5021062564598324,62,OPTIMAL,0.605596
5,3,28,20.0,1.0012177658325758,55,OPTIMAL,0.36058199999999996
5,3,29,20.0,0.9038411772515733,64,OPTIMAL,0.38260099999999997
5,3,30,20.0,1.7053801397891384,57,OPTIMAL,0.383731
6,2,15,20.0,0.060230230655953954,21,OPTIMAL,0.460935
6,2,16,20.0,0.29033242672739157,39,OPTIMAL,0.420394
6,2,17,20.0,1.213651186902505,25,OPTIMAL,0.42114199999999996
6,2,18,20.0,0.09959901977468602,31,OPTIMAL,0.363215
6,2,19,20.0,0.40531229259630663,33,OPTIMAL,0.37821699999999997
6,2,20,20.0,0.8511159342554039,18,OPTIMAL,0.439806
6,2,21,20.0,0.9623227782380217,38,OPTIMAL,0.495145
6,2,22,20.0,0.6513959050396926,30,OPTIMAL,0.37493
6,2,23,20.0,1.6707479558564908,15,OPTIMAL,0.555153
6,2,24,20.0,0.45465062183482313,41,OPTIMAL,0.6103029999999999
6,2,25,20.0,1.7363733918468665,16,OPTIMAL,0.6005199999999999
6,3,26,20.0,0.13376647030119249,62,OPTIMAL,0.554673
6,3,27,20.0,-0.5204366096829252,51,OPTIMAL,0.560269
6,3,28,20.0,-0.37062300680797666,61,OPTIMAL,0.362207
6,3,29,20.0,0.5551417451312286,42,OPTIMAL,0.38087499999999996
6,3,30,20.0,1.0695754850757888,59,OPTIMAL,0.38376299999999997
7,2,15,20.0,3.4917782196725637,37,OPTIMAL,0.519632
7,2,16,20.0,3.564939132929096,32,OPTIMAL,0.41024
7,2,17,20.0,3.142585460973204,37,OPTIMAL,0.39178799999999997
7,2,18,20.0,4.155671162990871,34,OPTIMAL,0.364542
7,2,19,20.0,4.461341376044396,22,OPTIMAL,0.38054099999999996
7,2,20,20.0,4.36787710750661,25,OPTIMAL,0.370285
7,2,21,20.0,4.456969957744237,31,OPTIMAL,0.753617
7,2,22,20.0,4.524305172282883,24,OPTIMAL,0.37709
7,2,23,20.0,4.939014782136841,40,OPTIMAL,0.5767669999999999
7,2,24,20.0,5.085363746604742,37,OPTIMAL,0.627792
7,2,25,20.0,4.261687950254949,43,OPTIMAL,0.604657
7,3,26,20.0,5.159338639572701,35,OPTIMAL,0.634521
7,3,27,20.0,4.691017264223256,41,OPTIMAL,0.5600999999999999
7,3,28,20.0,5.22782810812707,36,OPTIMAL,0.318201
7,3,29,20.0,5.360563724290661,62,OPTIMAL,0.391879
7,3,30,20.0,4.614836437823339,36,OPTIMAL,0.340325
8,2,15,20.0,0.4427753069461012,35,OPTIMAL,0.46202899999999997
8,2,16,20.0,0.696581355513931,34,OPTIMAL,0.41063099999999997
8,2,17,20.0,0.28816844413560533,39,OPTIMAL,0.42268
8,2,18,20.0,1.7918322991923867,41,OPTIMAL,0.36567299999999997
8,2,19,20.0,2.547903608242656,33,OPTIMAL,0.377831
8,2,20,20.0,0.7424442384269565,36,OPTIMAL,0.37185199999999996
8,2,21,20.0,1.0971613256913315,34,OPTIMAL,0.42622499999999997
8,2,22,20.0,1.2815299498478498,33,OPTIMAL,0.377592
8,2,23,20.0,1.9385388601195281,36,OPTIMAL,0.560496
8,2,24,20.0,1.3877357092444482,30,OPTIMAL,0.622923
8,2,25,20.0,1.241784574807771,37,OPTIMAL,0.753196
8,3,26,20.0,0.8255665420479679,58,OPTIMAL,0.556173
8,3,27,20.0,0.9076320726185034,62,OPTIMAL,0.610007
8,3,28,20.0,2.653307339690402,59,OPTIMAL,0.316837
8,3,29,20.0,1.8212116121880193,58,OPTIMAL,0.341338
8,3,30,20.0,1.8412131359783854,53,OPTIMAL,0.37827099999999997
9,2,15,20.0,0.45178990364608995,39,OPTIMAL,0.46501
9,2,16,20.0,0.3024001557506704,33,OPTIMAL,0.457217
9,2,17,20.0,0.6231482554161885,31,OPTIMAL,0.390988
9,2,18,20.0,0.3516917551584767,37,OPTIMAL,0.36807599999999996
9,2,19,20.0,0.889698146112702,37,OPTIMAL,0.379113
9,2,20,20.0,1.1139875801202228,34,OPTIMAL,0.377579
9,2,21,20.0,0.5976298702889729,31,OPTIMAL,0.39513
9,2,22,20.0,1.0517413074463555,33,OPTIMAL,0.40693999999999997
9,2,23,20.0,0.9733860849219862,36,OPTIMAL,0.553787
9,2,24,20.0,1.2592923184544293,40,OPTIMAL,0.637581
9,2,25,20.0,2.6947219876975437,38,OPTIMAL,0.7547769999999999
9,3,26,20.0,1.9182545019767632,60,OPTIMAL,0.5749029999999999
9,3,27,20.0,1.091034674729122,56,OPTIMAL,0.610278
9,3,28,20.0,1.3490393770861817,59,OPTIMAL,0.320575
9,3,29,20.0,1.7595988539163772,54,OPTIMAL,0.33446699999999996
9,3,30,20.0,1.2378731694114604,62,OPTIMAL,0.380667
10,2,15,20.0,2.5368574938498414,34,OPTIMAL,0.462508
10,2,16,20.0,1.2374360905286794,25,OPTIMAL,0.443042
10,2,17,20.0,1.3680764251403663,34,OPTIMAL,0.435784
10,2,18,20.0,1.5948030899638723,26,OPTIMAL,0.36669999999999997
10,2,19,20.0,2.74054674445017,47,OPTIMAL,0.38023199999999996
10,2,20,20.0,1.4400681386012248,22,OPTIMAL,0.37363999999999997
10,2,21,20.0,2.9169270943591274,21,OPTIMAL,0.370828
10,2,22,20.0,2.5276618345397326,47,OPTIMAL,0.655857
10,2,23,20.0,3.593297449797483,40,OPTIMAL,0.561827
10,2,24,20.0,2.4796362395250138,27,OPTIMAL,0.611637
10,2,25,20.0,3.233885663998808,42,OPTIMAL,0.784906
10,3,26,20.0,2.60767052689084,42,OPTIMAL,0.551986
10,3,27,20.0,2.079116411300892,56,OPTIMAL,0.357581
10,3,28,20.0,2.296074930851484,81,OPTIMAL,0.39757
10,3,29,20.0,2.5235347827724137,41,OPTIMAL,0.338589
10,3,30,20.0,3.7410398146414447,49,OPTIMAL,0.33601
