seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
6,90,90,45.0,5.0,0.06192255217022835,0.08442327789106775,Inf,12051,Time limit reached,1803.709
6,90,90,45.0,10.0,0.061938477349445714,0.08411452444537237,Inf,10597,Time limit reached,1803.44
7,90,90,45.0,0.1,0.8450846270109141,0.05868618678785942,0.07462652999567702,20514,Time limit reached,1803.07
7,90,90,45.0,1.0,0.11566953655749482,0.05251821768280368,0.8316250336277801,7953,Time limit reached,1803.923
7,90,90,45.0,5.0,0.11320064390932151,0.04973123763588333,0.7835466023052393,11850,Time limit reached,1803.686
7,90,90,45.0,10.0,0.11555898297890953,0.05257216937373356,0.8346535784977924,10718,Time limit reached,1803.612
8,90,90,45.0,0.1,0.6336920308984719,0.013733360152592633,0.022152057549368366,4643,Time limit reached,1812.36
8,90,90,45.0,1.0,-0.615180411461822,0.11100530266371178,0.18044349364105322,14474,Time limit reached,1803.711
8,90,90,45.0,5.0,-0.6799431985906605,0.10597178465186519,0.15585387848796223,12757,Time limit reached,1803.838
8,90,90,45.0,10.0,-0.679930540665845,0.1060286167417489,0.15594036508187556,11388,Time limit reached,1803.464
9,90,90,45.0,0.1,0.5088896281060963,0.028988783993298628,0.060405778295495136,6489,Time limit reached,1815.718
9,90,90,45.0,1.0,-0.8773312077513368,0.210729805340928,0.2401941290576494,15169,Time limit reached,1803.651
9,90,90,45.0,5.0,-1.0019026852592214,0.2049619928891835,0.20457275532319175,13045,Time limit reached,1803.765
9,90,90,45.0,10.0,-1.0007300572361475,0.20613097296244343,0.20598059533831073,11737,Time limit reached,1803.362
10,90,90,45.0,0.1,0.8413702127272606,0.08853379784629234,0.11760031275890195,15105,Time limit reached,1803.213
10,90,90,45.0,1.0,0.08357604955508682,0.0771998429630223,12.107487712067098,7718,Time limit reached,1803.935
10,90,90,45.0,5.0,0.08043750245154797,0.07406849918853964,11.629527593231929,12311,Time limit reached,1803.712
