seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
9,70,70,35.0,10.0,-2.6471753207868867,0.11819307744099872,0.04464875314940048,29135,Time limit reached,1800.016
10,70,70,35.0,0.1,0.9999999999999983,0.020735645660001967,0.021174717090542274,49502,Time limit reached,1800.016
10,70,70,35.0,1.0,0.9999999999999983,0.020873468644286852,0.021318458826138816,41731,Time limit reached,1800.015
10,70,70,35.0,5.0,0.9999999999999983,0.02090162966314557,0.021347834187441753,32752,Time limit reached,1800.025
10,70,70,35.0,10.0,0.9999999999999983,0.021241966998430062,0.02170298100469948,25940,Time limit reached,1800.02
1,90,90,45.0,0.1,0.8458268719706753,0.085806772479042,0.1129006621488523,28253,Time limit reached,1800.032
1,90,90,45.0,1.0,0.9999999999999984,1.0281234509703567,Inf,14432,Time limit reached,1800.022
1,90,90,45.0,5.0,0.9999999999999984,1.028165629245547,Inf,23379,Time limit reached,1800.023
2,90,90,45.0,0.1,0.8276433030597814,0.093214941777364,0.12692176213701406,21651,Time limit reached,1800.035
2,90,90,45.0,1.0,0.9999999999999984,1.1451379829753787,Inf,21617,Time limit reached,1800.039
2,90,90,45.0,5.0,0.9999999999999984,1.1459119337307515,Inf,19840,Time limit reached,1800.05
2,90,90,45.0,10.0,0.9999999999999984,1.1463106951597144,Inf,17440,Time limit reached,1800.039
3,90,90,45.0,0.1,0.548353627903558,0.13189329697472485,0.31670074477576937,13023,Time limit reached,1800.033
3,90,90,45.0,1.0,0.8924674633395794,1.524484710906252,Inf,11319,Time limit reached,1800.028
3,90,90,45.0,5.0,0.9999999999999984,1.6427474465134104,Inf,18692,Time limit reached,1800.053
3,90,90,45.0,10.0,0.9999999999999984,1.6427715461115264,Inf,17853,Time limit reached,1800.03
4,90,90,45.0,0.1,0.5671716855515061,0.1484601859449946,0.3545643864200329,10164,Time limit reached,1800.026
4,90,90,45.0,1.0,-0.1419570710066267,1.4605475244692236,10.288656381203046,16871,Time limit reached,1800.036
4,90,90,45.0,5.0,0.9999999999999984,2.8984415946092152,Inf,23168,Time limit reached,1800.039
4,90,90,45.0,10.0,0.9999999999999984,2.898520289141297,Inf,20913,Time limit reached,1800.03
5,90,90,45.0,0.1,0.8786243549139496,0.09875252668410728,0.12662661107820286,23708,Time limit reached,1800.026
5,90,90,45.0,1.0,0.9999999999999984,0.7410099479566365,2.8611521643795483,14885,Time limit reached,1800.035
5,90,90,45.0,5.0,0.9999999999999984,0.7406756448702673,2.856174633114319,21207,Time limit reached,1800.031
5,90,90,45.0,10.0,0.9999999999999984,0.7406985551172791,2.8565153404844814,19017,Time limit reached,1800.027
6,90,90,45.0,0.1,0.849446359679231,0.109641355931133,0.14820304725657904,22738,Time limit reached,1800.024
6,90,90,45.0,1.0,0.9999999999999984,1.0221145329345895,Inf,13815,Time limit reached,1800.022
6,90,90,45.0,5.0,0.9999999999999984,1.0222295223728532,Inf,21814,Time limit reached,1800.021
6,90,90,45.0,10.0,0.9999999999999984,1.0219115132364212,Inf,19351,Time limit reached,1800.029
7,90,90,45.0,0.1,0.856202650635829,0.06968154105246793,0.0885946228313947,32638,Time limit reached,1800.025
7,90,90,45.0,1.0,0.9999999999999984,0.936640363624524,14.782918861369655,13138,Time limit reached,1800.023
7,90,90,45.0,5.0,0.9999999999999984,0.9363844523532752,14.719427671255868,20219,Time limit reached,1800.029
7,90,90,45.0,10.0,0.9999999999999984,0.9367378021457407,14.807228232945349,18009,Time limit reached,1800.029
8,90,90,45.0,0.1,0.8335944513184914,0.21353372757784062,0.34437550936890843,6466,Time limit reached,1800.026
8,90,90,45.0,1.0,0.6953563097768434,1.4215413435474051,Inf,16122,Time limit reached,1800.045
8,90,90,45.0,5.0,0.9999999999999984,1.785689231751551,Inf,21452,Time limit reached,1800.04
8,90,90,45.0,10.0,0.9999999999999984,1.7857511558314256,Inf,19248,Time limit reached,1800.023
9,90,90,45.0,0.1,0.6219663538067068,0.1418991357890258,0.29558180701228304,9743,Time limit reached,1800.025
9,90,90,45.0,1.0,0.3704708460711337,1.458525348700267,Inf,15867,Time limit reached,1800.025
9,90,90,45.0,5.0,0.9999999999999984,2.206735188344984,Inf,21445,Time limit reached,1800.033
9,90,90,45.0,10.0,0.9999999999999984,2.2067611734424815,Inf,19513,Time limit reached,1800.032
10,90,90,45.0,0.1,0.85006756891237,0.09712788907133596,0.12899823408409328,22868,Time limit reached,1800.041
10,90,90,45.0,1.0,0.9999999999999984,0.99343191630844,151.25140953749246,12740,Time limit reached,1800.031
10,90,90,45.0,5.0,0.9999999999999984,0.9934419914816238,151.48531580862303,20506,Time limit reached,1800.029
10,90,90,45.0,10.0,0.9999999999999984,0.9933668885111195,149.75881080494395,18453,Time limit reached,1800.041
