seed,dimension,p,k,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeIpopt,solutionIpopt,terminationIpopt,numberNodesIpopt,relGapIpopt,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,timePavito,solutionPavito,terminationPavito,relGapPavito,timeShot,solutionShot,terminationShot,relGapShot,minimumTime
3,15,3.0,75,32.679,3.3580743194150378,1,6037,0.033205194529625004,3.3248691248854128,0.009986917765002067,110.278,3.358072348325635,1,3899,0.009986324932824687,0.651743,3.986343937522592,1,16,0.19894762403917968,1800.0,NaN,0,Inf,758.2029058933258,3.3580743003864444,1,0.009986912041891576,0.651743
3,16,4.0,80,159.631,3.048834351864469,1,27274,0.03014370487436624,3.0186906469901027,0.009985688631069942,298.261,3.0488327260777894,1,13205,0.009985150057605608,0.335943,3.775113166079927,1,33,0.25057967428495637,1800.0,NaN,0,Inf,1490.8183720111847,3.0488343335985735,1,0.009985682580136742,0.335943
3,17,4.0,85,313.666,3.5278768501750717,1,53738,0.034893569357576926,3.4929832808174948,0.009989618200923787,504.433,3.527874572936922,1,17843,0.009988966254445224,0.35797399999999996,4.474597106300758,1,50,0.28102448439247235,1800.0,NaN,0,Inf,1800.0,3.5278768259128257,1,0.009989611254928333,0.35797399999999996
3,18,4.0,90,127.67,3.2649714704686863,1,22262,0.03228030311712882,3.2326911673515575,0.009985582119053784,399.482,3.2649694211023452,1,14157,0.009984948168504542,0.34424899999999997,4.179505369652819,1,27,0.2928873045045491,1800.0,NaN,0,Inf,1800.0,3.264971452425371,1,0.009985576537538461,0.34424899999999997
3,19,4.0,95,270.942,3.6329679504573775,1,46751,0.035929144098486354,3.597038806358891,0.009988533911552567,847.39,3.6329552729752366,1,23405,0.009985009489709094,0.408659,5.021698943536239,1,85,0.39606471152293815,1800.0,NaN,0,Inf,1800.0,3.6329568490875643,1,0.009985447659106927,0.408659
3,20,4.0,100,234.623,3.4232738207320144,1,40167,0.033833515862661034,3.3894403048693533,0.00998203621230767,540.569,3.4232719602904447,1,19261,0.009981487318861452,0.47269,4.297984497181271,1,61,0.2680513921447977,1800.0,NaN,0,Inf,1800.0,3.423273800922441,1,0.009982030367810717,0.47269
3,21,5.0,105,131.831,3.718586133585336,1,21466,0.03676795389193943,3.6818181796933964,0.009986357852956575,343.455,3.7183878163517776,1,12653,0.00993249391294671,0.414705,5.182131359610434,1,40,0.4074924688546071,1800.0,NaN,0,Inf,1800.0,3.7183894370265,1,0.009932934096204908,0.414705
3,22,5.0,110,266.849,3.5657132968055762,1,42120,0.035287774210098544,3.5304255225954777,0.009995331719717424,927.861,3.557784868595244,1,37573,0.007749588774684707,0.438131,5.17188230864739,1,74,0.4649458756589648,1800.0,NaN,0,Inf,1800.0,3.5581300110271616,1,0.007847351049999297,0.438131
3,23,5.0,115,864.967,4.014525717592983,1,150109,0.039733904900133954,3.974791812692849,0.009996474475279488,1800.0,4.020544123983409,0,50515,0.011510618278033504,0.38914299999999996,5.331135885476524,1,66,0.34123650663977195,1800.0,NaN,0,Inf,1800.0,4.019471942546419,1,0.011240872971231103,0.38914299999999996
3,24,5.0,120,1800.0,4.032486704878422,0,287883,0.10153897903058695,3.930947725847835,0.0258306612328931,1800.0,4.044504038673026,0,61363,0.0288877697554982,0.38500599999999996,5.128698211845658,1,48,0.30469763770249325,1800.0,NaN,0,Inf,1800.0,4.033445869560809,1,0.02607466465122395,0.38500599999999996
3,25,5.0,125,784.815,4.453860581740739,1,120186,0.04406573552081561,4.409794846219923,0.009992695138321177,1800.0,4.531488526748332,0,50247,0.027596222675239458,0.46010199999999996,5.986028997488624,1,110,0.35743933816328194,1800.0,NaN,0,Inf,1800.0,4.453860552252213,1,0.00999268845126944,0.46010199999999996
3,26,6.0,130,1800.0,4.057720933359512,0,281439,0.16013798461838702,3.897582948741125,0.04108648532293835,1800.0,Inf,0,67729,Inf,0.457804,5.250200650631399,1,94,0.3470401322253203,1800.0,NaN,0,Inf,1800.0,4.063855935477809,1,0.04266053831911092,0.457804
3,27,6.0,135,1478.519,4.457530395820922,1,219617,0.04409065519157007,4.413439740629352,0.009990088861003185,1800.0,Inf,0,64639,Inf,0.423826,6.331875273274402,1,56,0.4346803503363305,1800.0,NaN,0,Inf,1800.0,4.457526555776282,1,0.009989218781232014,0.423826
3,28,6.0,140,1322.89,4.363373393383866,1,281557,0.04318949273143602,4.32018390065243,0.009997142187607704,1800.0,Inf,0,62719,Inf,0.835969,5.695530167868014,1,145,0.3183536392994476,1800.0,NaN,0,Inf,1800.0,4.38015255865851,1,0.013881042887323362,0.835969
3,29,6.0,145,1800.0,4.6434855914450495,0,350433,0.0903565805885691,4.55312901085648,0.01984494187911717,1800.0,Inf,0,60077,Inf,0.660997,6.472680309091983,1,32,0.42158948135634294,1800.0,NaN,0,Inf,1800.0,4.633776050814911,1,0.017712443413339586,0.660997
3,30,6.0,150,1800.0,4.319300767044491,0,338056,0.09075417661271867,4.2285465904317725,0.021462262427963896,1800.0,Inf,0,55973,Inf,0.73627,5.953852652141304,1,73,0.408013965274381,1800.0,NaN,0,Inf,1800.0,4.319300767044491,1,0.021462262427963896,0.73627
4,15,3.0,75,4.938,5.039099478655551,1,657,0.048500524608866336,4.990598954046685,0.009718377504475515,15.927,5.039095683076618,1,763,0.00971761695870378,0.6469039999999999,5.538336447262504,1,6,0.10975385885729803,1800.0,NaN,0,Inf,120.61905002593994,5.039099441232199,1,0.009718370005705954,0.6469039999999999
4,16,4.0,80,7.191,4.873912590274357,1,950,0.04742022181164085,4.826492368462716,0.009824986385867764,18.347,4.873908839059841,1,823,0.009824209172473538,0.316976,5.361951142880695,1,6,0.11094159765314776,34.61107397079468,4.873911543921364,1,0.009824769592197807,267.24982595443726,4.87391255029952,1,0.009824978103489233,0.316976
4,17,4.0,85,4.731,4.165906206758644,1,622,0.04036168562698972,4.125544521131654,0.009783359607501785,11.954,4.1659018259254506,1,411,0.00978229772750736,0.340221,4.4337724166128485,1,26,0.07471205168248829,1800.0,NaN,0,Inf,70.2883620262146,4.165906160910182,1,0.009783348494190153,0.340221
4,18,4.0,90,8.057,4.507734990471111,1,1355,0.035959822421607335,4.471775168049503,0.008041509483423397,40.241,4.507731386293166,1,1983,0.008040703499712434,0.328795,4.852001350949856,1,6,0.08502801876468219,1800.0,NaN,0,Inf,482.89712381362915,4.507734950843906,1,0.00804150062179616,0.328795
4,19,4.0,95,6.457,4.659490245415256,1,889,0.04492271464471642,4.61456753077054,0.009734978271564105,19.533,4.659486392830339,1,855,0.009734143397030104,0.322888,4.9931041158936145,1,7,0.0820307824295437,26.39576506614685,4.659489308336259,1,0.009734775201831053,226.09811091423035,4.65949020420355,1,0.009734969340780065,0.322888
4,20,4.0,100,17.461,5.58043616690493,1,3219,0.05409221256409946,5.52634395434083,0.009788064769586253,86.84,5.580431926551832,1,4179,0.009787297471507628,0.400414,6.387222131229259,1,6,0.1557771618996365,1800.0,NaN,0,Inf,968.5464141368866,5.5804361209542925,1,0.009788056454751445,0.400414
4,21,5.0,105,9.291,5.061115465947954,1,1319,0.04823263168122871,5.012882834266725,0.00962173529202066,34.463,5.061110336605566,1,1003,0.009620712059968816,0.395241,5.938351063064975,1,7,0.18461796522990662,1800.0,NaN,0,Inf,217.26726388931274,5.06111541195835,1,0.009621724521849947,0.395241
4,22,5.0,110,18.467,5.233157398042667,1,2939,0.05100848587241735,5.182148912170249,0.009843114649334794,72.252,5.233153359173945,1,2747,0.009842335268273059,0.341061,6.231438654437276,1,8,0.20248158824667795,1800.0,NaN,0,Inf,667.2268419265747,5.233157352740532,1,0.00984310590737557,0.341061
4,23,5.0,115,6.309,5.266123075399722,1,676,0.04894303153976587,5.2171800438599565,0.009381127568592615,18.681,5.266119158393655,1,627,0.009380376778695751,0.38671,6.445548985958218,1,64,0.23544691418957558,1800.0,NaN,0,Inf,118.8682758808136,5.266123032553549,1,0.009381119356076781,0.38671
4,24,5.0,120,8.888,5.14765880456751,1,1024,0.04568701562126698,5.101971788946243,0.008954776214217981,36.541,5.147651899939864,1,911,0.00895342288888963,0.32691899999999996,6.012311603797486,1,7,0.17842901774242537,1800.0,NaN,0,Inf,362.017884016037,5.147658736297285,1,0.008954762833072836,0.32691899999999996
4,25,5.0,125,6.711,4.560058701673463,1,723,0.039756884471095155,4.520301817202368,0.00879518361358022,20.883,4.560053740657682,1,689,0.008794086117001028,0.34309999999999996,5.404744988911986,1,6,0.19566020311825183,1800.0,NaN,0,Inf,276.53985691070557,4.560058647304471,1,0.008795171585845309,0.34309999999999996
4,26,6.0,130,29.957,4.860201559916642,1,4647,0.048038407997658794,4.812163151918983,0.009982705590208875,171.327,4.860195063131383,1,4683,0.009981355514358577,0.345642,5.5244233389605775,1,10,0.14801247683332616,1800.0,NaN,0,Inf,1091.9481480121613,4.860201491722982,1,0.00998269141910589,0.345642
4,27,6.0,135,31.537,5.075591656149386,1,5229,0.04991114955340947,5.025680506595976,0.009931222147508854,174.197,5.07558434218833,1,4095,0.009929766829956162,0.33392,5.6405263568014,1,6,0.12234081521864891,1800.0,NaN,0,Inf,1537.666830778122,5.0755915836469105,1,0.009931207721109276,0.33392
4,28,6.0,140,19.578,5.8042455912059845,1,3180,0.05741815655965077,5.746827434646334,0.0099912790513753,100.735,5.8042389397417,1,2963,0.009990121636373738,0.615881,6.933702521349498,1,25,0.20652700993730222,1800.0,NaN,0,Inf,1486.981985092163,5.804245521135452,1,0.009991266858468293,0.615881
4,29,6.0,145,24.095,5.521068734094021,1,3771,0.05384317343958234,5.467225560654438,0.009848354131768655,184.762,5.521064183857366,1,3855,0.009847521856494013,0.7426929999999999,6.320177184131587,1,86,0.15601178587097622,1800.0,NaN,0,Inf,1118.394936800003,5.521068682829489,1,0.009848344755068973,0.7426929999999999
4,30,6.0,150,63.968,5.765377668008542,1,10901,0.05645009577215543,5.708927572236386,0.00988803852525352,434.127,5.765371069823552,1,8255,0.009886882759147538,0.620711,6.579852672772364,1,9,0.15255493952514898,1800.0,NaN,0,Inf,1800.0,5.765377602581586,1,0.009888027064790134,0.620711
5,15,3.0,75,3.138,3.5392833726599346,1,89,0.02040676142888831,3.5188766112310463,0.005799226197291753,3.04,3.5392804700769105,1,95,0.005798401336591923,0.627926,3.619350654578475,1,3,0.028552874808610743,17.911731004714966,3.539282647374151,1,0.005799020084414388,17.98964500427246,3.539283340522169,1,0.0057992170643299205,0.627926
5,16,4.0,80,3.553,3.9792937790149603,1,198,0.03521401758781906,3.9440797614271412,0.00892832288337827,3.809,3.9792899393023644,1,135,0.008927349345106193,0.313505,4.127393009409975,1,4,0.04647807830247902,200.31407499313354,3.979292647497822,1,0.00892803599335407,28.732530117034912,3.9792937396655335,1,0.008928312906544838,0.313505
5,17,4.0,85,5.765,4.7972456633480265,1,789,0.045149740322176335,4.75209592302585,0.00950101619443483,16.318,4.797240815506319,1,633,0.009499996046317842,0.324662,5.0716807685445175,1,4,0.0672513456578492,1800.0,NaN,0,Inf,58.32210111618042,4.797245612375953,1,0.009501005468204869,0.324662
5,18,4.0,90,5.723,4.646806399110294,1,873,0.04502895104030458,4.601777448069989,0.009785121411986137,16.354,4.646801493545148,1,535,0.009784055396690644,0.323849,4.886845117433631,1,4,0.06194729592653389,1800.0,NaN,0,Inf,114.30799508094788,4.646806347047997,1,0.009785110098467114,0.323849
5,19,4.0,95,6.336,5.052999834779796,1,843,0.04713566018040538,5.005864174599391,0.009416088518657731,14.862,5.05299575917564,1,771,0.009415274352708709,0.384416,5.37938682257015,1,5,0.07461701615199166,1800.0,NaN,0,Inf,167.98788285255432,5.0529997902248915,1,0.009416079618115665,0.384416
5,20,4.0,100,8.175,5.1963483368745385,1,1209,0.05095143811784997,5.1453968987566885,0.009902333895789778,31.708,5.196343808009517,1,1113,0.009901453717815022,0.394219,5.622562179915893,1,6,0.09273634095641967,1800.0,NaN,0,Inf,284.9434070587158,5.19634828910037,1,0.00990232461095334,0.394219
5,21,5.0,105,17.275,5.48922185529245,1,3024,0.054301731825904476,5.434920123466545,0.009991265849785718,68.538,5.4892162175313475,1,2575,0.009990228527989937,0.40651899999999996,5.806694928382732,1,30,0.06840483327638272,1800.0,NaN,0,Inf,450.36888694763184,5.489221796012745,1,0.009991254942596036,0.40651899999999996
5,22,5.0,110,7.432,5.183929732888859,1,903,0.05027207341570605,5.133657659473153,0.009792642351781844,20.727,5.183924707839526,1,841,0.00979166350791137,0.339113,5.799758341645348,1,6,0.1297516753854901,1800.0,NaN,0,Inf,267.1132969856262,5.183929677687505,1,0.00979263159895075,0.339113
5,23,5.0,115,12.616,5.519353385927931,1,1755,0.053366909154145326,5.465986476773786,0.00976345429702642,33.997,5.519346768360698,1,975,0.009762243615796055,0.324998,6.162566995777419,1,7,0.127439122281689,1800.0,NaN,0,Inf,294.1898019313812,5.519353317373525,1,0.009763441755025814,0.324998
5,24,5.0,120,24.123,5.482109670783845,1,3613,0.05424310745251848,5.427866563331326,0.00999344895819013,99.214,5.482102646590001,1,2769,0.00999215485971488,0.318114,5.985717179124827,1,5,0.1027753002555617,1800.0,NaN,0,Inf,942.552619934082,5.482109598033645,1,0.009993435555097258,0.318114
5,25,5.0,125,38.846,6.063698098092319,1,6118,0.05950489843054996,6.004193199661769,0.009910556914441397,218.094,6.063690033837794,1,5017,0.00990921381067101,0.34665999999999997,6.696473113915381,1,7,0.11529940680333377,1800.0,NaN,0,Inf,1422.9739050865173,6.063698015979929,1,0.009910543238600689,0.34665999999999997
5,26,6.0,130,28.5,5.876645371520513,1,4411,0.057734593940468315,5.818910777580045,0.009921890220918432,150.416,5.8766371987232064,1,3491,0.009920485697353994,0.35001,6.687035586965946,1,6,0.1491902595810096,1800.0,NaN,0,Inf,1085.9490158557892,5.876645290435709,1,0.009921876286213663,0.35001
5,27,6.0,135,40.053,6.232344155179592,1,6802,0.06142539165572902,6.170918763523863,0.009954010741287486,557.293,6.3333371860287055,1,13509,0.026319974177085814,0.337636,6.984711126012185,1,6,0.13187539711244076,1800.0,NaN,0,Inf,1800.0,6.333343152967092,1,0.026320941121979226,0.337636
5,28,6.0,140,49.729,6.357531325116497,1,9600,0.06273150141253936,6.294799823703958,0.009965607035876666,428.239,6.366692038139141,1,8485,0.01142088969445274,0.5818479999999999,7.265558165463765,1,7,0.1542159193218948,1800.0,NaN,0,Inf,1800.0,6.3666980219359095,1,0.011421840288107167,0.5818479999999999
5,29,6.0,145,40.183,6.393902999859767,1,6813,0.06299071899626263,6.3309122808635045,0.009949706488062572,359.814,6.393896465410627,1,10565,0.009948674338373853,0.571863,7.009910518445551,1,5,0.10725124712823134,1800.0,NaN,0,Inf,1800.0,6.393902928348632,1,0.009949695192512797,0.571863
5,30,6.0,150,56.199,6.19206643854921,1,9708,0.06117291356756027,6.13089352498165,0.009977813726220823,337.048,6.192059849759359,1,10575,0.00997673903950122,0.750884,7.335214978040414,1,66,0.19643489944026857,1800.0,NaN,0,Inf,1800.0,6.192066366388194,1,0.009977801956155736,0.750884
6,15,3.0,75,2.938,3.4208886298393053,1,44,0.029742420963018823,3.3911462088762865,0.008770610033023164,1.588,3.4208859350153786,1,9,0.008769815368399261,0.6377229999999999,3.792301010964151,1,4,0.11829475268210096,9.88798213005066,3.420889127315498,1,0.008770756731561665,4.828619003295898,3.4208886041667514,1,0.008770602462558112,0.6377229999999999
6,16,4.0,80,2.777,4.270684159307565,1,14,0.030099062004543597,4.240585097303021,0.007097855912309451,1.782,4.270681988113168,1,17,0.007097343908813024,0.31104899999999996,4.720887903322442,1,4,0.11326333395004615,3.87957501411438,4.270683874980292,1,0.007097788863242798,5.192487001419067,4.2706841359133065,1,0.007097850395557034,0.31104899999999996
6,17,4.0,85,2.786,3.43243082356611,1,13,0.024086452514132883,3.408344371051977,0.007066906947169384,1.694,3.4324279974296803,1,31,0.007066077765572076,0.325837,3.9434036162207686,1,7,0.15698508921610133,4.767055988311768,3.4324318648838013,1,0.007067212467262962,4.147862195968628,3.4324307916708396,1,0.007066897589174137,0.325837
6,18,4.0,90,2.958,3.555907125819637,1,49,0.034861417247229465,3.5210457085724074,0.009900870404026613,2.338,3.5559040966329944,1,75,0.009900010095216922,0.324747,3.903712126408339,1,4,0.10867976433940757,13.738410949707031,3.5559073856231147,1,0.00990094418991278,11.335606098175049,3.555907091765177,1,0.00990086073233743,0.324747
6,19,4.0,95,3.208,3.882930310924795,1,103,0.03748439226919009,3.8454459186556047,0.009747736169514224,6.189,3.882926602475187,1,251,0.009746771795112324,0.38871,4.427506712217493,1,4,0.15136366649654537,27.005884885787964,3.8829305198371027,1,0.009747790496713805,111.7823269367218,3.882930270491876,1,0.009747725655020028,0.38871
6,20,4.0,100,2.893,4.988954673698697,1,33,0.04368831863001521,4.945266355068682,0.008834371193219268,3.183,4.988950569892045,1,95,0.008833541347795772,0.393823,5.720729568810381,1,5,0.15680919045884825,11.30986213684082,4.988955208924729,1,0.00883447942318972,21.39192795753479,4.988954634199518,1,0.008834363205948976,0.393823
6,21,5.0,105,2.744,4.15033550991732,1,35,0.02723026185332511,4.123105248063995,0.006604309183257227,1.522,4.150331664652391,1,31,0.006603376569438917,0.378428,4.947100938895315,1,4,0.19984832820317347,6.7222230434417725,4.150337464835014,1,0.006604783320485548,22.364237070083618,4.15033547305397,1,0.0066043002425808465,0.378428
6,22,5.0,110,2.795,4.080515745132351,1,16,0.030744821543546408,4.049770923588804,0.007591743366141097,1.546,4.080512433986317,1,21,0.0075909257529732715,0.337839,5.14799812394285,1,5,0.27118254861211377,7.109303951263428,4.080515113435552,1,0.007591587382800116,23.031535148620605,4.080515707930702,1,0.0075917341800291974,0.337839
6,23,5.0,115,3.577,4.385927740908787,1,160,0.04340622544341244,4.342521515465375,0.009995627031167565,8.215,4.385923892044847,1,323,0.00999474071110519,0.324962,5.151792472478542,1,7,0.18635968851991744,1800.0,NaN,0,Inf,160.3275020122528,4.385927697639225,1,0.009995617067011485,0.324962
6,24,5.0,120,4.074,5.446785231708145,1,261,0.052952284953555306,5.39383294675459,0.009817190386924407,4.213,5.4467821246049954,1,161,0.009816614339579123,0.33851,6.321658810299166,1,5,0.17201605476173273,1800.0,NaN,0,Inf,288.1502227783203,5.44678519782221,1,0.009817184104576533,0.33851
6,25,5.0,125,2.992,4.505696077124414,1,35,0.035180084193319416,4.4705159929310945,0.007869356523709379,5.248,4.505691223150236,1,179,0.007868270748781868,0.32692899999999997,5.983764806338822,1,7,0.3384953360642305,47.22251009941101,4.505696665994038,1,0.007869488246674938,47.16065001487732,4.505696024313478,1,0.007869344710545942,0.32692899999999997
6,26,6.0,130,4.299,4.700437511796861,1,310,0.045846661970166736,4.654590849826694,0.009849772718878987,24.196,4.7004314937445555,1,645,0.009848479790563795,0.342151,5.675284210042404,1,7,0.21928745042192355,1800.0,NaN,0,Inf,195.65378999710083,4.700437452812604,1,0.009849760046603703,0.342151
6,27,6.0,135,3.572,4.891073030605399,1,129,0.048360868897163733,4.842712161708235,0.00998631908779496,3.341,4.917859401037246,1,101,0.015517593616900707,0.329265,6.007690323937168,1,5,0.24056316446815096,1071.225534915924,4.891072287528436,1,0.009986165645480443,44.374948024749756,4.891072985132348,1,0.009986309697798283,0.329265
6,28,6.0,140,3.67,5.7140512733941495,1,165,0.055999123797025874,5.658052149597124,0.009897244195780917,13.559,5.714045599064803,1,483,0.009896241318960977,0.587977,6.793174286016356,1,26,0.20062065643917007,1800.0,NaN,0,Inf,147.66080117225647,5.714051218998868,1,0.009897234581998695,0.587977
