seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
3,70,70,35.0,5.0,-0.9394368465969277,0.09628992600617525,0.1024974976817033,39137,Time limit reached,1801.943
3,70,70,35.0,10.0,0.44244779560178144,0.004109121369251456,0.009374307152901705,340,OPTIMAL,12.569
4,70,70,35.0,0.1,0.8934130266358712,0.06584991910950222,0.07957087321875815,20159,Time limit reached,1801.757
4,70,70,35.0,1.0,0.5297678963076655,0.05635098895797247,0.11903036854648788,25954,Time limit reached,1801.897
4,70,70,35.0,5.0,0.5294348237488671,0.055941925203205234,0.11814733732022469,34378,Time limit reached,1801.883
4,70,70,35.0,10.0,0.9083951234420451,0.00563389401438219,0.006240735457762175,106,OPTIMAL,10.094
5,70,70,35.0,0.1,0.4699142745680881,0.021686973089403705,0.048383873579006066,20138,Time limit reached,1805.416
5,70,70,35.0,1.0,-1.3961402249775712,0.18884332296676076,0.13526099999718474,17463,Time limit reached,1801.912
5,70,70,35.0,5.0,-1.7072530576030664,0.165892914163003,0.09716949307791067,35875,Time limit reached,1802.028
5,70,70,35.0,10.0,0.29861175453319566,0.0028743920972465475,0.009719408036815383,788,OPTIMAL,15.778
6,70,70,35.0,0.1,0.7779321759254076,0.004535298071449256,0.0058641277218934714,29943,Time limit reached,1804.128
6,70,70,35.0,1.0,0.12583764119430313,0.0564987741679107,0.814821132661507,22673,Time limit reached,1802.026
6,70,70,35.0,5.0,0.1291576448029713,0.059667694547429095,0.8586521407485146,35671,Time limit reached,1801.865
6,70,70,35.0,10.0,0.8271328810085715,0.005814118916831812,0.007079004139664821,110,OPTIMAL,9.491
7,70,70,35.0,0.1,0.8950657649385793,0.055840097985238146,0.06653764319191481,40746,Time limit reached,1801.843
7,70,70,35.0,1.0,0.5380874348374264,0.042640431439928406,0.08606456623518603,25126,Time limit reached,1801.996
7,70,70,35.0,5.0,0.5412762140641039,0.04600090752580083,0.09287946909229415,34283,Time limit reached,1801.898
7,70,70,35.0,10.0,0.8199262929226879,0.007643891949949078,0.009410387250536547,108,OPTIMAL,9.652
8,70,70,35.0,0.1,0.9428759082602531,0.031346060593322234,0.03438840831548497,45307,Time limit reached,1801.807
8,70,70,35.0,1.0,0.840623895935512,0.03211889491393005,0.03972627859239758,29817,Time limit reached,1802.024
8,70,70,35.0,5.0,0.8410960485290357,0.032710495189561595,0.04046397793037392,32116,Time limit reached,1802.028
8,70,70,35.0,10.0,0.9755476896653795,0.008427581775020787,0.008714100457909425,31,OPTIMAL,8.84
