seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
7,50,50,25.0,10.0,0.6930363224575776,0.005778062638723491,0.008407410978583886,73,OPTIMAL,10.527
8,50,50,25.0,0.1,0.7126680211486925,0.012967339335933414,0.018532695012298834,8092,Time limit reached,1808.476
8,50,50,25.0,1.0,-0.1420765082387414,0.08743277390877616,0.6153921925069876,7137,Time limit reached,1806.761
8,50,50,25.0,5.0,-0.14847834037571292,0.08296209284629313,0.5587487887887486,10391,Time limit reached,1804.663
8,50,50,25.0,10.0,0.26320428356742726,0.002574361178661777,0.009877458256008541,1858,OPTIMAL,36.247
9,50,50,25.0,0.1,0.7862998526099123,0.009232119719245424,0.011880714291020986,6976,Time limit reached,1806.871
9,50,50,25.0,1.0,0.17022850709710385,0.0510795374481354,0.42870314026737893,6939,Time limit reached,1807.514
9,50,50,25.0,5.0,0.17219055341236017,0.05274331335875282,0.44156159100103,9435,Time limit reached,1804.081
9,50,50,25.0,10.0,0.6407601766805252,0.004350702398998263,0.006836325628102848,79,OPTIMAL,10.712
10,50,50,25.0,0.1,0.8328507229982246,0.004897058344138783,0.005914652658956156,6112,Time limit reached,1806.019
10,50,50,25.0,1.0,0.5397472033020508,0.07051745580925933,0.15028342978264106,6811,Time limit reached,1802.745
10,50,50,25.0,5.0,0.5398655492765561,0.07000245122738147,0.14898478198867876,9193,Time limit reached,1802.489
10,50,50,25.0,10.0,0.8661406604567691,0.004954768906420104,0.005753425543816431,28,OPTIMAL,9.689
1,70,70,35.0,0.1,0.44031746021692914,0.0243324972536203,0.058493694291941276,2725,Time limit reached,1814.854
1,70,70,35.0,1.0,-1.2120706695776509,0.2256248315913285,0.186148247997741,2735,Time limit reached,1810.419
1,70,70,35.0,5.0,-1.4664790125244545,0.18072607785709094,0.123238093633527,3722,Time limit reached,1814.051
1,70,70,35.0,10.0,0.22215502535700155,0.0021362065084852555,0.009709199056995398,2713,OPTIMAL,84.627
2,70,70,35.0,0.1,0.8635729374480843,0.04736532578796271,0.05803097779451509,1803,Time limit reached,1808.3
2,70,70,35.0,1.0,0.2843021667961945,0.037550103520393174,0.15217746519275271,2740,Time limit reached,1817.701
2,70,70,35.0,5.0,0.2854263208909556,0.03835824935335394,0.1552537691925771,3397,Time limit reached,1814.885
2,70,70,35.0,10.0,0.8199684635575483,0.0043973834539913215,0.005391784433348182,35,OPTIMAL,10.228
3,70,70,35.0,0.1,0.6322465991864024,0.008005445614733708,0.012824283642514782,2402,Time limit reached,1819.399
3,70,70,35.0,1.0,-0.8262712854632354,0.09549184558464285,0.11556960439585762,2688,Time limit reached,1815.116
3,70,70,35.0,5.0,-0.9403128176634277,0.09622861555554252,0.10233681148222554,3690,Time limit reached,1810.581
3,70,70,35.0,10.0,0.4424477914966953,0.004380438141073251,0.00999946265686962,439,OPTIMAL,19.984
4,70,70,35.0,0.1,0.8934130266358712,0.06699753347223769,0.0810700356254961,1794,Time limit reached,1810.898
4,70,70,35.0,1.0,0.5297678963076655,0.05781085948347647,0.12249178415155587,2660,Time limit reached,1819.291
4,70,70,35.0,5.0,0.5310425371699998,0.05887113546120426,0.12468170509299953,3289,Time limit reached,1817.339
4,70,70,35.0,10.0,0.9083951234420451,0.005029977483796522,0.005568044667542437,102,OPTIMAL,11.889
5,70,70,35.0,0.1,0.47125559643376763,0.025420103723264975,0.05701677892157227,2683,Time limit reached,1814.253
5,70,70,35.0,1.0,-1.3961402249775712,0.18925968637683055,0.135559224632949,2606,Time limit reached,1818.923
5,70,70,35.0,5.0,-1.709505336885856,0.16415062703933625,0.09602229574688753,3790,Time limit reached,1811.861
5,70,70,35.0,10.0,0.29861175393450273,0.0029041072890391706,0.009820873156252966,1342,OPTIMAL,46.686
6,70,70,35.0,0.1,0.7779321759254075,0.005568147407430057,0.007209226740031244,1750,Time limit reached,1821.228
6,70,70,35.0,1.0,0.12583764119430313,0.05749381803470141,0.84124380780451,2652,Time limit reached,1818.513
6,70,70,35.0,5.0,0.12892144295539273,0.060857380286410884,0.8941191268934466,3411,Time limit reached,1811.451
6,70,70,35.0,10.0,0.8271328481416219,0.0070221865168645925,0.008562486558768337,110,OPTIMAL,11.96
7,70,70,35.0,0.1,0.8950657649385793,0.056918776649517944,0.0679102561302621,1660,Time limit reached,1808.923
7,70,70,35.0,1.0,0.5380874348374264,0.044159704693964685,0.08940519432091505,2630,Time limit reached,1817.522
7,70,70,35.0,5.0,0.5415998596926579,0.04741448863600639,0.09594474343630657,3381,Time limit reached,1803.057
7,70,70,35.0,10.0,0.8199262229443877,0.007735183086478692,0.009523846862225844,104,OPTIMAL,11.967
8,70,70,35.0,0.1,0.9428759082602531,0.03233462728025649,0.03551143474292061,1616,Time limit reached,1811.919
8,70,70,35.0,1.0,0.840623895935512,0.033551479915692406,0.041571833270124384,2523,Time limit reached,1820.411
8,70,70,35.0,5.0,0.8406554419741952,0.03338857831570041,0.04136002580904284,3231,Time limit reached,1808.002
8,70,70,35.0,10.0,0.9755476896653795,0.008427581774912318,0.008714100457796291,31,OPTIMAL,10.312
9,70,70,35.0,0.1,0.22895179621613845,0.027066401202379325,0.13406814891455948,2761,Time limit reached,1810.52
