seed;dimension;var_A;p;k;M;time;solution;dual_gap;rel_dual_gap;termination;ncalls
3;10;1;50;10.0;1.0;1800.861;0.6417043882144046;0.011317563181649781;0.01795336249462657;Time limit reached;345793
3;10;5;50;10.0;1.0;1800.278;0.3122603352672507;0.03083857560876191;0.10958134739184762;Time limit reached;337379
1;15;1;75;15.0;0.1;1800.176;0.5772115960594669;0.021435907511209162;0.038569350824254146;Time limit reached;450815
1;15;5;75;15.0;0.1;1800.34;0.20948690195682904;0.03011196246203901;0.16787162435761332;Time limit reached;321782
1;15;1;75;15.0;1.0;1801.008;0.5763401692151163;0.04539104703494623;0.08549038907638201;Time limit reached;263498
1;15;5;75;15.0;1.0;1801.46;0.2339045960985135;0.08218438823436036;0.5416838626265686;Time limit reached;229373
2;15;1;75;15.0;0.1;0.58;0.42903579892727406;0.004223853318342685;0.009942877929875901;OPTIMAL;151
2;15;5;75;15.0;0.1;592.672;0.06590296722974101;0.0006518244284613728;0.009989471455641538;OPTIMAL;165785
2;15;1;75;15.0;1.0;1800.075;0.6931471805599453;0.4114890313685866;1.4609519822166437;Time limit reached;306984
2;15;5;75;15.0;1.0;1801.265;0.06050552946342026;0.017387954312861692;0.40326837147372463;Time limit reached;297944
3;15;1;75;15.0;0.1;1800.221;0.6931471805599453;0.06333852052092648;0.10056787805522147;Time limit reached;352510
3;15;5;75;15.0;0.1;1800.08;0.6931471805599453;0.4097748566345832;1.4460652012809636;Time limit reached;319296
3;15;1;75;15.0;1.0;1801.385;0.6445749444342167;0.01902559899921663;0.030414225733041797;Time limit reached;250242
3;15;5;75;15.0;1.0;1801.623;0.32187527047884956;0.05726360981708445;0.216406222136524;Time limit reached;199032
1;20;1;100;20.0;0.1;1801.039;0.6931471805599454;0.07098751269166548;0.11409854472709817;Time limit reached;257754
1;20;5;100;20.0;0.1;1800.485;0.6931471805599454;0.42468276446597475;1.5818959199319844;Time limit reached;240019
1;20;1;100;20.0;1.0;1801.58;0.6537276159833064;0.034041215305397055;0.054932971367707084;Time limit reached;187546
1;20;5;100;20.0;1.0;1801.209;0.38868657074622914;0.13126679403155272;0.5099328253129851;Time limit reached;179912
2;20;1;100;20.0;0.1;1800.311;0.5096096544687925;0.01690395060847938;0.03430841266102293;Time limit reached;404353
2;20;5;100;20.0;0.1;1800.336;0.14141636735979926;0.020404824880271732;0.1686188314120843;Time limit reached;326202
2;20;1;100;20.0;1.0;1800.162;0.6931471805599454;0.2361783779808304;0.5168369845990545;Time limit reached;218130
2;20;5;100;20.0;1.0;1800.447;0.6931471805599454;0.588078422142255;5.597081672978447;Time limit reached;158479
3;20;1;100;20.0;0.1;1800.187;0.6931471805599454;0.07299507593836008;0.1177051168485535;Time limit reached;283325
3;20;5;100;20.0;0.1;1800.285;0.6931471805599454;0.4347799446548162;1.6827982972828046;Time limit reached;230914
3;20;1;100;20.0;1.0;1805.665;0.6486733998238102;0.03095331767805265;0.05010897099302802;Time limit reached;147597
3;20;5;100;20.0;1.0;1801.86;0.33471316146651486;0.08649431920112538;0.3484599251681618;Time limit reached;116147
