seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes
2,16,1,80,16.0,1,1.600956e6,0.5961704799235789,0.6167588336841492,Time limit reached,242778,2252
2,16,1,80,16.0,1,1.601402e6,0.5961704799235789,0.6167588336841492,Time limit reached,242883,2253
2,16,1,80,16.0,1,1.601903e6,0.5961709693694325,0.6167588336841492,Time limit reached,243003,2254
2,16,1,80,16.0,1,1.602334e6,0.5961709693694325,0.6167588336841492,Time limit reached,243109,2255
2,16,1,80,16.0,1,1.602796e6,0.5961710531971233,0.6167588336841492,Time limit reached,243223,2256
2,16,1,80,16.0,1,1.604898e6,0.5961710531971233,0.6167588336841492,Time limit reached,243311,2257
2,16,1,80,16.0,1,1.60498e6,0.5961715609893851,0.6167588336841492,Time limit reached,243339,2256
2,16,1,80,16.0,1,1.605555e6,0.5961715609893851,0.6167588336841492,Time limit reached,243451,2257
2,16,1,80,16.0,1,1.606356e6,0.5961715655014573,0.6167588336841492,Time limit reached,243598,2258
2,16,1,80,16.0,1,1.606698e6,0.5961715655014573,0.6167588336841492,Time limit reached,243686,2259
2,16,1,80,16.0,1,1.607022e6,0.5961718125013878,0.6167588336841492,Time limit reached,243778,2260
2,16,1,80,16.0,1,1.607385e6,0.5961718125013878,0.6167588336841492,Time limit reached,243874,2261
2,16,1,80,16.0,1,1.607831e6,0.5961719378739823,0.6167588336841492,Time limit reached,243989,2262
2,16,1,80,16.0,1,1.60849e6,0.5961719378739823,0.6167588336841492,Time limit reached,244102,2263
2,16,1,80,16.0,1,1.609792e6,0.5961719519592016,0.6167588336841492,Time limit reached,244262,2264
2,16,1,80,16.0,1,1.610833e6,0.5961719519592016,0.6167588336841492,Time limit reached,244376,2265
2,16,1,80,16.0,1,1.614227e6,0.5961721620365629,0.6167588336841492,Time limit reached,244533,2266
2,16,1,80,16.0,1,1.61517e6,0.5961721620365629,0.6167588336841492,Time limit reached,244635,2267
2,16,1,80,16.0,1,1.618245e6,0.5961723021296879,0.6167588336841492,Time limit reached,244777,2268
2,16,1,80,16.0,1,1.618814e6,0.5961723021296879,0.6167588336841492,Time limit reached,244888,2269
2,16,1,80,16.0,1,1.619685e6,0.5961724750810222,0.6167588336841492,Time limit reached,245038,2270
2,16,1,80,16.0,1,1.62047e6,0.5961724750810222,0.6167588336841492,Time limit reached,245154,2271
2,16,1,80,16.0,1,1.621814e6,0.5961728443490381,0.6167588336841492,Time limit reached,245310,2272
2,16,1,80,16.0,1,1.623983e6,0.5961728443490381,0.6167588336841492,Time limit reached,245391,2273
2,16,1,80,16.0,1,1.624071e6,0.5961731184287852,0.6167588336841492,Time limit reached,245421,2272
2,16,1,80,16.0,1,1.624584e6,0.5961731184287852,0.6167588336841492,Time limit reached,245538,2273
2,16,1,80,16.0,1,1.625191e6,0.5961734962645935,0.6167588336841492,Time limit reached,245671,2274
2,16,1,80,16.0,1,1.625894e6,0.5961734962645935,0.6167588336841492,Time limit reached,245788,2275
2,16,1,80,16.0,1,1.627124e6,0.5961748136129923,0.6167588336841492,Time limit reached,245946,2276
2,16,1,80,16.0,1,1.628175e6,0.5961748136129923,0.6167588336841492,Time limit reached,246054,2277
2,16,1,80,16.0,1,1.631665e6,0.5961749159327729,0.6167588336841492,Time limit reached,246206,2278
2,16,1,80,16.0,1,1.632212e6,0.5961749159327729,0.6167588336841492,Time limit reached,246309,2279
2,16,1,80,16.0,1,1.633017e6,0.5961755593642973,0.6167588336841492,Time limit reached,246461,2280
2,16,1,80,16.0,1,1.634037e6,0.5961755593642973,0.6167588336841492,Time limit reached,246574,2281
2,16,1,80,16.0,1,1.63743e6,0.596175637729753,0.6167588336841492,Time limit reached,246731,2282
2,16,1,80,16.0,1,1.638383e6,0.596175637729753,0.6167588336841492,Time limit reached,246836,2283
2,16,1,80,16.0,1,1.641799e6,0.5961757334698183,0.6167588336841492,Time limit reached,246995,2284
2,16,1,80,16.0,1,1.643912e6,0.5961757334698183,0.6167588336841492,Time limit reached,247080,2285
2,16,1,80,16.0,1,1.643971e6,0.5961758104790922,0.6167588336841492,Time limit reached,247101,2284
2,16,1,80,16.0,1,1.644519e6,0.5961758104790922,0.6167588336841492,Time limit reached,247210,2285
2,16,1,80,16.0,1,1.645371e6,0.5961760423677062,0.6167588336841492,Time limit reached,247354,2286
2,16,1,80,16.0,1,1.64623e6,0.5961760423677062,0.6167588336841492,Time limit reached,247456,2287
2,16,1,80,16.0,1,1.649249e6,0.5961762148209961,0.6167588336841492,Time limit reached,247603,2288
2,16,1,80,16.0,1,1.649544e6,0.5961762148209961,0.6167588336841492,Time limit reached,247682,2289
2,16,1,80,16.0,1,1.649828e6,0.596176225829838,0.6167588336841492,Time limit reached,247765,2290
2,16,1,80,16.0,1,1.651086e6,0.596176225829838,0.6167588336841492,Time limit reached,247828,2291
2,16,1,80,16.0,1,1.651235e6,0.5961766936970792,0.6167588336841492,Time limit reached,247875,2290
2,16,1,80,16.0,1,1.651701e6,0.5961766936970792,0.6167588336841492,Time limit reached,247977,2291
2,16,1,80,16.0,1,1.652306e6,0.5961768760061428,0.6167588336841492,Time limit reached,248110,2292
2,16,1,80,16.0,1,1.653328e6,0.5961768760061428,0.6167588336841492,Time limit reached,248223,2293
2,16,1,80,16.0,1,1.656578e6,0.5961769315989982,0.6167588336841492,Time limit reached,248371,2294
2,16,1,80,16.0,1,1.656912e6,0.5961769315989982,0.6167588336841492,Time limit reached,248459,2295
2,16,1,80,16.0,1,1.657322e6,0.5961769539096471,0.6167588336841492,Time limit reached,248566,2296
2,16,1,80,16.0,1,1.657859e6,0.5961769539096471,0.6167588336841492,Time limit reached,248671,2297
2,16,1,80,16.0,1,1.658685e6,0.5961770830584362,0.6167588336841492,Time limit reached,248817,2298
2,16,1,80,16.0,1,1.65931e6,0.5961770830584362,0.6167588336841492,Time limit reached,248938,2299
2,16,1,80,16.0,1,1.660104e6,0.5961771971442499,0.6167588336841492,Time limit reached,249078,2300
2,16,1,80,16.0,1,1.660298e6,0.5961771971442499,0.6167588336841492,Time limit reached,249139,2301
2,16,1,80,16.0,1,1.660509e6,0.5961772618264469,0.6167588336841492,Time limit reached,249203,2302
2,16,1,80,16.0,1,1.661335e6,0.5961772618264469,0.6167588336841492,Time limit reached,249330,2303
2,16,1,80,16.0,1,1.662594e6,0.5961773999392741,0.6167588336841492,Time limit reached,249480,2304
2,16,1,80,16.0,1,1.66331e6,0.5961773999392741,0.6167588336841492,Time limit reached,249596,2305
2,16,1,80,16.0,1,1.66448e6,0.5961774266712496,0.6167588336841492,Time limit reached,249744,2306
2,16,1,80,16.0,1,1.66547e6,0.5961774266712496,0.6167588336841492,Time limit reached,249858,2307
2,16,1,80,16.0,1,1.668757e6,0.5961785316218252,0.6167588336841492,Time limit reached,250015,2308
2,16,1,80,16.0,1,1.669452e6,0.5961785316218252,0.6167588336841492,Time limit reached,250111,2309
2,16,1,80,16.0,1,1.670768e6,0.5961786735634956,0.6167588336841492,Time limit reached,250266,2310
2,16,1,80,16.0,1,1.671316e6,0.5961786735634956,0.6167588336841492,Time limit reached,250378,2311
2,16,1,80,16.0,1,1.672104e6,0.5961787509692344,0.6167588336841492,Time limit reached,250517,2312
2,16,1,80,16.0,1,1.673115e6,0.5961787509692344,0.6167588336841492,Time limit reached,250637,2313
2,16,1,80,16.0,1,1.676279e6,0.596179282362307,0.6167588336841492,Time limit reached,250780,2314
2,16,1,80,16.0,1,1.676833e6,0.596179282362307,0.6167588336841492,Time limit reached,250891,2315
2,16,1,80,16.0,1,1.677597e6,0.5961792990132508,0.6167588336841492,Time limit reached,251020,2316
2,16,1,80,16.0,1,1.678149e6,0.5961792990132508,0.6167588336841492,Time limit reached,251135,2317
2,16,1,80,16.0,1,1.678875e6,0.596179302631961,0.6167588336841492,Time limit reached,251265,2318
2,16,1,80,16.0,1,1.67939e6,0.596179302631961,0.6167588336841492,Time limit reached,251376,2319
2,16,1,80,16.0,1,1.679984e6,0.5961793143365129,0.6167588336841492,Time limit reached,251502,2320
