seed,num_v,number_nodes,time,lowerBound,upperBound,termination
1,8,9707,119131.0,-732.8042754993772,Inf,Time limit reached
1,8,9707,119400.0,-732.6671759024276,Inf,Time limit reached
1,8,9707,119660.0,-732.6671759024276,Inf,Time limit reached
1,8,9707,119914.0,-732.6479377556018,Inf,Time limit reached
1,8,9707,120183.0,-732.6479377556018,Inf,Time limit reached
1,8,9707,120422.0,-732.6444776368529,Inf,Time limit reached
1,8,9707,121069.0,-732.6444776368529,Inf,Time limit reached
1,8,9707,121728.0,-732.6408286890426,Inf,Time limit reached
1,8,9707,122005.0,-732.6408286890426,Inf,Time limit reached
1,8,9707,122267.0,-732.5896677650983,Inf,Time limit reached
1,8,9707,122529.0,-732.5896677650983,Inf,Time limit reached
1,8,9707,122792.0,-732.5805333778316,Inf,Time limit reached
1,8,9707,123054.0,-732.5805333778316,Inf,Time limit reached
1,8,9707,123316.0,-732.5443563346324,Inf,Time limit reached
1,8,9707,123566.0,-732.5443563346324,Inf,Time limit reached
1,8,9707,123828.0,-732.5250597657162,Inf,Time limit reached
1,8,9707,124088.0,-732.5250597657162,Inf,Time limit reached
1,8,9707,124329.0,-732.4943230981793,Inf,Time limit reached
1,8,9707,124942.0,-732.4943230981793,Inf,Time limit reached
1,8,9707,125566.0,-732.4765712476753,Inf,Time limit reached
1,8,9707,125859.0,-732.4765712476753,Inf,Time limit reached
1,8,9707,126114.0,-732.4236380414766,Inf,Time limit reached
1,8,9707,126727.0,-732.4236380414766,Inf,Time limit reached
1,8,9707,127366.0,-732.4048359006483,Inf,Time limit reached
1,8,9707,127989.0,-732.4048359006483,Inf,Time limit reached
1,8,9707,128605.0,-732.319598790753,Inf,Time limit reached
1,8,9707,128867.0,-732.319598790753,Inf,Time limit reached
1,8,9707,129123.0,-732.3080513000767,Inf,Time limit reached
1,8,9707,129732.0,-732.3080513000767,Inf,Time limit reached
1,8,9707,130342.0,-732.2221294151759,Inf,Time limit reached
1,8,9707,130924.0,-732.2221294151759,Inf,Time limit reached
1,8,9707,131546.0,-732.2104205756649,Inf,Time limit reached
1,8,9707,131842.0,-732.2104205756649,Inf,Time limit reached
1,8,9707,132084.0,-732.154937841355,Inf,Time limit reached
1,8,9707,132351.0,-732.154937841355,Inf,Time limit reached
1,8,9707,132605.0,-732.0513864678186,Inf,Time limit reached
1,8,9707,132855.0,-732.0513864678186,Inf,Time limit reached
1,8,9707,133325.0,-732.0366763491648,Inf,Time limit reached
1,8,9707,133593.0,-732.0366763491648,Inf,Time limit reached
1,8,9707,133853.0,-732.035295801204,Inf,Time limit reached
1,8,9707,134107.0,-732.035295801204,Inf,Time limit reached
1,8,9707,134360.0,-731.9381892649697,Inf,Time limit reached
1,8,9707,134625.0,-731.9381892649697,Inf,Time limit reached
1,8,9707,134863.0,-731.9270943744662,Inf,Time limit reached
