seed,dimension,var_A,M,time,solution,termination,calls
3,20,5,0.1,1800.010888,0.6931471805599454,TIME_LIMIT,21887
3,20,1,1.0,1800.005128,322.0698329083359,TIME_LIMIT,16881
3,20,5,1.0,1800.000903,340.0033410402225,TIME_LIMIT,16787
4,20,1,0.1,1800.005016,3.0652348125552087,TIME_LIMIT,23285
4,20,5,0.1,1800.0074,4.51981250060234,TIME_LIMIT,23082
4,20,1,1.0,1800.002399,226.450068255612,TIME_LIMIT,16895
4,20,5,1.0,1800.002516,243.74168060591103,TIME_LIMIT,16907
5,20,1,0.1,1800.00023,4.889850419264238,TIME_LIMIT,22540
5,20,5,0.1,1800.033631,6.139547243984037,TIME_LIMIT,21888
5,20,1,1.0,1800.000947,411.9146278527664,TIME_LIMIT,17021
5,20,5,1.0,1800.000938,427.284429475874,TIME_LIMIT,16945
1,25,1,0.1,1800.002342,0.6931471805599452,TIME_LIMIT,12681
1,25,5,0.1,1800.001717,0.6931471805599452,TIME_LIMIT,12697
1,25,1,1.0,1800.001742,516.3336295423809,TIME_LIMIT,13326
1,25,5,1.0,1800.002062,537.503336618555,TIME_LIMIT,12776
2,25,1,0.1,1800.001196,5.471656014457669,TIME_LIMIT,12738
2,25,5,0.1,1800.000322,6.391712350888918,TIME_LIMIT,12549
2,25,1,1.0,1800.002949,473.8412486906796,TIME_LIMIT,12770
2,25,5,1.0,1800.00163,485.96376280747467,TIME_LIMIT,12783
3,25,1,0.1,1800.013794,4.183270895180143,TIME_LIMIT,12687
3,25,5,0.1,1800.000453,5.778809234969229,TIME_LIMIT,12669
3,25,1,1.0,1800.001205,337.1009748164004,TIME_LIMIT,12886
3,25,5,1.0,1800.000534,355.459126370443,TIME_LIMIT,12679
4,25,1,0.1,1800.001303,2.090680888104204,TIME_LIMIT,12429
4,25,5,0.1,1800.011579,3.7440170263688404,TIME_LIMIT,12604
4,25,1,1.0,1800.0,Inf,TIME_LIMIT,Inf
4,25,5,1.0,1800.0,Inf,TIME_LIMIT,Inf
5,25,1,0.1,1800.0,Inf,TIME_LIMIT,Inf
5,25,5,0.1,1800.0,Inf,TIME_LIMIT,Inf
5,25,1,1.0,1800.0,Inf,TIME_LIMIT,Inf
5,25,5,1.0,1800.0,Inf,TIME_LIMIT,Inf
1,30,1,0.1,1800.0,Inf,TIME_LIMIT,Inf
1,30,5,0.1,1800.0,Inf,TIME_LIMIT,Inf
1,30,1,1.0,1800.0,Inf,TIME_LIMIT,Inf
1,30,5,1.0,1800.0,Inf,TIME_LIMIT,Inf
2,30,1,0.1,1800.0,Inf,TIME_LIMIT,Inf
2,30,5,0.1,1800.0,Inf,TIME_LIMIT,Inf
2,30,1,1.0,1800.0,Inf,TIME_LIMIT,Inf
2,30,5,1.0,1800.0,Inf,TIME_LIMIT,Inf
3,30,1,0.1,1800.0,Inf,TIME_LIMIT,Inf
3,30,5,0.1,1800.0,Inf,TIME_LIMIT,Inf
3,30,1,1.0,1800.0,Inf,TIME_LIMIT,Inf
3,30,5,1.0,1800.0,Inf,TIME_LIMIT,Inf
4,30,1,0.1,1800.0,Inf,TIME_LIMIT,Inf
4,30,5,0.1,1800.0,Inf,TIME_LIMIT,Inf
4,30,1,1.0,1800.0,Inf,TIME_LIMIT,Inf
4,30,5,1.0,1800.0,Inf,TIME_LIMIT,Inf
5,30,1,0.1,1800.0,Inf,TIME_LIMIT,Inf
5,30,5,0.1,1800.0,Inf,TIME_LIMIT,Inf
5,30,1,1.0,1800.0,Inf,TIME_LIMIT,Inf
5,30,5,1.0,1800.0,Inf,TIME_LIMIT,Inf
