seed,dimension,timeBoscia_Custom,solutionBoscia_Custom,terminationBoscia_Custom,numberNodesBoscia_Custom,dualGapBoscia_Custom,lbBoscia_Custom,relGapBoscia_Custom,timeBoscia_Custom_Lazy,solutionBoscia_Custom_Lazy,terminationBoscia_Custom_Lazy,numberNodesBoscia_Custom_Lazy,dualGapBoscia_Custom_Lazy,lbBoscia_Custom_Lazy,relGapBoscia_Custom_Lazy,timeBoscia_Custom_DICG,solutionBoscia_Custom_DICG,terminationBoscia_Custom_DICG,numberNodesBoscia_Custom_DICG,dualGapBoscia_Custom_DICG,lbBoscia_Custom_DICG,relGapBoscia_Custom_DICG,timeBoscia_MIP,solutionBoscia_MIP,terminationBoscia_MIP,numberNodesBoscia_MIP,dualGapBoscia_MIP,lbBoscia_MIP,relGapBoscia_MIP,timeBoscia_MIP_Lazy,solutionBoscia_MIP_Lazy,terminationBoscia_MIP_Lazy,numberNodesBoscia_MIP_Lazy,dualGapBoscia_MIP_Lazy,lbBoscia_MIP_Lazy,relGapBoscia_MIP_Lazy,timeBoscia_MIP_DICG,solutionBoscia_MIP_DICG,terminationBoscia_MIP_DICG,numberNodesBoscia_MIP_DICG,dualGapBoscia_MIP_DICG,lbBoscia_MIP_DICG,relGapBoscia_MIP_DICG,timeBoscia_Custom_DICG_Lazy,solutionBoscia_Custom_DICG_Lazy,terminationBoscia_Custom_DICG_Lazy,numberNodesBoscia_Custom_DICG_Lazy,dualGapBoscia_Custom_DICG_Lazy,lbBoscia_Custom_DICG_Lazy,relGapBoscia_Custom_DICG_Lazy,timeBoscia_MIP_DICG_Lazy,solutionBoscia_MIP_DICG_Lazy,terminationBoscia_MIP_DICG_Lazy,numberNodesBoscia_MIP_DICG_Lazy,dualGapBoscia_MIP_DICG_Lazy,lbBoscia_MIP_DICG_Lazy,relGapBoscia_MIP_DICG_Lazy,timeBoscia_Custom_DICG_WS,solutionBoscia_Custom_DICG_WS,terminationBoscia_Custom_DICG_WS,numberNodesBoscia_Custom_DICG_WS,dualGapBoscia_Custom_DICG_WS,lbBoscia_Custom_DICG_WS,relGapBoscia_Custom_DICG_WS,timeBoscia_Custom_DICG_Lazy_WS,solutionBoscia_Custom_DICG_Lazy_WS,terminationBoscia_Custom_DICG_Lazy_WS,numberNodesBoscia_Custom_DICG_Lazy_WS,dualGapBoscia_Custom_DICG_Lazy_WS,lbBoscia_Custom_DICG_Lazy_WS,relGapBoscia_Custom_DICG_Lazy_WS,timeBoscia_MIP_DICG_Lazy_WS,solutionBoscia_MIP_DICG_Lazy_WS,terminationBoscia_MIP_DICG_Lazy_WS,numberNodesBoscia_MIP_DICG_Lazy_WS,dualGapBoscia_MIP_DICG_Lazy_WS,lbBoscia_MIP_DICG_Lazy_WS,relGapBoscia_MIP_DICG_Lazy_WS,timeBoscia_MIP_DICG_WS,solutionBoscia_MIP_DICG_WS,terminationBoscia_MIP_DICG_WS,numberNodesBoscia_MIP_DICG_WS,dualGapBoscia_MIP_DICG_WS,lbBoscia_MIP_DICG_WS,relGapBoscia_MIP_DICG_WS,minimumTime
1,15,3600.006,6.370801941748889,0,7719192,5.088546116259573,1.2822558254893162,3.968432831504395,3600.036,6.370801941748889,0,1013080,4.871440481216535,1.499361460532354,3.2490100682505947,3600.536,6.317975090068517,0,11483410,4.729767282794382,1.5882078072741344,2.978053162269839,3600.032,6.370801941748889,0,266712,5.725664546483469,0.6451373952654196,8.875108757457536,3600.014,6.370801941748889,0,255922,5.226573140102256,1.1442288016466327,4.567769254349146,3600.032,6.317975090068517,0,271596,5.52593506594127,0.7920400241272469,6.976838161720838,3600.623,6.317975090068517,0,2250666,5.111802144844358,1.206172945224159,4.238034160096639,3600.029,6.317975090068517,0,204171,5.5613981687359,0.7565769213326163,7.350737264018294,3600.618,6.333257259996848,0,7739619,4.793810025111663,1.539447234885185,3.1139813801212837,3601.195,6.37080194174889,0,176084,5.28346216964143,1.0873397721074598,4.859071934250259,3600.022,6.370801941748889,0,66193,5.43210209854407,0.9386998432048186,5.786836056133034,3600.038,6.333257259996848,0,217177,5.5633775280376,0.7698797319592474,7.226294312073266,3600.006
2,15,3600.006,6.285299630875299,0,7645383,5.024692879995785,1.2606067508795142,3.985932073178333,3600.019,6.285299630875299,0,961705,4.810445019820859,1.4748546110544396,3.261640153385463,3600.574,6.264550228192579,0,11495638,4.6852034608082,1.5793467673843793,2.966545129647213,3600.022,6.285299630875299,0,262352,5.645962650263946,0.6393369806113531,8.830965236619205,3600.015,6.285299630875299,0,260960,5.142283678367365,1.143015952507934,4.4988730621689825,3600.033,6.264550228192579,0,263046,5.484643210272638,0.7799070179199417,7.0324321800571905,3600.57,6.264550228192579,0,2174643,5.065412513530976,1.1991377146616031,4.224212491690695,3600.031,6.264550228192579,0,200990,5.50318017552371,0.7613700526688696,7.227996630853984,3600.664,6.285299630875299,0,7758115,4.760368761430132,1.5249308694451669,3.1216947973268794,3601.155,6.285299630875299,0,155917,5.227470991286358,1.0578286395889407,4.941699246597908,3600.022,6.285299630875299,0,58026,5.485488372368206,0.7998112585070931,6.858478564814498,3600.025,6.285299630875299,0,270638,5.452419913643614,0.8328797172316849,6.546467395996025,3600.006
3,15,3600.005,6.3885324663103,0,7645574,5.0382902062955,1.3502422600148005,3.7313972132973183,3600.01,6.3885324663103,0,1024715,4.862154439000647,1.5263780273096534,3.1854195697317063,3600.543,6.3885324663103,0,11485394,4.79069066686276,1.59784179944754,2.9982258997850475,3600.025,6.3885324663103,0,268668,5.750937442874317,0.6375950234359831,9.019733892969654,3600.042,6.3885324663103,0,268685,5.244206988034863,1.1443254782754373,4.58279317169288,3600.032,6.3885324663103,0,273538,5.388889887700483,0.9996425786098175,5.390816680892787,3600.64,6.3885324663103,0,2013344,5.179244869419913,1.2092875968903876,4.2828892669849905,3600.026,6.3885324663103,0,220026,5.397539701058893,0.9909927652514074,5.446598492260009,3600.712,6.3885324663103,0,7652524,4.831827016914913,1.5567054493953876,3.1038800685072165,3600.956,6.3885324663103,0,153864,5.326880685714974,1.0616517805953265,5.017540386667933,3600.019,6.3885324663103,0,52822,5.512639815727667,0.8758926505826334,6.293739092411295,3600.035,6.3885324663103,0,281993,5.382612441597187,1.005920024713113,5.350934775488042,3600.005
4,15,3600.005,6.389326361891973,0,7619050,5.127347610397341,1.261978751494632,4.062942901633436,3600.011,6.389326361891973,0,1078593,4.8793835935578915,1.5099427683340814,3.2315023429274152,3600.58,6.389326361891973,0,11535800,4.8131737527763985,1.5761526091155744,3.053748555146073,3600.025,6.389326361891973,0,267008,5.764694986610388,0.6246313752815853,9.228955212202797,3600.018,6.389326361891973,0,263754,5.265089917959841,1.1242364439321317,4.683258531937153,3600.036,6.389326361891973,0,268482,5.593807627327369,0.7955187345646042,7.031647884935002,3600.626,6.389326361891973,0,2150911,5.2213159077097275,1.1680104541822454,4.470264704407382,3600.032,6.389326361891973,0,220844,5.64174643250682,0.7475799293851528,7.546679907721539,3600.644,6.389326361891973,0,7818146,4.858650739196269,1.5306756226957035,3.174187049924792,3600.956,6.389326361891973,0,168568,5.335321669400026,1.0540046924919473,5.061952482190479,3600.027,6.389326361891973,0,57969,5.614594834629893,0.7747315272620803,7.247149027834204,3600.034,6.389326361891973,0,276785,5.549588794064629,0.8397375678273438,6.608718017014651,3600.005
5,15,3600.063,6.38130023766132,0,7727995,5.132496068650053,1.248804169011267,4.109928678980689,3600.01,6.38130023766132,0,1026994,4.880063836803272,1.5012364008580485,3.2506964486166314,3600.577,6.367581273539375,0,11598338,4.790767424077685,1.57681384946169,3.0382580833579116,3600.027,6.38130023766132,0,260381,5.7645850943478365,0.6167151433134839,9.34724103477645,3600.02,6.38130023766132,0,260151,5.255208023112077,1.1260922145492431,4.666765257067028,3600.032,6.367581273539375,0,266926,5.617135117500768,0.7504461560386062,7.485060816557502,3600.574,6.367581273539375,0,2066634,5.192112254903816,1.1754690186355585,4.417055807162515,3600.018,6.367581273539375,0,212788,5.617360556087824,0.7502207174515503,7.487610546359774,3600.571,6.38130023766132,0,7823970,4.8469505404293844,1.534349697231936,3.1589607956866614,3601.012,6.38130023766132,0,171053,5.316324104297417,1.0649761333639036,4.991965488940044,3600.02,6.38130023766132,0,59861,5.532875341010042,0.8484248966512782,6.5213495771378565,3600.028,6.38130023766132,0,274365,5.590166771104337,0.7911334665569836,7.066022368428892,3600.01
6,15,3600.005,6.328798900306638,0,7730306,5.032452612575991,1.296346287730647,3.882028019986606,3600.012,6.328798900306638,0,1041744,4.811947820741045,1.5168510795655932,3.1723271226593486,3600.569,6.328798900306638,0,11503330,4.737715025796279,1.5910838745103595,2.9776651637892213,3600.033,6.328798900306638,0,265769,5.689159334132693,0.6396395661739449,8.894320543932036,3600.015,6.328798900306638,0,261179,5.182914411686726,1.1458844886199122,4.5230688286294525,3600.024,6.328798900306638,0,271114,5.413963734809499,0.9148351654971387,5.917966360494515,3600.532,6.328798900306638,0,2192216,5.124809527137085,1.203989373169553,4.256523887454096,3600.044,6.328798900306638,0,222649,5.453366559986005,0.875432340320633,6.229340988235222,3600.595,6.328798900306638,0,7701182,4.78049926309499,1.548299637211648,3.0875801738895,3600.875,6.328798900306638,0,182376,5.250544540289249,1.0782543600173886,4.869486027586826,3600.021,6.328798900306638,0,51975,5.527544680882843,0.8012542194237948,6.898615379345972,3600.036,6.328798900306638,0,275264,5.379556014115213,0.949242886191425,5.667207089324837,3600.005
7,15,3600.005,6.327996636504778,0,7733076,5.055739897052336,1.272256739452442,3.973836207956141,3600.01,6.327996636504778,0,972989,4.830948206153341,1.4970484303514375,3.2269819120142014,3600.572,6.303783029678021,0,11489938,4.714739363722979,1.5890436659550424,2.967029455977435,3600.023,6.327996636504778,0,252008,5.69901096867092,0.6289856678338586,9.06063724519756,3600.021,6.327996636504778,0,256410,5.183395971761523,1.1446006647432556,4.528562783007125,3600.036,6.303783029678021,0,267482,5.503490496388735,0.8002925332892863,6.876848486601283,3600.649,6.303783029678021,0,2158971,5.096746014683464,1.2070370149945573,4.22252669252769,3600.019,6.303783029678021,0,220431,5.5240722365425405,0.7797107931354805,7.084770770362662,3600.598,6.303783029678021,0,7793995,4.760276127745291,1.54350690193273,3.0840653331608854,3601.02,6.327996636504778,0,165205,5.255272973815348,1.0727236626894303,4.8989997672278704,3600.02,6.327996636504778,0,52090,5.571364318386136,0.7566323181186423,7.363370801077161,3600.04,6.327996636504778,0,270837,5.494568936982496,0.8334276995222822,6.592736166714837,3600.005
8,15,3600.005,6.368814300573167,0,7570543,5.095531088018001,1.2732832125551656,4.001883506963487,3600.01,6.368814300573167,0,1000400,4.859099028227047,1.5097152723461198,3.2185532710919293,3600.529,6.368814300573167,0,11499560,4.775630174654041,1.5931841259191257,2.9975381357122965,3600.017,6.368814300573167,0,382339,5.67005188513556,0.6987624154376064,8.114420237649213,3600.021,6.368814300573167,0,256395,5.225285429945879,1.1435288706272875,4.569439009510558,3600.039,6.368814300573167,0,269600,5.396308468425727,0.9725058321474398,5.548870032491078,3600.561,6.368814300573167,0,2009033,5.165718500709714,1.203095799863453,4.293688417244915,3600.035,6.368814300573167,0,235776,5.395068719353381,0.9737455812197862,5.540532171242427,3600.649,6.368814300573167,0,7744458,4.819074107933476,1.5497401926396908,3.1096012937014237,3601.02,6.368814300573167,0,148045,5.308906875799948,1.0599074247732192,5.008840160673331,3600.019,6.368814300573167,0,57911,5.429695323194422,0.9391189773787447,5.78169055677025,3600.029,6.368814300573167,0,277225,5.3818539910670395,0.9869603095061272,5.452958887232362,3600.005
9,15,3600.005,6.310717039985631,0,7710275,5.04133310472927,1.2693839352563607,3.971480152465565,3600.01,6.310717039985631,0,992697,4.823112993768046,1.4876040462175855,3.2422021209416565,3600.567,6.30198867198249,0,11598442,4.72050395002748,1.58148472195501,2.9848558664493807,3600.031,6.310717039985631,0,397562,5.618524378768257,0.6921926612173745,8.11699501246782,3600.023,6.310717039985631,0,260068,5.171076429053109,1.1396406109325223,4.537462406522899,3600.023,6.30198867198249,0,267520,5.523235849960248,0.7787528220222422,7.092411987179286,3600.625,6.30198867198249,0,2123844,5.100065523153123,1.2019231488293665,4.24325426140633,3600.032,6.30198867198249,0,222219,5.527359640828406,0.7746290311540838,7.135492498381386,3600.613,6.310717039985631,0,7787492,4.781220759250369,1.5294962807352626,3.1260100593065387,3600.975,6.310717039985631,0,179935,5.23477057304011,1.0759464669455214,4.865270470101523,3600.019,6.310717039985631,0,57328,5.534027903795261,0.7766891361903703,7.125151680297024,3600.022,6.310717039985631,0,275657,5.491530372216167,0.8191866677694639,6.703637386053746,3600.005
10,15,3600.006,6.253242402357232,0,7704424,4.9906391938477626,1.2626032085094696,3.9526584125659876,3600.01,6.253242402357232,0,918964,4.791048757384068,1.4621936449731638,3.2766171388140592,3600.626,6.253242402357232,0,11595470,4.662681481064738,1.5905609212924938,2.9314699101722126,3600.016,6.253242402357232,0,393537,5.561784084470938,0.6914583178862941,8.043556553737977,3600.02,6.253242402357232,0,256133,5.108575991564548,1.1446664107926843,4.462938672260721,3600.032,6.253242402357232,0,267000,5.425472459648342,0.8277699427088905,6.554324069672542,3600.564,6.253242402357232,0,2139855,5.04404138562439,1.209201016732842,4.171383678830307,3600.018,6.253242402357232,0,217978,5.451239182962979,0.802003219394253,6.7970290531754465,3600.605,6.253242402357232,0,7767151,4.7205445210909875,1.5326978812662446,3.079892377218588,3600.964,6.253242402357232,0,161201,5.181797548846556,1.071444853510676,4.836270884001147,3600.025,6.253242402357232,0,52700,5.423706877439326,0.8295355249179064,6.538245457270891,3600.031,6.253242402357232,0,274386,5.387443692021372,0.8657987103358602,6.22251295561699,3600.006
