seed,dimension,p,k,time,solution,termination,ncalls
7,28,140,6.0,1801.276,5.962622957672978,Time limit reached,68300
8,28,140,6.0,1802.126,2.611145684986923,Time limit reached,72346
9,28,140,6.0,57.966,6.060032596950799,OPTIMAL,1917
10,28,140,6.0,1801.575,2.0790026229489516,Time limit reached,62003
1,29,145,6.0,336.938,3.255397068719602,OPTIMAL,11423
2,29,145,6.0,977.27,3.784462810142961,OPTIMAL,36446
3,29,145,6.0,1800.546,6.517959364236611,Time limit reached,70576
4,29,145,6.0,1800.49,5.022077072203834,Time limit reached,64427
5,29,145,6.0,1801.016,5.317290722644149,Time limit reached,73879
6,29,145,6.0,82.814,4.116280950667715,OPTIMAL,2404
7,29,145,6.0,1800.905,6.032713297894729,Time limit reached,64756
8,29,145,6.0,1801.318,2.5424784452289315,Time limit reached,70452
9,29,145,6.0,37.854,5.734539698611755,OPTIMAL,1268
10,29,145,6.0,1801.785,2.421290899981482,Time limit reached,53096
1,30,150,6.0,1801.07,3.6177972196873176,Time limit reached,62120
2,30,150,6.0,1800.842,4.115566751961235,Time limit reached,56591
3,30,150,6.0,1800.933,6.401715731176486,Time limit reached,70248
4,30,150,6.0,1802.12,4.973018804898767,Time limit reached,63368
5,30,150,6.0,1801.036,5.30752565748677,Time limit reached,63406
6,30,150,6.0,199.493,4.334812917701235,OPTIMAL,6273
7,30,150,6.0,595.775,5.955014138676084,OPTIMAL,21473
8,30,150,6.0,1802.333,2.894072190299796,Time limit reached,69797
9,30,150,6.0,220.658,5.908317519582886,OPTIMAL,6295
10,30,150,6.0,1805.319,2.4923899400961025,Time limit reached,53339
