seed,dimension,p,k,Ns,time,solution,termination,ncalls
9,50,50,25.0,10.0,9.488,-151.15479397739122,OPTIMAL,104
10,50,50,25.0,0.1,0.017,-21.262779980770613,OPTIMAL,4
10,50,50,25.0,1.0,1800.297,-16.956704951916898,Time limit reached,110845
10,50,50,25.0,5.0,6.439,-30.174272472610788,OPTIMAL,150
10,50,50,25.0,10.0,7.349,-29.94973060112961,OPTIMAL,147
1,70,70,35.0,0.1,0.023,-2797.8213805446567,OPTIMAL,4
1,70,70,35.0,1.0,111.85,-7040.064067358331,OPTIMAL,414
1,70,70,35.0,5.0,16.729,-4015.308340625341,OPTIMAL,86
1,70,70,35.0,10.0,8.374,-4732.897682828308,OPTIMAL,35
2,70,70,35.0,0.1,0.023,-276.76328207083367,OPTIMAL,4
2,70,70,35.0,1.0,1806.104,-622.7005396356124,Time limit reached,15736
2,70,70,35.0,5.0,12.809,-423.4249902548599,OPTIMAL,66
2,70,70,35.0,10.0,14.553,-429.6176890484229,OPTIMAL,121
3,70,70,35.0,0.1,0.023,-146048.30629797274,OPTIMAL,4
3,70,70,35.0,1.0,13.673,-451279.23248787905,OPTIMAL,17
3,70,70,35.0,5.0,14.232,-270888.333930928,OPTIMAL,54
3,70,70,35.0,10.0,7.152,-334128.5243423216,OPTIMAL,37
4,70,70,35.0,0.1,0.031,-46348.15535596037,OPTIMAL,4
4,70,70,35.0,1.0,1262.207,-121602.53156282123,OPTIMAL,2768
4,70,70,35.0,5.0,7.205,-91515.61957032623,OPTIMAL,32
4,70,70,35.0,10.0,12.524,-98720.64806721728,OPTIMAL,36
5,70,70,35.0,0.1,0.021,-3035.668395004075,OPTIMAL,4
5,70,70,35.0,1.0,147.012,-10565.797269608262,OPTIMAL,744
5,70,70,35.0,5.0,7.328,-6306.4171199919965,OPTIMAL,46
5,70,70,35.0,10.0,13.302,-7258.920077449228,OPTIMAL,51
6,70,70,35.0,0.1,0.021,-3.0386333812987427e6,OPTIMAL,4
6,70,70,35.0,1.0,26.666,-1.1847867725566715e7,OPTIMAL,19
6,70,70,35.0,5.0,14.429,-5.166076419162511e6,OPTIMAL,52
6,70,70,35.0,10.0,7.252,-7.144340615734387e6,OPTIMAL,34
7,70,70,35.0,0.1,0.024,-3386.4677525452216,OPTIMAL,4
7,70,70,35.0,1.0,32.057,-10290.695922906923,OPTIMAL,130
7,70,70,35.0,5.0,7.288,-5534.788584581497,OPTIMAL,40
7,70,70,35.0,10.0,14.669,-7314.396731881549,OPTIMAL,81
8,70,70,35.0,0.1,0.023,-1315.312277217477,OPTIMAL,4
8,70,70,35.0,1.0,1807.324,-3294.7912670702817,Time limit reached,10993
8,70,70,35.0,5.0,7.014,-2195.221969434565,OPTIMAL,60
8,70,70,35.0,10.0,19.047,-2487.8487479814144,OPTIMAL,92
9,70,70,35.0,0.1,0.028,-278.0096898092364,OPTIMAL,4
9,70,70,35.0,1.0,1808.942,-869.4553499613872,Time limit reached,19017
9,70,70,35.0,5.0,14.138,-576.7685924126064,OPTIMAL,118
9,70,70,35.0,10.0,19.82,-578.0404625721396,OPTIMAL,127
10,70,70,35.0,0.1,0.026,-542.5786305155099,OPTIMAL,4
10,70,70,35.0,1.0,257.467,-1500.892181262293,OPTIMAL,2228
10,70,70,35.0,5.0,14.209,-1037.1236865162593,OPTIMAL,135
10,70,70,35.0,10.0,14.27,-1051.4611234906681,OPTIMAL,116
1,90,90,45.0,0.1,0.028,-18670.312276752353,OPTIMAL,4
1,90,90,45.0,1.0,165.318,-53629.388933053306,OPTIMAL,381
1,90,90,45.0,5.0,22.225,-26494.044090327618,OPTIMAL,78
1,90,90,45.0,10.0,31.664,-43246.35293968507,OPTIMAL,89
2,90,90,45.0,0.1,0.025,-14084.188010188294,OPTIMAL,4
2,90,90,45.0,1.0,1780.929,-38389.95939060656,OPTIMAL,5725
2,90,90,45.0,5.0,23.471,-28724.028392155862,OPTIMAL,94
2,90,90,45.0,10.0,34.201,-27681.222852990908,OPTIMAL,104
3,90,90,45.0,0.1,0.027,-4063.3151238691667,OPTIMAL,4
3,90,90,45.0,1.0,1812.46,-9572.061806366453,Time limit reached,5634
3,90,90,45.0,5.0,23.649,-5303.95027410414,OPTIMAL,101
3,90,90,45.0,10.0,23.491,-6716.2112457322955,OPTIMAL,102
4,90,90,45.0,0.1,0.032,-10504.732237194454,OPTIMAL,4
4,90,90,45.0,1.0,17.22,-26797.48337802248,OPTIMAL,38
4,90,90,45.0,5.0,11.808,-15800.080407201125,OPTIMAL,56
4,90,90,45.0,10.0,23.786,-19683.242005497374,OPTIMAL,48
5,90,90,45.0,0.1,0.032,-1000.1461563458813,OPTIMAL,4
5,90,90,45.0,1.0,1811.677,-2845.0629901987945,Time limit reached,14662
5,90,90,45.0,5.0,17.419,-2084.030395380271,OPTIMAL,146
5,90,90,45.0,10.0,24.24,-2304.3892891090145,OPTIMAL,161
6,90,90,45.0,0.1,0.025,-1.4397826701698136e6,OPTIMAL,4
6,90,90,45.0,1.0,8.552,-6.064949686289286e6,OPTIMAL,20
6,90,90,45.0,5.0,8.535,-2.1317104343689275e6,OPTIMAL,33
6,90,90,45.0,10.0,8.602,-4.512327662260908e6,OPTIMAL,38
7,90,90,45.0,0.1,0.028,-129915.86278481437,OPTIMAL,4
7,90,90,45.0,1.0,8.702,-510749.5007517055,OPTIMAL,36
7,90,90,45.0,5.0,8.654,-229647.7893177417,OPTIMAL,44
7,90,90,45.0,10.0,15.136,-474262.43934353703,OPTIMAL,49
8,90,90,45.0,0.1,0.026,-118972.5986311546,OPTIMAL,4
8,90,90,45.0,1.0,20.079,-411269.1644920541,OPTIMAL,62
8,90,90,45.0,5.0,8.651,-194754.7767070245,OPTIMAL,44
8,90,90,45.0,10.0,8.677,-308842.416221465,OPTIMAL,44
9,90,90,45.0,0.1,0.027,-8286.736243114898,OPTIMAL,4
9,90,90,45.0,1.0,913.474,-19961.275688235994,OPTIMAL,2771
9,90,90,45.0,5.0,8.952,-9900.954504860083,OPTIMAL,36
9,90,90,45.0,10.0,9.058,-13134.362409449226,OPTIMAL,40
10,90,90,45.0,0.1,0.026,-95338.92676350637,OPTIMAL,4
10,90,90,45.0,1.0,82.979,-222418.81183500984,OPTIMAL,172
10,90,90,45.0,5.0,17.976,-111153.12892827157,OPTIMAL,70
10,90,90,45.0,10.0,26.483,-148394.7133281656,OPTIMAL,74
