seed,n0,m0,M,time,solution,termination,calls
7,14,140,20.0,1800.,INF,TIME_LIMIT,INF
8,14,140,20.0,1800.,INF,TIME_LIMIT,INF
9,14,140,20.0,1800.,INF,TIME_LIMIT,INF
10,14,140,20.0,1800.,INF,TIME_LIMIT,INF
1,15,150,20.0,1800.,INF,TIME_LIMIT,INF
2,15,150,20.0,1800.,INF,TIME_LIMIT,INF
3,15,150,20.0,1800.,INF,TIME_LIMIT,INF
4,15,150,20.0,1800.,INF,TIME_LIMIT,INF
5,15,150,20.0,1800.,INF,TIME_LIMIT,INF
6,15,150,20.0,1800.,INF,TIME_LIMIT,INF
7,15,150,20.0,1800.,INF,TIME_LIMIT,INF
8,15,150,20.0,1800.,INF,TIME_LIMIT,INF
9,15,150,20.0,1800.,INF,TIME_LIMIT,INF
10,15,150,20.0,1800.,INF,TIME_LIMIT,INF
1,6,60,20.0,0.275428,5.40359838073108,OPTIMAL,163
1,5,50,20.0,0.12335499999999999,4.939297483414261,OPTIMAL,123
