seed,dimension,var_A,M,time,solution,termination,ncalls
4,20,5,0.1,345.521,0.21327897875331472,OPTIMAL,17833
4,20,1,1.0,7.453,0.5951193348725422,OPTIMAL,688
4,20,5,1.0,382.898,0.21327897875330903,OPTIMAL,53823
5,20,1,0.1,6.114,0.6388250326770433,OPTIMAL,292
5,20,5,0.1,138.901,0.29840951132069604,OPTIMAL,8246
5,20,1,1.0,6.182,0.638825032677048,OPTIMAL,530
5,20,5,1.0,1825.586,0.29840951360688717,Time limit reached,406016
1,25,1,0.1,24.51,0.6283369552158657,OPTIMAL,683
1,25,5,0.1,270.548,0.2804739305711732,OPTIMAL,9376
1,25,1,1.0,6.562,0.6283369552158415,OPTIMAL,411
1,25,5,1.0,185.329,0.28047393057116843,OPTIMAL,14686
2,25,1,0.1,15.81,0.6216814003390515,OPTIMAL,381
2,25,5,0.1,436.15,0.26106497588977684,OPTIMAL,11260
2,25,1,1.0,8.164,0.6216814003390363,OPTIMAL,562
2,25,5,1.0,604.224,0.261064985504457,primal>=tree.incumbent,82165
3,25,1,0.1,20.37,0.5837527067565944,OPTIMAL,586
3,25,5,0.1,696.973,0.20009330348062054,OPTIMAL,26770
3,25,1,1.0,8.605,0.5837527067565771,OPTIMAL,565
3,25,5,1.0,956.262,0.20009330348062015,OPTIMAL,130290
4,25,1,0.1,20.691,0.5080470573087412,OPTIMAL,641
4,25,5,0.1,1804.9,0.13245498993626015,Time limit reached,55109
4,25,1,1.0,14.678,0.5080470573087216,OPTIMAL,1014
4,25,5,1.0,1803.975,0.1324549899385595,Time limit reached,278889
5,25,1,0.1,11.003,0.6510675370546324,OPTIMAL,326
5,25,5,0.1,215.763,0.33638580617316416,OPTIMAL,13983
5,25,1,1.0,6.345,0.6510675370570013,OPTIMAL,411
5,25,5,1.0,1839.643,0.3363858097023813,Time limit reached,194966
1,30,1,0.1,24.855,0.6076661618868323,OPTIMAL,560
1,30,5,0.1,1875.563,0.239882774654946,Time limit reached,225206
1,30,1,1.0,11.605,0.6076661618868193,OPTIMAL,594
1,30,5,1.0,1852.029,0.2398827909700088,Time limit reached,238513
2,30,1,0.1,17.246,0.5959194794629028,OPTIMAL,420
2,30,5,0.1,711.079,0.21184829349114484,OPTIMAL,20324
2,30,1,1.0,14.729,0.5959194794628849,OPTIMAL,806
2,30,5,1.0,1864.506,0.21184829591845322,Time limit reached,243594
3,30,1,0.1,22.277,0.5568540988762839,OPTIMAL,424
3,30,5,0.1,1652.219,0.17200659056901513,OPTIMAL,42167
3,30,1,1.0,17.669,0.5568540988762667,OPTIMAL,930
3,30,5,1.0,1804.209,0.172006590569011,Time limit reached,191800
4,30,1,0.1,23.619,0.6359632609005299,OPTIMAL,537
4,30,5,0.1,334.059,0.2967973686878537,OPTIMAL,8585
4,30,1,1.0,8.916,0.6359632609005337,OPTIMAL,449
4,30,5,1.0,577.007,0.29679737612579515,primal>=tree.incumbent,65729
5,30,1,0.1,20.263,0.6424555606917962,OPTIMAL,384
5,30,5,0.1,386.902,0.3096580469979862,OPTIMAL,8111
5,30,1,1.0,9.566,0.6424555606917853,OPTIMAL,421
5,30,5,1.0,265.135,0.3096580469980757,OPTIMAL,26875
