seed,dimension,var_A,M,time,solution,termination,ncalls
1,30,5,0.1,1864.502,0.23988349155381145,Time limit reached,240280
1,30,1,1.0,12.132,0.6076661618868193,OPTIMAL,601
1,30,5,1.0,1872.451,0.2398826976740737,Time limit reached,276407
2,30,1,0.1,17.889,0.5959194794629028,OPTIMAL,429
2,30,5,0.1,673.217,0.21184829349114484,OPTIMAL,20571
2,30,1,1.0,14.22,0.5959194794628849,OPTIMAL,816
2,30,5,1.0,1843.016,0.21184829486794227,Time limit reached,235274
3,30,1,0.1,21.737,0.5568540988762839,OPTIMAL,433
3,30,5,0.1,1738.601,0.17200659056901513,OPTIMAL,42664
3,30,1,1.0,25.68,0.5568540988762667,OPTIMAL,1845
3,30,5,1.0,1856.375,0.17200660229554643,Time limit reached,166922
4,30,1,0.1,23.64,0.6359632609005299,OPTIMAL,548
4,30,5,0.1,332.357,0.2967973686878537,OPTIMAL,8690
4,30,1,1.0,9.593,0.6359632609005337,OPTIMAL,454
4,30,5,1.0,717.053,0.29679737688985114,primal>=tree.incumbent,76954
5,30,1,0.1,20.984,0.6424555606917962,OPTIMAL,391
5,30,5,0.1,388.798,0.3096580469979862,OPTIMAL,8204
5,30,1,1.0,9.154,0.6424555606917853,OPTIMAL,426
5,30,5,1.0,239.096,0.3096580469979852,OPTIMAL,20064
