seed,dimension,p,k,time,num_nodes,solution,termination
1,28,140,6.0,1.238865e6,8237,3.0214517089768806,Optimal
2,28,140,6.0,1.800092e6,14093,Inf,Time limit reached
3,28,140,6.0,1.73108e6,9585,6.449537969848223,Optimal
4,28,140,6.0,1.800172e6,9401,4.794704483212945,Time limit reached
5,28,140,6.0,1.800022e6,13475,Inf,Time limit reached
6,28,140,6.0,548014.0,3177,3.954617548847906,Optimal
7,28,140,6.0,1.800215e6,9665,5.968764976568833,Time limit reached
8,28,140,6.0,1.800084e6,14117,Inf,Time limit reached
9,28,140,6.0,108935.0,877,6.060028779169677,Optimal
10,28,140,6.0,1.800199e6,11279,2.1021981766448663,Time limit reached
1,29,145,6.0,473255.0,3179,3.2553966331679907,Optimal
2,29,145,6.0,1.247271e6,5507,3.7844589751226168,Optimal
3,29,145,6.0,1.800096e6,13753,Inf,Time limit reached
4,29,145,6.0,1.800013e6,11963,5.045091147434267,Time limit reached
5,29,145,6.0,1.800155e6,13353,Inf,Time limit reached
6,29,145,6.0,211703.0,1623,4.116276706018758,Optimal
7,29,145,6.0,1.800028e6,13645,6.192227025678532,Time limit reached
8,29,145,6.0,1.800132e6,13719,Inf,Time limit reached
9,29,145,6.0,89687.0,685,5.734535940284556,Optimal
10,29,145,6.0,1.800247e6,12835,Inf,Time limit reached
1,30,150,6.0,1.800187e6,12483,Inf,Time limit reached
2,30,150,6.0,1.800009e6,12197,4.16924142399171,Time limit reached
3,30,150,6.0,1.800188e6,13353,Inf,Time limit reached
4,30,150,6.0,1.800009e6,13335,Inf,Time limit reached
5,30,150,6.0,1.800028e6,12789,Inf,Time limit reached
6,30,150,6.0,258480.0,1821,4.340884951879812,Optimal
7,30,150,6.0,774980.0,3309,5.955006294673545,Optimal
8,30,150,6.0,1.800006e6,12943,Inf,Time limit reached
9,30,150,6.0,400911.0,2661,5.90831327831232,Optimal
10,30,150,6.0,1.800055e6,8715,2.492389420282579,Time limit reached
